"",,,,"KhawajaGhareebnawaz",212140606,0,100,100,,,
34 Total,,,,,,0,1073,1073,0,2,2
35,"Government Boys Higher SecondarySchool, Bhaini",,,Bheni,212140508,751,651,1402,2,2,4
"",,,,Bheni,212140507,403,209,612,,,
35 Total,,,,,,1154,860,2014,2,2,4
36,"Government Boys Higher SecondarySchool, Bhaini",Bheni,212030703,,,503,0,503,4,0,4
"",,Bheni,212030704,,,597,0,597,,,
"",,,,Bheni,212140509,622,0,622,,,
36 Total,,,,,,1722,0,1722,4,0,4
37,"Government Boys Higher SecondarySchool, Bhaini",Bheni,212030703,,,0,430,430,0,3,3
"",,Bheni,212030704,,,0,518,518,,,
"",,,,Bheni,212140509,0,510,510,,,
37 Total,,,,,,0,1458,1458,0,3,3
38,"Government Girls Elementary School,Chah Umar Din Wala, Near Vehari Roadnear 17 Kassi",,,Haji Pura,212140501,229,0,229,4,0,4
"",,,,Gulshan Ali Town,212140502,554,0,554,,,
"",,,,Changar Colony,212140503,365,0,365,,,
"",,,,Chah Jatto Wala,212140504,242,0,242,,,
"",,,,Basti Khuda Bakhsh,212140505,434,0,434,,,
38 Total,,,,,,1824,0,1824,4,0,4
39,"Government Boys Primary School, ChahJattu Wala",,,Haji Pura,212140501,0,194,194,0,3,3
"",,,,Gulshan Ali Town,212140502,0,382,382,,,
"",,,,Changar Colony,212140503,0,296,296,,,
"",,,,Chah Jatto Wala,212140504,0,239,239,,,
"",,,,Basti Khuda Bakhsh,212140505,0,322,322,,,
39 Total,,,,,,0,1433,1433,0,3,3
40,"114Government Girls Elementary School,Seetal Mari, Vehari Road",,,Basti Khuda Bakhsh,212140506,681,530,1211,2,1,3
40 Total,,,,,,681,530,1211,2,1,3
41,Government Primary School Samun Rana,,,Samun Rana,212170701,458,391,849,2,2,4
"",,,,Samun Rana,212170704,456,416,872,,,
"",,,,Samun Rana,212170702,216,174,390,,,
41 Total,,,,,,1130,981,2111,2,2,4
42,"Government Boys Primary School, SamunRana",,,Samun Rana,212170801,349,288,637,2,2,4
"",,Samun Rana,212170802,362,337,699,,,,,
"",,Jali Wahin,212170703,279,277,556,,,,,
43,"Government Teacher Training College,Rangeel Pur",,,Rangeel Pur,212170803,566,520,1086,2,2,4
"",,,,Rangeel Pur,212170804,176,174,350,,,
"",,,,Rangeel Pur,212170806,355,297,652,,,
"",,,,Rangeel Pur,212170805,76,59,135,,,
43 Total,,,,,,1173,1050,2223,2,2,4
44,"Government Cotton Research Institute,Zarati Farm",,,Aemri Colony,212170101,229,0,229,3,0,3
"",,,,Mujahid Town,212170102,343,0,343,,,
"",,,,White House,212170103,47,0,47,,,
"",,,,Rahat Abad,212170104,344,0,344,,,
"",,,,Basti Tibba,212170105,358,0,358,,,
"",,,,Basti Tibba,212170106,280,0,280,,,
44 Total,,,,,,1601,0,1601,3,0,3
45,"Office of the Assistant Director(AGR),Cotton Research Institute, Zarati Farm",,,Aemri Colony,212170101,0,192,192,0,3,3
"",,,,Mujahid Town,212170102,0,304,304,,,
"",,,,White House,212170103,0,38,38,,,
"",,,,Rahat Abad,212170104,0,261,261,,,
"",,,,Basti Tibba,212170105,0,314,314,,,
"",,,,Basti Tibba,212170106,0,232,232,,,
45 Total,,,,,,0,1341,1341,0,3,3
46,"Government Labortary Model School,Rangeel Pur",,,Chah Qadri wala,212170201,422,0,422,3,0,3
"",,,,Mullan Mauj,212170202,444,0,444,,,
"",,,,Moh.Rajputan,212170203,488,0,488,,,
46 Total,,,,,,1354,0,1354,3,0,3
47,"Government Labortary Model SchoolRangeel Pur",,,Mullan Mauj,212170204,223,0,223,3,0,3
"",,,,Mullan Mauj,212170207,263,0,263,,,
"",,,,Chah Gehnewala,212170205,430,0,430,,,
"",,,,Chah Gehnewala,212170206,393,0,393,,,
47 Total,,,,,,1309,0,1309,3,0,3
48,"Government Labortary Model SchoolRangeel Pur",,,Chah Qadri wala,212170201,0,328,328,0,2,2
"",,,,Mullan Mauj,212170202,0,361,361,,,
"",,,,Moh.Rajputan,212170203,0,363,363,,,
48 Total,,,,,,0,1052,1052,0,2,2
49,"Government Labortary Model SchoolRangeel Pur",,,Mullan Mauj,212170204,0,168,168,0,2,2
"",,,,Mullan Mauj,212170207,0,201,201,,,
"",,,,Chah Gehnewala,212170205,0,349,349,,,
"",,,,Chah Gehnewala,212170206,0,329,329,,,
49 Total,,,,,,0,1047,1047,0,2,2
50,"Government E.T.T College, Rangeel Pur",,,Chaki Loharanwali,212170301,632,0,632,3,0,3
"",,,,Chaki Loharanwali,212170306,212,0,212,,,
"",,,,Maitla Town,212170302,292,0,292,,,
"",,,,Maitla Town,212170307,436,0,436,,,
50 Total,,,,,,1572,0,1572,3,0,3
51,"Government E.T.T College, Rangeel Pur",,,Rehman Colony,212170303,312,0,312,2,0,2
"",,,,Rehman Colony,212170304,401,0,401,,,
"",,,,Rehman Colony,212170308,71,0,71,,,
"",,,,Zikriya Colony,212170305,321,0,321,,,
"",,,,Zikriya Colony,212170309,161,0,161,,,
51 Total,,,,,,1266,0,1266,2,0,2
52,"Government High School, Rangeel Pur",,,Chaki Loharanwali,212170301,0,547,547,0,3,3
"",,Chaki Loharanwali,212170306,0,173,173,,,,,
"",,Maitla Town,212170302,0,214,214,,,,,
"",,Maitla Town,212170307,0,422,422,,,,,
53,"Government High School, Rangeel Pur",,,Rehman Colony,212170303,0,306,306,0,2,2
"",,,,Rehman Colony,212170304,0,351,351,,,
"",,,,Rehman Colony,212170308,0,41,41,,,
"",,,,Zikriya Colony,212170305,0,274,274,,,
"",,,,Zikriya Colony,212170309,0,149,149,,,
53 Total,,,,,,0,1121,1121,0,2,2
54,"Government E.T.T College, Rangeel Pur",,,Pir Colony#3,212170401,500,0,500,3,0,3
"",,,,Pir Colony#3,212170407,412,0,412,,,
"",,,,Pir Colony#3,212170402,421,0,421,,,
"",,,,Pir Colony#3,212170408,363,0,363,,,
54 Total,,,,,,1696,0,1696,3,0,3
55,"Government E.T.T College, Rangeel Pur",,,Pir Colony#3,212170403,398,0,398,3,0,3
"",,,,Pir Colony#2,212170404,294,0,294,,,
"",,,,Pir Colony#3,212170405,229,0,229,,,
"",,,,Pir Colony#2,212170406,658,0,658,,,
55 Total,,,,,,1579,0,1579,3,0,3
56,"Government Girls Primary School, JungleJaswant Singh, Pir Colony No. 2",,,Pir Colony#3,212170401,0,403,403,0,3,3
"",,,,Pir Colony#3,212170407,0,384,384,,,
"",,,,Pir Colony#3,212170402,0,329,329,,,
"",,,,Pir Colony#3,212170408,0,337,337,,,
56 Total,,,,,,0,1453,1453,0,3,3
57,"Government Girls Primary School, JungleJaswant Singh, Pir Colony No. 2",,,Pir Colony#3,212170403,0,333,333,0,3,3
"",,,,Pir Colony#2,212170404,0,288,288,,,
"",,,,Pir Colony#3,212170405,0,208,208,,,
"",,,,Pir Colony#2,212170406,0,589,589,,,
57 Total,,,,,,0,1418,1418,0,3,3
58,"Government Girls Primary School, QsimPur Colony",,,Lasani Colony,212260101,633,0,633,4,0,4
"",,,,Lasani Colony,212260106,261,0,261,,,
"",,,,Grid Station,212260102,358,0,358,,,
"",,,,Grid Station,212260107,457,0,457,,,
58 Total,,,,,,1709,0,1709,4,0,4
59,"Government Girls Primary School, QsimPur Colony",,,Nagina Colony,212260103,177,0,177,4,0,4
"",,,,Nagina Colony,212260108,527,0,527,,,
"",,,,Gulshan 5 Faiz,212260104,369,0,369,,,
"",,,,Bisti Illahabad,212260105,372,0,372,,,
"",,,,Bisti Illahabad,212260109,762,0,762,,,
59 Total,,,,,,2207,0,2207,4,0,4
60,"Government Degree College for Women,Qasim Pur Colony",,,Lasani Colony,212260101,0,609,609,0,4,4
"",,,,Lasani Colony,212260106,0,179,179,,,
"",,,,Grid Station,212260102,0,340,340,,,
"",,,,Grid Station,212260107,0,320,320,,,
"",,,,Nagina Colony,212260103,0,187,187,,,
"",,,,Nagina Colony,212260108,0,441,441,,,
60 Total,,,,,,0,2076,2076,0,4,4
61,"Government Degree College for Women,Qasim Pur Colony",,,Gulshan 5 Faiz,212260104,0,307,307,0,2,2
"",,,,Bisti Illahabad,212260105,0,272,272,,,
"",,,,Bisti Illahabad,212260109,0,708,708,,,
61 Total,,,,,,0,1287,1287,0,2,2
"",,Sabzwari Colony,212260201,124,0,124,,,,,
"",,Ram Kali,212260202,650,0,650,,,,,
"",,Ram Kali,212260203,158,0,158,,,,,
"",,Fazal Model Twn,212260204,140,0,140,,,,,
"",,,,Basti Wazir,212260206,259,0,259,,,
"",,,,Chah Piran Wala,212260207,724,0,724,,,
62 Total,,,,,,2207,0,2207,4,0,4
63,"Government Vocational Training Centrefor Women, Qasim Pur Colony",,,Sabzwari Colony,212260201,0,120,120,0,4,4
"",,,,Ram Kali,212260202,0,489,489,,,
"",,,,Ram Kali,212260203,0,146,146,,,
"",,,,Fazal Model Twn,212260204,0,103,103,,,
"",,,,Jaffar Colony,212260205,0,137,137,,,
"",,,,Basti Wazir,212260206,0,252,252,,,
"",,,,Chah Piran Wala,212260207,0,582,582,,,
63 Total,,,,,,0,1829,1829,0,4,4
64,"Government Boys Primary School, RamKali",,,Ram Kali,212260301,66,0,66,2,0,2
"",,,,Ram Kali,212260302,199,0,199,,,
"",,,,Ram Kali,212260303,593,0,593,,,
"",,,,Ram Kali,212260304,237,0,237,,,
64 Total,,,,,,1095,0,1095,2,0,2
65,"Government Elementary School, DairaMuhammadi",,,Ram Kali,212260301,0,47,47,0,4,4
"",,,,Ram Kali,212260302,0,138,138,,,
"",,,,Ram Kali,212260303,0,487,487,,,
"",,,,Ram Kali,212260304,0,174,174,,,
"",,,,Ram Kali,212260305,0,128,128,,,
"",,,,Ram Kali,212260306,0,612,612,,,
"",,,,Ram Kali,212260307,0,174,174,,,
65 Total,,,,,,0,1760,1760,0,4,4
66,"Government Elementary School, FazalModel Factory",,,Ram Kali,212260401,319,0,319,2,0,2
"",,,,Chah Kichriwala,212260402,373,0,373,,,
"",,,,Basti Retar,212260403,290,0,290,,,
66 Total,,,,,,982,0,982,2,0,2
67,"Government Elementary School, FazalModel Factory",,,Basti Shorkot,212260404,569,0,569,3,0,3
"",,,,Chah Nehrowala,212260405,418,0,418,,,
"",,,,Basti Plot,212260406,323,0,323,,,
67 Total,,,,,,1310,0,1310,3,0,3
68,"Government Girls Primary School, FazalModel Factory, Basti Shorkot",,,Ram Kali,212260401,0,268,268,0,2,2
"",,,,Chah Kichriwala,212260402,0,285,285,,,
"",,,,Basti Retar,212260403,0,288,288,,,
68 Total,,,,,,0,841,841,0,2,2
69,"Government Girls Primary School, FazalModel Factory, Basti Shorkot",,,Basti Shorkot,212260404,0,453,453,0,2,2
"",,,,Chah Nehrowala,212260405,0,370,370,,,
"",,,,Basti Plot,212260406,0,239,239,,,
69 Total,,,,,,0,1062,1062,0,2,2
70,"Government Commerce College, QasimPur Colony",,,Mehmoodabad,212260501,550,0,550,3,0,3
"",,,,Commerce College,212260502,358,0,358,,,
"",,,,Commerce College,212260507,421,0,421,,,
"",,,,Commerce College,212260508,321,0,321,,,
70 Total,,,,,,1650,0,1650,3,0,3
71,"Government Commerce College, QasimPur Colony",,,Shamlot Khait,212260503,322,0,322,3,0,3
"",,,,Shamlot Khait,212260504,190,0,190,,,
"",,,,Shamlot Khait,212260505,109,0,109,,,
"",,,,Mehmoodabad,212260506,466,0,466,,,
"",,,,Mehmoodabad,212260509,327,0,327,,,
71 Total,,,,,,1414,0,1414,3,0,3
"",,Mehmoodabad,212260501,0,491,491,,,,,
"","for Women, Qasim Pur Colony",,,Commerce College,212260507,0,368,368,,,
"",,,,Commerce College,212260508,0,280,280,,,
72 Total,,,,,,0,1458,1458,0,3,3
73,"Government Vocational Training Centrefor Women, Qasim Pur Colony",,,Shamlot Khait,212260503,0,268,268,0,2,2
"",,,,Shamlot Khait,212260504,0,167,167,,,
"",,,,Shamlot Khait,212260505,0,85,85,,,
"",,,,Mehmoodabad,212260506,0,455,455,,,
"",,,,Mehmoodabad,212260509,0,179,179,,,
73 Total,,,,,,0,1154,1154,0,2,2
74,"Government Girls High School, NewCentral Jail",,,Sabzwari Colony,212260601,191,0,191,2,0,2
"",,,,New Shamsabad,212260602,266,0,266,,,
"",,,,New Shamsabad,212260603,374,0,374,,,
74 Total,,,,,,831,0,831,2,0,2
75,"Government Elementary / High School,New Central Jail",,,Sabzwari Colony,212260601,0,168,168,0,2,2
"",,,,New Shamsabad,212260602,0,231,231,,,
"",,,,New Shamsabad,212260603,0,307,307,,,
75 Total,,,,,,0,706,706,0,2,2
76,"Government Girls High School, NewCentral Jail",,,Ghousabad Colony,212260604,160,0,160,3,0,3
"",,,,Ghousabad Colony,212260605,417,0,417,,,
"",,,,Ghousabad Colony,212260701,410,0,410,,,
"",,,,Ghousabad Colony,212260707,390,0,390,,,
76 Total,,,,,,1377,0,1377,3,0,3
77,"Government Elementary / High School,New Central Jail",,,Ghousabad Colony,212260604,0,146,146,0,2,2
"",,,,Ghousabad Colony,212260605,0,378,378,,,
"",,,,Ghousabad Colony,212260701,0,358,358,,,
"",,,,Ghousabad Colony,212260707,0,362,362,,,
77 Total,,,,,,0,1244,1244,0,2,2
78,"Government Girls High School, NewCentral Jail",,,Pir Colony,212260702,414,0,414,2,0,2
"",,,,Pir Colony,212260703,470,0,470,,,
"",,,,Pir Colony,212260704,188,0,188,,,
78 Total,,,,,,1072,0,1072,2,0,2
79,"Government Girls High School, NewCentral Jail",,,Sultanpura,212260705,357,0,357,2,0,2
"",,,,Sultanpura,212260706,349,0,349,,,
"",,,,Sultanpura,212260708,206,0,206,,,
79 Total,,,,,,912,0,912,2,0,2
80,"Government Girls Primary School, NalaWali Muhammad at Pir Colony No.3",,,Pir Colony,212260702,0,349,349,0,2,2
"",,,,Pir Colony,212260703,0,351,351,,,
"",,,,Pir Colony,212260704,0,173,173,,,
80 Total,,,,,,0,873,873,0,2,2
81,"Government Girls Primary School, NalaWali Muhammad at Pir Colony No.3",,,Sultanpura,212260705,0,310,310,0,2,2
"",,,,Sultanpura,212260706,0,282,282,,,
"",,,,Sultanpura,212260708,0,164,164,,,
81 Total,,,,,,0,756,756,0,2,2
82,"245Government Boys Primary School,Ram Kali",,,Ram Kali,212260305,186,0,186,2,0,2
"",,,,Ram Kali,212260306,785,0,785,,,
"",,,,Ram Kali,212260307,299,0,299,,,
82 Total,,,,,,1270,0,1270,2,0,2
83,"Government Boys Middle School, AkramAbad",Akram Abad,213030103,,,447,339,786,1,1,2
"",,Akram Abad,213030107,,,198,137,335,,,
83 Total,,,,,,645,476,1121,1,1,2
Riaz Abad,213030104,,,270,218,488,,,,,
Riaz Abad,213030105,,,432,381,813,,,,,
84 Total,,,,,,983,846,1829,2,2,4
85,"Office of Union Council, Bangwala",Bungle Wala Gharbi,213030203,,,296,271,567,2,2,4
"",,Bungle Wala Gharbi,213030204,,,291,289,580,,,
"",,Bungle Wala Gharbi,213030205,,,272,240,512,,,
85 Total,,,,,,859,800,1659,2,2,4
86,"Government Masjid School, Nou Dakhli",Bungle Wala Gharbi,213030201,,,417,323,740,2,1,3
"",,Bungle Wala Gharbi,213030202,,,351,292,643,,,
86 Total,,,,,,768,615,1383,2,1,3
87,"Government Girls High School, Rawani",Rawani,213030206,,,471,0,471,3,0,3
"",,Rawani,213030207,,,186,0,186,,,
"",,Rawani,213030210,,,153,0,153,,,
"",,Rawani,213030208,,,266,0,266,,,
"",,Rawani,213030209,,,401,0,401,,,
87 Total,,,,,,1477,0,1477,3,0,3
88,"Government Girls High School, Rawani",Rawani,213030206,,,0,429,429,0,3,3
"",,Rawani,213030207,,,0,161,161,,,
"",,Rawani,213030210,,,0,113,113,,,
"",,Rawani,213030208,,,0,235,235,,,
"",,Rawani,213030209,,,0,395,395,,,
88 Total,,,,,,0,1333,1333,0,3,3
89,"Government Boys Primary School, MariMango Mal",Bungle Wala Sharqi,213030301,,,451,364,815,2,2,4
"",,Bungle Wala Sharqi,213030302,,,340,249,589,,,
"",,Bungle Wala Sharqi,213030303,,,321,207,528,,,
89 Total,,,,,,1112,820,1932,2,2,4
90,"Government Boys Middle School, BangalWala Sharqi",Bungle Wala Sharqi,213030304,,,242,248,490,2,2,4
"",,Bungle Wala Sharqi,213030309,,,354,291,645,,,
"",,Bungle Wala Sharqi,213030305,,,185,189,374,,,
90 Total,,,,,,781,728,1509,2,2,4
91,"Government Boys Higher SecondarySchool, Kot Mela Ram",Rasheeda,213030306,,,423,0,423,3,0,3
"",,Rasheeda,213030307,,,480,0,480,,,
"",,Rasheeda,213030310,,,204,0,204,,,
"",,Rasheeda,213030308,,,452,0,452,,,
91 Total,,,,,,1559,0,1559,3,0,3
92,"Government Boys Higher SecondarySchool, Kot Mela Ram (Primary Portion)",Rasheeda,213030306,,,0,314,314,0,2,2
"",,Rasheeda,213030307,,,0,421,421,,,
"",,Rasheeda,213030310,,,0,164,164,,,
"",,Rasheeda,213030308,,,0,372,372,,,
92 Total,,,,,,0,1271,1271,0,2,2
93,"Government Girls Primary School,Barhaman Wala",Berhemen Wala,213030701,,,289,243,532,2,2,4
"",,Berhemen Wala,213030702,,,616,470,1086,,,
93 Total,,,,,,905,713,1618,2,2,4
94,"Government Boys Primary School, MariWaliyan",Mari Wallian,213030703,,,491,430,921,1,1,2
94 Total,,,,,,491,430,921,1,1,2
95,"Government Boys Primary School, ArjunSingh (Basti Islam pur)",Khaghay Wala,213030601,,,99,67,166,2,2,4
"",,Khaghay Wala,213030602,,,673,606,1279,,,
95 Total,,,,,,772,673,1445,2,2,4
96,"Government Girls Middle School, KhagayWala",Khaghay Wala,213030603,,,428,367,795,2,2,4
"",,Khaghay Wala,213030604,,,458,374,832,,,
96 Total,,,,,,886,741,1627,2,2,4
97,"Government Boys High School, KotlaMaharan",Kotla Muharan,213030608,,,88,72,160,2,2,4
Kotla Muharan,213030609,,,600,603,1203,,,,,
98,"Government Girls High School, Loother",Lother,213030407,,,396,329,725,2,2,4
"",,Lother,213030408,,,364,332,696,,,
98 Total,,,,,,760,661,1421,2,2,4
99,"Government Girls High School, Loother",Lother,213030409,,,90,69,159,2,2,4
"",,Lother,213030418,,,315,301,616,,,
"",,Lother,213030410,,,349,333,682,,,
99 Total,,,,,,754,703,1457,2,2,4
100,"Government Girls High School, Loother",Lother,213030411,,,397,375,772,1,1,2
"",,Lother,213030412,,,142,105,247,,,
100 Total,,,,,,539,480,1019,1,1,2
101,"Government Boys High School, Loother",Lother,213030401,,,284,213,497,2,1,3
"",,Lother,213030415,,,436,351,787,,,
101 Total,,,,,,720,564,1284,2,1,3
102,"Government Boys Primary School,Loother No. 1",Lother,213030405,,,375,312,687,2,2,4
"",,Lother,213030406,,,450,396,846,,,
102 Total,,,,,,825,708,1533,2,2,4
103,"Government Boys High School, Loother",Lother,213030402,,,477,369,846,2,2,4
"",,Lother,213030403,,,215,209,424,,,
"",,Lother,213030404,,,263,242,505,,,
103 Total,,,,,,955,820,1775,2,2,4
104,"Government Girls Primary School, JinnahAbadi (Loother)",Lother,213030416,,,496,377,873,2,1,3
"",,Lother,213030417,,,284,236,520,,,
104 Total,,,,,,780,613,1393,2,1,3
105,"Government Boys Primary School,Loother No. 2",Lother,213030413,,,412,307,719,1,1,2
105 Total,,,,,,412,307,719,1,1,2
106,"Government Boys Primary School,Loother No. 2",Lother,213030414,,,987,796,1783,2,2,4
106 Total,,,,,,987,796,1783,2,2,4
107,Government Boys High School Tatay Pur,Tattay Pur,213030509,,,203,0,203,4,0,4
"",,Tattay Pur,213030510,,,448,0,448,,,
"",,Tattay Pur,213030511,,,269,0,269,,,
"",,Tattay Pur,213030512,,,589,0,589,,,
"",,Tattay Pur,213030513,,,484,0,484,,,
107 Total,,,,,,1993,0,1993,4,0,4
108,Government Boys High School Tatay Pur,Tattay Pur,213030506,,,387,0,387,4,0,4
"",,Tattay Pur,213030507,,,359,0,359,,,
"",,Tattay Pur,213030508,,,326,0,326,,,
"",,Tattay Pur,213030514,,,360,0,360,,,
"",,Tattay Pur,213030515,,,369,0,369,,,
108 Total,,,,,,1801,0,1801,4,0,4
109,"Government Girls Higher SecondarySchool, Tatay Pur",Tattay Pur,213030509,,,0,188,188,0,3,3
"",,Tattay Pur,213030510,,,0,177,177,,,
"",,Tattay Pur,213030511,,,0,255,255,,,
"",,Tattay Pur,213030512,,,0,614,614,,,
"",,Tattay Pur,213030513,,,0,316,316,,,
109 Total,,,,,,0,1550,1550,0,3,3
110,"Government Girls Higher SecondarySchool, Tatay Pur",Tattay Pur,213030506,,,0,365,365,0,3,3
Tattay Pur,213030507,,,0,303,303,,,,,
Tattay Pur,213030508,,,0,281,281,,,,,
Tattay Pur,213030514,,,0,323,323,,,,,
Tattay Pur,213030515,,,0,300,300,,,,,
111,"Government Boys Primary School, MongWadha",Mong Wadh,213030503,,,384,0,384,3,0,3
"",,Mong Wadh,213030504,,,255,0,255,,,
"",,Mong Wadh,213030516,,,392,0,392,,,
"",,Mong Wadh,213030505,,,509,0,509,,,
111 Total,,,,,,1540,0,1540,3,0,3
112,"Government Boys High School SandaGhulam Hussain",Sunda Ghulam Hussain,213030501,,,433,305,738,2,2,4
"",,Sunda Ghulam Hussain,213030502,,,429,372,801,,,
112 Total,,,,,,862,677,1539,2,2,4
113,"37-Government Boys Middle School,Akram Abad",Akram Abad,213030101,,,554,394,948,2,2,4
"",,Akram Abad,213030102,,,529,428,957,,,
113 Total,,,,,,1083,822,1905,2,2,4
114,"Government Girls Middle School, KhagayWala",Khaghay Wala,213030605,,,176,142,318,2,1,3
"",,Khaghay Wala,213030606,,,257,232,489,,,
"",,Khaghay Wala,213030607,,,252,200,452,,,
114 Total,,,,,,685,574,1259,2,1,3
115,"Government Boys Primary School, MongWadha",Mong Wadh,213030503,,,0,312,312,0,2,2
"",,Mong Wadh,213030504,,,0,224,224,,,
"",,Mong Wadh,213030516,,,0,285,285,,,
"",,Mong Wadh,213030505,,,0,441,441,,,
115 Total,,,,,,0,1262,1262,0,2,2
116,"Government Boys Primary School, 2-MR",Chak No. 2/MR,213050103,,,536,419,955,1,1,2
116 Total,,,,,,536,419,955,1,1,2
117,"Government Boys High School, Chak No.1-MR",Chak No. 1/MR,213050101,,,302,273,575,1,1,2
"",,Chak No. 1/MR,213050102,,,327,280,607,,,
117 Total,,,,,,629,553,1182,1,1,2
118,"Government Girls Primary School, 5-T",Chak No. 5/T,213050106,,,317,281,598,2,2,4
"",,Chak No. 5/T,213050107,,,501,371,872,,,
118 Total,,,,,,818,652,1470,2,2,4
119,"Government Boys Elementary School, 6-T",Chak No. 6/T,213050108,,,137,157,294,2,2,4
"",,Chak No. 6/T,213050109,,,433,338,771,,,
"",,Chak No. 6/T,213050110,,,422,344,766,,,
119 Total,,,,,,992,839,1831,2,2,4
120,Government Boys Primary School 15/MR,Chak No. 15/MR,213050201,,,663,535,1198,2,1,3
120 Total,,,,,,663,535,1198,2,1,3
121,"Government Boys Primary School, 16/MR",Chak No. 16/MR,213050202,,,702,556,1258,2,1,3
121 Total,,,,,,702,556,1258,2,1,3
122,"Government Boys Primary School, 17/MR",Chak No. 17/MR,213050203,,,728,620,1348,2,1,3
122 Total,,,,,,728,620,1348,2,1,3
123,"Government Boys High School, 18-MR",Chak No. 18/MR,213050505,,,317,0,317,3,0,3
"",,Chak No. 18/MR,213050506,,,547,0,547,,,
"",,Chak No. 18/MR,213050507,,,558,0,558,,,
"",,Chak No. 18/MR,213050508,,,263,0,263,,,
123 Total,,,,,,1685,0,1685,3,0,3
124,"Government Boys High School, 18-MR",Chak No. 18/MR,213050505,,,0,258,258,0,3,3
Chak No. 18/MR,213050506,,,0,394,394,,,,,
Chak No. 18/MR,213050507,,,0,473,473,,,,,
Chak No. 18/MR,213050508,,,0,209,209,,,,,
124 Total,,,,,,0,1334,1334,0,3,3
"",,Chak No. 12/MR,213050502,,,441,351,792,,,
125 Total,,,,,,1124,890,2014,2,2,4
126,"Government Boys Primary School, 13-MR",Chak No. 13/MR,213050503,,,499,411,910,2,2,4
"",,Chak No. 13/MR,213050504,,,415,309,724,,,
126 Total,,,,,,914,720,1634,2,2,4
127,Government Boys Primary School 14-MR,Chak No. 14/MR,213050401,,,695,537,1232,2,1,3
127 Total,,,,,,695,537,1232,2,1,3
128,"Government Boys Middle School, 9-MR",Chak No. 9/MR,213050402,,,656,486,1142,2,2,4
"",,Chak No. 9/MR,213050403,,,360,230,590,,,
128 Total,,,,,,1016,716,1732,2,2,4
129,Government Boys Middle School 19-MR,Chak No. 19/MR,213050307,,,798,652,1450,2,2,4
129 Total,,,,,,798,652,1450,2,2,4
130,"Government Boys Primary School, 11-MR",Chak No. 10/MR,213050301,,,150,126,276,2,2,4
"",,Chak No. 11/MR,213050302,,,699,547,1246,,,
"",,Chak No. 11/MR,213050303,,,196,131,327,,,
130 Total,,,,,,1045,804,1849,2,2,4
131,"Government Boys High School, Rid",Rid Shumali Janobi,213050304,,,513,0,513,2,0,2
"",,Rid Shumali Janobi,213050305,,,485,0,485,,,
"",,Rid Shumali Janobi,213050306,,,256,0,256,,,
131 Total,,,,,,1254,0,1254,2,0,2
132,"Government Boys High School, Rid",Rid Shumali Janobi,213050304,,,0,442,442,0,2,2
"",,Rid Shumali Janobi,213050305,,,0,385,385,,,
"",,Rid Shumali Janobi,213050306,,,0,224,224,,,
132 Total,,,,,,0,1051,1051,0,2,2
133,"Government Boys Elementary School, 4-MR",Chak No. 4/MR,213050604,,,416,250,666,2,2,4
"",,Chak No. 4/MR,213050605,,,479,391,870,,,
"",,Chak No. 4/MR,213050606,,,462,320,782,,,
133 Total,,,,,,1357,961,2318,2,2,4
134,"Government Boys Primary School, 3-MR",Chak No. 3/MR,213050601,,,510,449,959,2,2,4
"",,Chak No. 3/MR,213050602,,,305,309,614,,,
"",,Chak No. 3/MR,213050603,,,142,126,268,,,
134 Total,,,,,,957,884,1841,2,2,4
135,"Government Boys High School, 5-MR",Chak No. 5/MR,213050607,,,793,615,1408,2,2,4
"",,Chak No. 5/MR,213050608,,,422,312,734,,,
135 Total,,,,,,1215,927,2142,2,2,4
136,"Government Boys Primary School, 6-MR",Chak No. 6/MR,213050609,,,642,490,1132,2,2,4
"",,Chak No. 6/MR,213050610,,,473,357,830,,,
"",,Anayat Pur Marral,213050611,,,99,72,171,,,
136 Total,,,,,,1214,919,2133,2,2,4
137,"Government Boys High School, Khan PurMarral",Khan Pur Marral,213050701,,,424,342,766,2,1,3
"",,Khan Pur Marral,213050703,,,323,255,578,,,
137 Total,,,,,,747,597,1344,2,1,3
138,"Government Boys Primary School, 7-MR",Chak No. 7/MR,213050704,,,497,373,870,2,1,3
"",,Chak No. 7/MR,213050705,,,138,116,254,,,
"",,Chak No. 7/MR,213050706,,,68,64,132,,,
138 Total,,,,,,703,553,1256,2,1,3
139,"Government Boys High School, 8-MR",Chak No. 8/MR,213050707,,,522,423,945,1,1,2
"",,Chak No. 8/MR,213050708,,,109,89,198,,,
139 Total,,,,,,631,512,1143,1,1,2
Chak No. 2/MR,213050104,,,675,484,1159,,,,,
140 Total,,,,,,1088,821,1909,2,2,4
141,"Government Boys High School, Khan PurMarral",Khan Pur Marral,213050702,,,589,493,1082,1,1,2
141 Total,,,,,,589,493,1082,1,1,2
142,"Government Boys Primary School, 2 Hans",Chak No. 2/H,213060104,,,155,104,259,1,1,2
"",,Chak No. 2/H,213060105,,,45,32,77,,,
"",,Chak No. 2/H,213060106,,,296,269,565,,,
"",,Chak No. 2/H,213060107,,,28,18,46,,,
142 Total,,,,,,524,423,947,1,1,2
143,"Government Boys Primary School, 4 Hans",Chak No.4/H,213060108,,,310,223,533,1,1,2
"",,Chak No.4/H,213060109,,,326,239,565,,,
143 Total,,,,,,636,462,1098,1,1,2
