Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral roll incase electoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
98,"Govt Boys High School, Noor Garh Part-II (P)",Chak No.285-87/WB,219020403,,,,418,306,724,1,1,2
Total,,,,,,,418,306,724,1,1,2
99,"Govt Boys Primary School, Chak 269/WB(P)",Chak No. 269/WB,219020404,,,,663,470,1133,2,1,3
"",,Chak No. 269/WB,219020405,,,,129,86,215,,,
Total,,,,,,,792,556,1348,2,1,3
100,"Govt Boys Primary School, Chak 289/WB(P)",Chak No. 289/WB,219020406,,,,510,459,969,2,1,3
"",,Chak No. 289/WB,219020407,,,,171,163,334,,,
Total,,,,,,,681,622,1303,2,1,3
Chak No. 267/WB,219020408,,,,445,349,794,2,1,3,,
Total,,,,,,,796,653,1449,2,1,3
102,"Govt Girls  High  School, Chak 297/WB(P)",Maqbool Wah,219020601,,,,104,77,181,1,1,2
"",,Chak No. 297/WB,219020602,,,,531,377,908,,,
Total,,,,,,,635,454,1089,1,1,2
103,"Govt Boys Primary School, Chak 295/WB(P)",Chak No. 295/WB,219020603,,,,579,428,1007,2,1,3
"",,Chak No. 295/WB,219020604,,,,202,156,358,,,
Total,,,,,,,781,584,1365,2,1,3
104,"Govt Boys Primary School, Chak 309/WB(P)",Chak No. 309/WB,219020607,,,,216,135,351,2,1,3
"",,Chak No. 309/WB,219020608,,,,527,348,875,,,
Total,,,,,,,743,483,1226,2,1,3
105,"Govt Girls  Primary School, Chak 311/WB(P)",Chak No. 311/WB,219020609,,,,452,361,813,2,1,3
"",,Chak No. 311/WB,219020610,,,,315,200,515,,,
Total,,,,,,,767,561,1328,2,1,3
106,"Govt Boys Primary School, Chak 301/WB(P)",Chak No. 301/WB,219020605,,,,647,518,1165,2,1,3
"",,Chak No. 301/WB,219020606,,,,69,39,108,,,
Total,,,,,,,716,557,1273,2,1,3
107,"Govt Boys Primary School, Manjha Kotla Male(P)",Manjha Kotla,219020805,,,,513,0,513,3,0,3
"",,Manjha Kotla,219020806,,,,464,0,464,,,
"",,Manjha Kotla,219020807,,,,302,0,302,,,
Total,,,,,,,1279,0,1279,3,0,3
108,"Govt Girls  Primary School, Manjha Kotla Female(P)",Manjha Kotla,219020805,,,,0,460,460,0,2,2
"",,Manjha Kotla,219020806,,,,0,291,291,,,
"",,Manjha Kotla,219020807,,,,0,229,229,,,
Total,,,,,,,0,980,980,0,2,2
109,"Govt Girls  Primary School, Bohar Langah.(P)",Bhobat pur,219020801,,,,419,314,733,2,2,4
"",,Bohar Langah,219020802,,,,548,425,973,,,
Total,,,,,,,967,739,1706,2,2,4
110,"Govt Boys Primary School, Bapper Wala.(P)",Bapper,219020803,,,,254,153,407,1,1,2
"",,Bapper,219020804,,,,377,252,629,,,
Total,,,,,,,631,405,1036,1,1,2
111,"Govt Girls  Primary School, Chak 1-4-M(P)",Chak No. 1- A/M,219021004,,,,491,274,765,1,1,2
"",,Chak No. 2-A/M,219021002,,,,125,84,209,,,
Total,,,,,,,616,358,974,1,1,2
112,"Govt Boys High School, Chak 3-M(P)",Chak No. 3/M,219021003,,,,540,443,983,1,1,2
Total,,,,,,,540,443,983,1,1,2
113,"Govt Girls  Primary School, Chak 223/WB(P)",Chak No. 223/WB,219021001,,,,649,438,1087,1,1,2
Total,,,,,,,649,438,1087,1,1,2
114,"Govt Boys Primary School, 23-M(P)",Chak No. 23/M,219041104,,,,647,400,1047,1,1,2
Total,,,,,,,647,400,1047,1,1,2
115,"Govt Girls  Primary School, Chak 5-M(P)",Chak No. 5/M,219041001,,,,602,483,1085,1,1,2
Total,,,,,,,602,483,1085,1,1,2
116,"Govt Boys Primary School, Chak 7-M(P)",Chak No. 6/M,219041002,,,,609,438,1047,2,2,4
"",,Chak No. 7/M,219040904,,,,399,299,698,,,
Total,,,,,,,1008,737,1745,2,2,4
117,"Govt Boys Primary School, Chak 4-M(P)",Chak No. 8/M,219041003,,,,457,343,800,2,1,3
"",,Chak No. 4/M,219040901,,,,415,326,741,,,
Total,,,,,,,872,669,1541,2,1,3
118,"Govt Boys Middle School, Chak No.11-M(P)",Bahoopur,219040906,,,,90,45,135,2,1,3
"",,Chak No. 11/M,219040905,,,,603,410,1013,,,
Total,,,,,,,693,455,1148,2,1,3
119,"Govt Boys Primary School, Chak 235/WB Male(P)",Chak No. 235/WB,219040801,,,,629,0,629,3,0,3
"",,Chak No. 235/WB,219040802,,,,461,0,461,,,
Total,,,,,,,1090,0,1090,3,0,3
120,"Govt Girls  Primary School, Chak 235/WB Female(P)",Chak No. 235/WB,219040801,,,,0,457,457,0,2,2
"",,Chak No. 235/WB,219040802,,,,0,382,382,,,
Total,,,,,,,0,839,839,0,2,2
121,"Govt Boys Primary School, Chak 243/WB Male(P)",Chak No. 243/WB,219040803,,,,208,0,208,2,0,2
"",,Chak No. 243/WB,219040804,,,,535,0,535,,,
"",,Chak No. 247/WB,219040806,,,,87,0,87,,,
"",,Chak No. 245/WB,219040805,,,,354,0,354,,,
Total,,,,,,,1184,0,1184,2,0,2
122,"Govt Girls  Primary School, Chak 243/WB Female(P)",Chak No. 243/WB,219040803,,,,0,183,183,0,2,2
"",,Chak No. 243/WB,219040804,,,,0,406,406,,,
"",,Chak No. 247/WB,219040806,,,,0,63,63,,,
"",,Chak No. 245/WB,219040805,,,,0,242,242,,,
Total,,,,,,,0,894,894,0,2,2
123,"Govt Boys Primary School, 10-M(P)",Chak No. 10/M,219040701,,,,262,209,471,2,2,4
"",,Chak No. 10/M,219040702,,,,172,103,275,,,
"",,Chak No. 10/M,219040703,,,,168,150,318,,,
"",,Chak No. 10/M,219040704,,,,338,234,572,,,
Total,,,,,,,940,696,1636,2,2,4
124,"Govt Girls  Primary School, 12-M(P)",Chak No. 12/M,219040706,,,,476,352,828,2,1,3
"",,Chak No. 12/M,219040707,,,,324,225,549,,,
Total,,,,,,,800,577,1377,2,1,3
125,"Govt Boys Primary School, Chak 13-M(P)",Chak No. 13/M,219040708,,,,514,405,919,2,1,3
"",,Naich,219040705,,,,243,148,391,,,
Total,,,,,,,757,553,1310,2,1,3
126,"Govt Girls  Primary School, Chak 14-M(P)",Chak No. 14/M,219040709,,,,753,578,1331,2,2,4
"",,Chak No. 14/M,219040710,,,,329,197,526,,,
Total,,,,,,,1082,775,1857,2,2,4
Chak No. 15/M,219040711,,,,175,121,296,1,1,2,,
Total,,,,,,,575,373,948,1,1,2
128,"Govt Girls  Primary School, Chak 9-M(P)",Chak No. 9/M,219040902,,,,255,150,405,2,1,3
"",,Chak No. 9/M,219040903,,,,497,347,844,,,
Total,,,,,,,752,497,1249,2,1,3
129,"Govt Boys Primary School, Chak No.17-M Part-I (P)",Chak No. 17/M,219041101,,,,458,330,788,2,1,3
"",,Chak No. 17/M,219041102,,,,440,250,690,,,
Total,,,,,,,898,580,1478,2,1,3
130,"Govt Boys Primary School, Chak No.17-M Part-II (P)",Chak No. 18/M,219041103,,,,276,180,456,1,1,2
Total,,,,,,,276,180,456,1,1,2
131,"Govt Girls  Primary School, Chak No. 28-M Part-I (P)",Chak No. 28/M,219041202,,,,459,354,813,1,1,2
Total,,,,,,,459,354,813,1,1,2
132,"Govt Girls  Primary School, Chak No. 28-M Part-II (P)",Chak No. 28/M,219041203,,,,670,522,1192,1,1,2
Total,,,,,,,670,522,1192,1,1,2
133,"Govt Girls  Primary School, Chak No. 27-M(P)",Chak No. 27/M,219041201,,,,575,497,1072,1,1,2
Total,,,,,,,575,497,1072,1,1,2
134,"Govt Boys High School, Chak No. 35-M Part-I (P)",Chak No. 35/M,219041204,,,,764,627,1391,1,1,3
Total,,,,,,,764,627,1391,0,1,3
135,"Govt Boys High School, Chak No. 35-M Part-II (P)",Chak No. 35/M,219041205,,,,367,288,655,1,1,2
Total,,,,,,,367,288,655,1,1,2
136,Govt.Girls Primary School Chak No. 29/M (Comb) (P),Chak No.29/M,219041301,,,,408,334,742,1,1,2
Total,,,,,,,408,334,742,1,1,2
137,"Govt.Girls Community Model School Chak No. 31/M(Comb) (P)",Chak No.31/M,219041302,,,,459,348,807,2,1,3
"",,Chak No.31/M,219041303,,,,309,261,570,,,
Total,,,,,,,768,609,1377,2,1,3
138,"Govt Boys Primary School,Chak No. 32/M (Comb) (P)",Chak No.32/M,219040105,,,,217,153,370,2,1,3
"",,Chak No.33/M,219040104,,,,461,347,808,,,
Total,,,,,,,678,500,1178,2,1,3
139,"Govt Girls Primary School, Chak No.34/M (Comb) (P)",Chak No.34/M,219040103,,,,487,388,875,1,1,2
Total,,,,,,,487,388,875,1,1,2
140,"Govt.Boys Middle School, Chak No. 37/M (Comb) (P)",Chak No.36/M,219040102,,,,404,309,713,2,2,4
"",,Chak No.37/M,219040101,,,,565,427,992,,,
Total,,,,,,,969,736,1705,2,2,4
Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral roll incase electoral",Number of voters assigned to,Number of polling,,,,,,
"",,"Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt. Muncipal Committee. Social High School Part- IFemale (P)",,,"MunicipalCommittee.KehrorPacca",218040802,,0,567,567,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040804,,0,405,405,,,
Total,,,,,,,0,1204,1204,0,3,3
2,"Govt. Muncipal Committee. Social High School Part- IIFemale (P)",,,"MunicipalCommittee.KehrorPacca",218040803,,0,561,561,0,3,3
"",,,,"MunicipalCommittee.KehrorPacca",218040805,,0,670,670,,,
Total,,,,,,,0,1231,1231,0,3,3
3,"Govt. Muncipal Committee. Social High School Part- IIIMale (P)",,,"MunicipalCommittee.KehrorPacca",218040801,,295,0,295,3,0,3
"",,,,"MunicipalCommittee.KehrorPacca",218040802,,684,0,684,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040804,,417,0,417,,,
Total,,,,,,,1396,0,1396,3,0,3
4,"Govt. Muncipal Committee. Social High School Part- IVmale (P)",,,"MunicipalCommittee.KehrorPacca",218040803,,678,0,678,3,0,3
"",,,,"MunicipalCommittee.KehrorPacca",218040805,,665,0,665,,,
Total,,,,,,,1343,0,1343,3,0,3
5,"Govt.Girls Elementary School, Railway Station, ( M )Part-I (P)",,,"MunicipalCommittee.KehrorPacca",218040701,,592,0,592,2,0,2
"",,,,"MunicipalCommittee.KehrorPacca",218040702,,312,0,312,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040703,,189,0,189,,,
Total,,,,,,,1093,0,1093,2,0,2
6,"Govt.Girls Elementary School, Railway Station,( F ) Part-II (P)",,,"MunicipalCommittee.KehrorPacca",218040701,,0,471,471,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218040702,,0,246,246,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040703,,0,155,155,,,
Total,,,,,,,0,872,872,0,2,2
"",,"MunicipalCommittee.KehrorPacca",218040704,,400,0,400,2,0,2,,
"",,,,"MunicipalCommittee.KehrorPacca",218040706,,267,0,267,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040707,,336,0,336,,,
Total,,,,,,,1480,0,1480,2,0,2
8,Market Committee .Part-II Female (P),,,"MunicipalCommittee.KehrorPacca",218040704,,0,287,287,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218040705,,0,397,397,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040706,,0,203,203,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040707,,0,232,232,,,
Total,,,,,,,0,1119,1119,0,2,2
9,"Govt Girls  Primary School , Faiz Abad Male (P)",,,"MunicipalCommittee.KehrorPacca",218040301,,324,0,324,3,0,3
"",,,,"MunicipalCommittee.KehrorPacca",218040302,,167,0,167,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040303,,269,0,269,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040304,,356,0,356,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040901,,389,0,389,,,
Total,,,,,,,1505,0,1505,3,0,3
10,"Govt.Girls Primary School, Bhandi Wala  Female (P)",,,"MunicipalCommittee.KehrorPacca",218040301,,0,295,295,0,4,4
"",,,,"MunicipalCommittee.KehrorPacca",218040302,,0,142,142,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040303,,0,236,236,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040304,,0,341,341,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040901,,0,292,292,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040902,,0,245,245,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040907,,0,82,82,,,
Total,,,,,,,0,1633,1633,0,4,4
11,"Govt Model  High School , Part-I Male(P)",,,"MunicipalCommittee.KehrorPacca",218040902,,310,0,310,4,0,4
"",,,,"MunicipalCommittee.KehrorPacca",218040907,,105,0,105,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040903,,347,0,347,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040904,,195,0,195,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040906,,651,0,651,,,
Total,,,,,,,1608,0,1608,4,0,4
12,"Govt Model  High School , Part-II  (P)",,,"MunicipalCommittee.KehrorPacca",218040908,,706,516,1222,2,1,3
Total,,,,,,,706,516,1222,2,1,3
13,"Govt Model  High School , Part-III (P)",,,"MunicipalCommittee.KehrorPacca",218040909,,431,332,763,2,1,3
"",,,,"MunicipalCommittee.KehrorPacca",218040905,,324,265,589,,,
Total,,,,,,,755,597,1352,2,1,3
14,"Govt Girls Degree College, Part I Female(P)",,,"MunicipalCommittee.KehrorPacca",218040903,,0,264,264,0,4,4
"",,,,"MunicipalCommittee.KehrorPacca",218040904,,0,178,178,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040906,,0,541,541,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041001,,0,253,253,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041006,,0,239,239,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041007,,0,181,181,,,
Total,,,,,,,0,1656,1656,0,4,4
15,"Govt Model  High School ,  Part-IV Male(P)",,,"MunicipalCommittee.KehrorPacca",218041001,,329,0,329,3,0,3
"",,"MunicipalCommittee.KehrorPacca",218041006,,322,0,322,,,,,
"",,"MunicipalCommittee.KehrorPacca",218041002,,474,0,474,,,,,
"",,"MunicipalCommittee.KehrorPacca",218041007,,234,0,234,,,,,
16,"Govt Girls Degree College, Part II Female(P)",,,"MunicipalCommittee.KehrorPacca",218041002,,0,363,363,0,4,4
"",,,,"MunicipalCommittee.KehrorPacca",218041003,,0,127,127,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041008,,0,188,188,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041004,,0,563,563,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041009,,0,452,452,,,
Total,,,,,,,0,1693,1693,0,4,4
17,Muncipal Committee Office  Male(P),,,"MunicipalCommittee.KehrorPacca",218041003,,187,0,187,4,0,4
"",,,,"MunicipalCommittee.KehrorPacca",218041008,,260,0,260,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041004,,652,0,652,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041009,,612,0,612,,,
Total,,,,,,,1711,0,1711,4,0,4
18,Govt Ghosia Primary School  Male(P),,,"MunicipalCommittee.KehrorPacca",218040102,,564,0,564,3,0,3
"",,,,"MunicipalCommittee.KehrorPacca",218040103,,366,0,366,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040106,,610,0,610,,,
Total,,,,,,,1540,0,1540,3,0,3
19,"Govt Boys Degree College Kehror,Part -I Male(P)",,,"MunicipalCommittee.KehrorPacca",218040104,,812,0,812,4,0,4
"",,,,"MunicipalCommittee.KehrorPacca",218040502,,500,0,500,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040503,,336,0,336,,,
Total,,,,,,,1648,0,1648,4,0,4
20,"Govt Boys Degree College Kehror,Part- II Female(P)",,,"MunicipalCommittee.KehrorPacca",218040104,,0,589,589,0,3,3
"",,"MunicipalCommittee.KehrorPacca",218040502,,0,419,419,,,,,
"",,"MunicipalCommittee.KehrorPacca",218040503,,0,278,278,,,,,
21,"Govt Boys Degree College Kehror,Part -III Female(P)",,,"MunicipalCommittee.KehrorPacca",218040102,,0,376,376,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218040103,,0,324,324,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040106,,0,477,477,,,
Total,,,,,,,0,1177,1177,0,2,2
22,"Govt Boys Degree College Kehror,Part -IV (P)",,,"MunicipalCommittee.KehrorPacca",218040107,,210,185,395,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218040108,,219,139,358,,,
Total,,,,,,,429,324,753,0,2,2
23,Govt Islamia Public High School  Part I Male(P),,,"MunicipalCommittee.KehrorPacca",218040504,,190,0,190,4,0,4
"",,,,"MunicipalCommittee.KehrorPacca",218040601,,439,0,439,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040605,,306,0,306,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040602,,282,0,282,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040603,,567,0,567,,,
Total,,,,,,,1784,0,1784,4,0,4
24,Govt Islamia Public High School  Part II Female(P),,,"MunicipalCommittee.KehrorPacca",218040504,,0,152,152,0,3,3
"",,,,"MunicipalCommittee.KehrorPacca",218040601,,0,355,355,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040605,,0,216,216,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040602,,0,237,237,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040603,,0,442,442,,,
Total,,,,,,,0,1402,1402,0,3,3
25,Ziladari Office Bangla Anhar  Part-I Male (P),,,"MunicipalCommittee.KehrorPacca",218040604,,560,0,560,2,2,4
"",,"MunicipalCommittee.KehrorPacca",218040606,,588,0,588,,,,,
"",,"MunicipalCommittee.KehrorPacca",218040607,,606,0,606,,,,,
26,Ziladari Office Bangla Anhar Part-II Female  (P),,,"MunicipalCommittee.KehrorPacca",218040604,,0,505,505,2,2,4
"",,,,"MunicipalCommittee.KehrorPacca",218040606,,0,515,515,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040607,,0,420,420,,,
Total,,,,,,,0,1440,1440,2,2,4
27,Govt Girls  Higher Secondary  School Part I (P),,,"MunicipalCommittee.KehrorPacca",218040101,,513,380,893,2,1,3
"",,,,"MunicipalCommittee.KehrorPacca",218040105,,358,253,611,,,
Total,,,,,,,871,633,1504,2,1,3
28,Govt Girls  Higher Secondary  School Part II Male (P),,,"MunicipalCommittee.KehrorPacca",218041005,,696,0,696,3,0,3
"",,,,"MunicipalCommittee.KehrorPacca",218041010,,505,0,505,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040201,,130,0,130,,,
Total,,,,,,,1331,0,1331,3,0,3
29,Govt Girls  Higher Secondary  School Part III Female (P),,,"MunicipalCommittee.KehrorPacca",218041005,,0,602,602,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218041010,,0,327,327,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040201,,0,120,120,,,
Total,,,,,,,0,1049,1049,0,2,2
30,"Govt. Shah Muhammad Joiya Elementary School, NewBuilding Male(P)",,,"MunicipalCommittee.KehrorPacca",218040202,,278,0,278,2,0,2
"",,,,"MunicipalCommittee.KehrorPacca",218040203,,144,0,144,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040204,,284,0,284,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040401,,447,0,447,,,
Total,,,,,,,1153,0,1153,2,0,2
"",,"MunicipalCommittee.KehrorPacca",218040202,,0,254,254,0,2,2,,
"",,"MunicipalCommittee.KehrorPacca",218040203,,0,100,100,,,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040401,,0,347,347,,,
Total,,,,,,,0,914,914,0,2,2
32,"Govt. Girls  Higher Secondary  School, Part III Male(P)",,,"MunicipalCommittee.KehrorPacca",218040402,,474,0,474,3,0,3
"",,,,"MunicipalCommittee.KehrorPacca",218040403,,288,0,288,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040404,,208,0,208,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040405,,355,0,355,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040501,,150,0,150,,,
Total,,,,,,,1475,0,1475,3,0,3
33,Govt Girls  Higher Secondary  School  Part IV Female(P),,,"MunicipalCommittee.KehrorPacca",218040402,,0,323,323,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218040403,,0,204,204,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040404,,0,155,155,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040405,,0,239,239,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040501,,0,124,124,,,
Total,,,,,,,0,1045,1045,0,2,2
34,"Govt Girls  Primary School , Dhuddi Wala at MultaniWala(P)",Kehror,218010401,,,,636,502,1138,2,2,4
"",,Kehror,218010402,,,,392,284,676,,,
Total,,,,,,,1028,786,1814,2,2,4
35,"Govt Boys Primary School , Mulwaney Wala(P)",Kehror,218010403,,,,571,498,1069,2,2,4
"",,Kehror,218010404,,,,504,397,901,,,
Total,,,,,,,1075,895,1970,2,2,4
36,"Govt Girls  Primary School ,  Basti Tibba At Sajan WalaFaridabad Male(P)",Farid Abad,218010405,,,,549,0,549,3,0,3
"",,Farid Abad,218010406,,,,390,0,390,,,
"",,Farid Abad,218010407,,,,461,0,461,,,
Total,,,,,,,1400,0,1400,3,0,3
37,Union Council Office Faridabad Female(P),Farid Abad,218010405,,,,0,359,359,0,2,2
"",,Farid Abad,218010406,,,,0,300,300,,,
"",,Farid Abad,218010407,,,,0,312,312,,,
Total,,,,,,,0,971,971,0,2,2
Farid Abad,218010408,,,,548,0,548,4,0,4,,
"",,Farid Abad,218010410,,,,399,0,399,,,
"",,Farid Abad,218010411,,,,426,0,426,,,
Total,,,,,,,1625,0,1625,4,0,4
39,"Govt Boys  Middle School , Chore Wah at FaridabadFemale   (P)",Farid Abad,218010408,,,,0,435,435,0,2,2
"",,Farid Abad,218010409,,,,0,174,174,,,
"",,Farid Abad,218010410,,,,0,290,290,,,
"",,Farid Abad,218010411,,,,0,367,367,,,
Total,,,,,,,0,1266,1266,0,2,2
40,"Govt Boys Primary School , Kotla Dilbar Bahwal GarhPart-I (P)",Bahawal Garh,218010101,,,,285,192,477,1,1,2
"",,Bahawal Garh,218010102,,,,298,153,451,,,
Total,,,,,,,583,345,928,1,1,2
41,"Govt Boys Primary School, Kotla Dilbar Bahwal GarhPart-II (P)",Bahawal Garh,218010103,,,,638,471,1109,2,1,3
"",,Bahawal Garh,218010104,,,,298,172,470,,,
Total,,,,,,,936,643,1579,2,1,3
42,"Govt Boys High School, Bahawal Garh Part-I (P)",Bahawal Garh,218010105,,,,381,211,592,1,1,2
"",,Bahawal Garh,218010106,,,,216,152,368,,,
Total,,,,,,,597,363,960,1,1,2
43,Govt Boys High School Bahwala Garh Part-II (P),Bahawal Garh,218010107,,,,280,180,460,1,1,2
"",,Bahawal Garh,218010110,,,,219,143,362,,,
Total,,,,,,,499,323,822,1,1,2
44,Govt Boys High School Bahwala Garh Part-III (P),Bahawal Garh,218010108,,,,330,260,590,2,1,3
"",,Bahawal Garh,218010109,,,,331,227,558,,,
Total,,,,,,,661,487,1148,2,1,3
45,Govt Boys Model Primary School Basti Sanwery(P),Bahawal Garh,218010111,,,,159,114,273,2,2,4
"",,Bahawal Garh,218010112,,,,141,107,248,,,
"",,Bahawal Garh,218010119,,,,514,382,896,,,
"",,Bahawal Garh,218010120,,,,7,3,10,,,
"",,Bahawal Garh,218010121,,,,108,75,183,,,
Total,,,,,,,929,681,1610,2,2,4
46,"Govt Girls  Primary School , Jhok Aheer, Basti SahiWala(P)",Bahawal Garh,218010113,,,,521,380,901,2,1,3
"",,Bahawal Garh,218010114,,,,259,167,426,,,
Total,,,,,,,780,547,1327,2,1,3
47,Govt Girls  Elementary School Bahawal Garh Part-I (P),Bahawal Garh,218010115,,,,554,432,986,1,1,2
Total,,,,,,,554,432,986,1,1,2
48,Govt Girls  Elementary School Bahawal Garh Part-II  (P),Bahawal Garh,218010116,,,,739,513,1252,2,1,3
Total,,,,,,,739,513,1252,2,1,3
49,Basic Health Centre Bahawal Garh(P),Bahawal Garh,218010117,,,,224,155,379,1,1,2
"",,Bahawal Garh,218010118,,,,221,142,363,,,
Total,,,,,,,445,297,742,1,1,2
Total,,,,,,,731,511,1242,2,1,3
51,"Govt Girls Elementary School, Basti Lail pur Part-II (P)",Jamrani Wah,218011202,,,,480,390,870,1,1,2
Total,,,,,,,480,390,870,1,1,2
52,"Govt Girls Elementary School, Basti Lail pur Part-III (P)",Jamrani Wah,218011203,,,,730,487,1217,2,1,3
Total,,,,,,,730,487,1217,2,1,3
53,"Basic Health Unit , Muhammad Wala(P)",Jamrani Wah,218011204,,,,810,566,1376,2,1,3
Total,,,,,,,810,566,1376,2,1,3
54,Govt Boys Primary School Amar Dittay Wala ( Male )(P),Jamrani Wah,218011205,,,,526,0,526,3,0,3
"",,Jamrani Wah,218011206,,,,241,0,241,,,
"",,Jamrani Wah,218011207,,,,285,0,285,,,
"",,Jamrani Wah,218011214,,,,252,0,252,,,
Total,,,,,,,1304,0,1304,3,0,3
55,"Govt Girls  Primary School , Dau Wala (Female )(P)",Jamrani Wah,218011205,,,,0,539,539,0,2,2
"",,Jamrani Wah,218011206,,,,0,135,135,,,
"",,Jamrani Wah,218011207,,,,0,195,195,,,
"",,Jamrani Wah,218011214,,,,0,116,116,,,
Total,,,,,,,0,985,985,0,2,2
56,Govt Boys Primary School Amar Dittay Wala ( Male )(P),Jamrani Wah,218011208,,,,427,0,427,3,0,3
"",,Jamrani Wah,218011209,,,,542,0,542,,,
"",,Jamrani Wah,218011210,,,,328,0,328,,,
"",,Jamrani Wah,218011215,,,,127,0,127,,,
Total,,,,,,,1424,0,1424,3,0,3
57,"Govt Girls  Primary School , Bast Dahana ( Female )(P)",Jamrani Wah,218011208,,,,0,232,232,0,2,2
"",,Jamrani Wah,218011209,,,,0,239,239,,,
"",,Jamrani Wah,218011210,,,,0,226,226,,,
"",,Jamrani Wah,218011215,,,,0,125,125,,,
Total,,,,,,,0,822,822,0,2,2
58,"Govt Boys Primary School , Basti Goth Bahar (Mamel)(P)",Jamrani Wah,218011211,,,,265,0,265,2,0,2
"",,Jamrani Wah,218011212,,,,216,0,216,,,
"",,Jamrani Wah,218011213,,,,787,0,787,,,
Total,,,,,,,1268,0,1268,2,0,2
59,"Govt. Primary School, Goth Bahar ( Female )(P)",Jamrani Wah,218011211,,,,0,149,149,0,2,2
"",,Jamrani Wah,218011212,,,,0,159,159,,,
"",,Jamrani Wah,218011213,,,,0,571,571,,,
Total,,,,,,,0,879,879,0,2,2
60,"Govt Girls  Primary School , Nagni at Chah MasjidWala(P)",Nagni,218011001,,,,389,305,694,2,1,3
"",,Nagni,218011002,,,,350,275,625,,,
Total,,,,,,,739,580,1319,2,1,3
Thalli,218011003,,,,563,384,947,2,2,4,,
Total,,,,,,,913,647,1560,2,2,4
62,"Govt Boys Primary School , Bahadi Wahin(P)",Bahadi Wahin,218010901,,,,520,407,927,1,1,2
"",,Bhinda Grawan,218010905,,,,104,73,177,,,
Total,,,,,,,624,480,1104,1,1,2
63,"Govt Model Elementary School , Sikandari Kharrak(Naseer Uddin Wahin) Part-I(P)",Naseer Uddin Wahin,218011101,,,,444,379,823,2,1,3
"",,Naseer Uddin Wahin,218011102,,,,346,231,577,,,
Total,,,,,,,790,610,1400,2,1,3
