1,2,3,4,5,6,7,8,9,10,11
"",,,,Total : -,996,0,996,3,0,3
507,"COMMUNITY  CERNTER, GIRLS PRIMARY SCHOOLFATIMA JINNAH PINDIGHEB (MALE) (P)",Mohallah Masjid Shahidah Wali,107060303,,472,0,472,,,
"",,Mohallah Masjid Shahidah Wali,107060306,,648,0,648,,,
"",,,,Total : -,"1,120",0,"1,120",3,0,3
508,"GOVT. ISLAMIA ELEMENTARY SCHOOL ARIA SAMAJ(PRIMARY PORTION), PINDIGHEB (MALE)(P)",Mohallah Masjid Shahidah Wali,107060304,,220,0,220,,,
Mohallah Noor Shah Bukhari,107060305,,239,0,239,,,,,
Mohallah Masjid Ghulam Shah,107060702,,100,0,100,,,,,
"",,Total : -,559,0,559,2,0,2,,
509,"PRIMARY SCHOOL FOR BOYS PINDIGHEB(COMMITTEE CHOWK) (FEMALE) (P)",Mohallah Muslim Town,107060102,,0,565,565,,,
"",,,Total : -,0,947,947,0,3,3,
510,"PRIMARY SCHOOL FOR BOYS PINDIGHEB(COMMITTEE CHOWK) (FEMALE) (P)",Mohallah Muslim Town,107060103,,0,407,407,,,
"",Mohallah Muslim Town,107060104,,0,451,451,,,,
"",Mohallah Masjid Ghulam Shah,107060702,,0,114,114,,,,
"",,,Total : -,0,972,972,0,3,3,
511,"GOVERNMENT GIRLS HIGH SCHOOL FATIMA JINNAHPINDIGHEB (FEMALE) (P)",Mohallah Masjid Piplan Wali,107060202,,0,436,436,,,
"",Mohallah Haji Gulab Khan,107060302,,0,378,378,,,,
"",,,Total : -,0,814,814,0,3,3,
512,"GOVERNMENT GIRLS HIGH SCHOOL FATIMA JINNAHPINDIGHEB (FEMALE) (P)",Mohallah Madina Masjid,107060203,,0,564,564,,,
"",Mohallah Madina Masjid,107060204,,0,697,697,,,,
"",,,Total : -,0,"1,261","1,261",0,4,4,
513,"GOVERNMENT GIRLS HIGH SCHOOL FATIMA JINNAHPINDIGHEB (FEMALE) (P)",Mohallah Haji Gulab Khan,107060301,,0,527,527,,,
"",,,Total : -,0,527,527,0,2,2,
514,"GOVT. ISLAMIA ELEMENTARY SCHOOL, ARIA SAMAJPHASE.II PINDIGHEB (FEMALE) (P)",Mohallah Masjid Shahidah Wali,107060303,,0,454,454,,,
"",Mohallah Masjid Shahidah Wali,107060306,,0,640,640,,,,
"",Mohallah Masjid Shahidah Wali,107060304,,0,203,203,,,,
"",Mohallah Noor Shah Bukhari,107060305,,0,249,249,,,,
"",,,Total : -,0,"1,546","1,546",0,4,4,
515,"GOVT. BOYS MUHAMMAD ALI JINNAH HIGH SCHOOLPINDIGHEB (MALE) (P)",Mohallah Hariwala,107060401,,"1,123",0,"1,123",,,
"",,,Total : -,"1,123",0,"1,123",4,0,4,
516,"GOVT. BOYS MUHAMMAD ALI JINNAH HIGH SCHOOLPINDIGHEB (MALE) (P)",Mohallah Hanafia Ghousia,107060402,,472,0,472,,,
Mohallah Mubaraz Khan,107060405,,382,0,382,,,,,
Mohallah Jamia Masjid daraywali,107060406,,242,0,242,,,,,
"",,Total : -,"1,096",0,"1,096",3,0,3,,
517,"GOVT. GIRLS HIGH SCHOOL NO. 1 PINDIGHEB(COMMITTEE CHOWK) (MALE) (P)",Mohallah Masjid Mai Masahib Bano,107060703,,392,0,392,,,
"",,,,NM,5,0,5,,,
"",,Mohallah Masjid Dahrawali,107060704,,210,0,210,,,
"",,Khalid street,107060201,,453,0,453,,,
"",,,,Total: -,"1,404",0,"1,404",4,0,4
518,"GOVT. GIRLS HIGH SCHOOL NO. 1 PINDIGHEB(COMMITTEE CHOWK) (MALE) (P)",Mohallah Masjid Gul Muhammad,107060403,,209,0,209,,,
"",,Mohallah Masjid Sheikhawali,107060404,,454,0,454,,,
"",,Mohallah Mola Awaisa Town,107060501,,351,0,351,,,
"",,,,Total: -,"1,014",0,"1,014",3,0,3
519,"BOYS HIGH SCHOOL NO.2, PINDIGHEB (MALE)(P)",Mohallah Masjid Loharah,107060502,,320,0,320,,,
"",,Mohallah Muslim Town,107060503,,208,0,208,,,
"",,Mohallah Mola,107060504,,637,0,637,,,
"",,,,Total: -,"1,165",0,"1,165",4,0,4
520,"BOYS HIGH SCHOOL NO.2, PINDIGHEB (MALE)(P)",Mohallah Mola Farooq Abad,107060505,,415,0,415,,,
"",,Mohallah Mola Farooq Abad,107060601,,394,0,394,,,
"",,Mohallah Masjid Mai Sonarah,107060602,,314,0,314,,,
"",,,,Total: -,"1,123",0,"1,123",4,0,4
521,BOYS HIGH SCHOOL NO.1  PINDIGHEB (MALE) (P),Dhok Sharqi Kachehri Road,107060603,,289,0,289,,,
Mohallah Masjid Bilal Gulzar Abad,107060604,,402,0,402,,,,,
Mohallah Masjid Bilal Gulzar Abad,107060607,,354,0,354,,,,,
"",,Total: -,"1,045",0,"1,045",3,0,3,,
Mohallah Gulzar Abad,107060605,,132,0,132,,,,,
Mohallah Gulzar Abad,107060608,,244,0,244,,,,,
Mohallah Gulzar Abad,107060609,,152,0,152,,,,,
Mohallah Gulzar Abad,107060606,,167,0,167,,,,,
523,"BOYS MUHAMMAD ALI JINNAH HIGH SCHOOLPINDIGHEB (FEMALE) (P)",Mohallah Hariwala,107060401,,0,"1,206","1,206",,,
"",,,,Total: -,0,"1,206","1,206",,,
524,"BOYS MUHAMMAD ALI JINNAH HIGH SCHOOLPINDIGHEB (FEMALE) (P)",Mohallah Hanafia Ghousia,107060402,,0,419,419,,,
"",,Mohallah Masjid Baba Faizwali,107060701,,0,395,395,,,
"",,Mohallah Masjid Mai Masahib Bano,107060703,,0,402,402,,,
"",,,,NM,"00",6,6,,,
"",,Mohallah Masjid Dahrawali,107060704,,210,210,,,,
"",,,,Total: -,0,"1,432","1,432",0,4,4
525,"GIRLS PRIMARY SCHOOL DARAN WALI PINDIGHEB(FEMALE) (P)",Mohallah Masjid Gul Muhammad,107060403,,0,207,207,,,
"",,Mohallah Masjid Sheikhawali,107060404,,0,438,438,,,
"",,Mohallah Jamia Masjid daraywali,107060406,,0,242,242,,,
"",,,,Total: -,0,887,887,0,3,3
526,"GIRLS PRIMARY SCHOOL DARAN WALI PINDIGHEB(FEMALE) (P)",Mohallah Mubaraz Khan,107060405,,0,401,401,,,
"",,Mohallah Mola Awaisa Town,107060501,,0,342,342,,,
"",,,,Total: -,0,743,743,0,2,2
527,"TECHNICAL TRAINING CENTER PINDIGHEB(FEMALE)(P)",Mohallah Masjid Loharah,107060502,,0,310,310,,,
"",,Mohallah Muslim Town,107060503,,0,236,236,,,
"",,Mohallah Mola,107060504,,0,619,619,,,
"",,,,Total: -,0,"1,165","1,165",0,4,4
528,"TECHNICAL TRAINING CENTER PINDIGHEB(FEMALE)(P)",Mohallah Mola Farooq Abad,107060505,,0,378,378,,,
Mohallah Mola Farooq Abad,107060601,,0,335,335,,,,,
"",,Total: -,0,713,713,0,2,2,,
Mohallah Masjid Mai Sonarah,107060602,,0,296,296,,,,,
Dhok Sharqi Kachehri Road,107060603,,0,291,291,,,,,
Mohallah Masjid Bilal Gulzar Abad,107060604,,0,377,377,,,,,
"",,,,Total: -,0,"1,333","1,333",0,4,4
530,GIRLS COLLEGE PINDIGHEB (FEMALE) (P),Mohallah Gulzar Abad,107060605,,0,178,178,,,
"",,Mohallah Gulzar Abad,107060608,,0,187,187,,,
"",,Mohallah Gulzar Abad,107060609,,0,133,133,,,
"",,Mohallah Gulzar Abad,107060606,,0,148,148,,,
"",,Khalid street,107060201,,0,472,472,,,
"",,,,Total: -,0,"1,118","1,118",0,3,3
531,UNION COUNCILOFFICE MAIRA SHARIF (MALE) (P),Maira Sharif,107050401,,459,0,459,,,
"",,Maira Sharif,107050402,,156,0,156,,,
"",,Maira Sharif,107050403,,647,0,647,,,
"",,,,Total: -,"1,262",0,"1,262",4,0,4
532,BOYS HIGH SCHOOL MAIRA SHARIF (FEMALE) (P),Maira Sharif,107050401,,0,413,413,,,
"",,Maira Sharif,107050402,,0,149,149,,,
"",,Maira Sharif,107050403,,0,611,611,,,
"",,,,Total: -,0,"1,173","1,173",0,4,4
533,"GIRLS PRIMARY SCHOOL DHOKE REHMAT(COMBINED) (P)",Dhok Rehmat,107050404,,283,210,493,,,
"",,,,Total: -,283,210,493,1,1,2
534,PRIMARY SCHOOL CHAR JAGIRA (COMBINED) (P),Rakh Maira Nalhad,107050405,,54,53,107,,,
"",,Rakh Aziz Khan,107050406,,36,32,68,,,
"",,Rakh Sulekan Singh,107050407,,146,131,277,,,
"",,Rakh Mansoor Khan,107050408,,47,38,85,,,
"",,,,Total: -,283,254,537,1,1,2
535,"GIRLS PRIMARY SCHOOL NAKKA KALAN (COMBINED)(P)",Nakka Kalan,107050601,,505,472,977,,,
"",,Total: -,505,472,977,2,1,3,,
NAKKA KALAN,107050602,,564,465,"1,029",,,,,
537,"BOYS PRIMARY SCHOOL NAKKA KALAN (COMBINED)(P)",Nakka Kalan,107050603,,325,256,581,,,
"",,Nakka Kalan,107050604,,353,264,617,,,
"",,,,Total: -,678,520,"1,198",2,2,4
538,"BOYS PRIMARY SCHOOL NAKKA KALAN (COMBINED)(P)",Nakka Kalan,107050605,,393,307,700,,,
"",,Rakh Nakka Kalan,107050606,,0,0,0,,,
"",,,,Total: -,393,307,700,1,1,2
539,BOYS HIGH SCHOOL TOOT (MALE)(P),Toot,107050701,,366,0,366,,,
"",,Toot,107050703,,512,0,512,,,
"",,,,Total: -,878,0,878,3,0,3
540,BOYS HIGH SCHOOL TOOT (MALE)(P),Toot,107050702,,825,0,825,,,
"",,,,Total: -,825,0,825,3,0,3
541,GIRLS HIGH SCHOOL TOOT (FEMALE) (P),Toot,107050701,,0,292,292,,,
"",,Toot,107050702,,0,823,823,,,
"",,Toot,107050703,,0,440,440,,,
"",,,,Total: -,0,"1,555","1,555",0,4,4
542,BOYS PRIMARY SCHOOL TOOT (COMBINED) (P),Toot,107050704,,63,52,115,,,
"",,Toot,107050705,,313,238,551,,,
"",,Toot,107050706,,404,310,714,,,
"",,,,Total: -,780,600,1380,2,2,4
543,"BOYS PRIMARY SCHOOL, PIRANI (COMBINED) (P)",Pirani,107050707,,370,302,672,,,
"",,,,Total: -,370,302,672,1,1,2
544,"BOYS PRIMARY SCHOOL THATTI SAIDU SHAH(COMBINED) (P)",Thatti Saidu Shah,107020501,,646,570,"1,216",,,
Thatti Saidu Shah,107020502,,31,21,52,,,,,
Thatti Saidu Shah,107020503,,110,87,197,,,,,
"",,Total: -,787,678,"1,465",2,2,4,,
545,"BOYS HIGHER SECONDARY SCHOOL MALHUWALI(MALE) (P)",MALHUWALI,107050102,,223,0,223,,,
"",,,,Total: -,787,0,787,2,0,2
546,"BOYS HIGHER SECONDARY SCHOOL MALHUWALI(MALE) (P)",Malhuwali,107050103,,422,0,422,,,
"",,Malhuwali,107050104,,622,0,622,,,
"",,Malhuwali,107050105,,245,0,245,,,
"",,,,Total: -,"1,289",0,"1,289",4,0,4
547,"GIRLS HIGHER SECONDARY SCHOOL MALUWALI(FEMALE) (P)",Malhuwali,107050101,,0,506,506,,,
"",,Malhuwali,107050102,,0,172,172,,,
"",,,,Total: -,0,678,678,0,2,2
548,"GIRLS HIGHER SECONDARY SCHOOL MALUWALI(FEMALE) (P)",Malhuwali,107050103,,0,350,350,,,
"",,Malhuwali,107050104,,0,545,545,,,
"",,Malhuwali,107050105,,0,222,222,,,
"",,,,Total: -,0,"1,117","1,117",0,3,3
549,"UNION COUNCIL OFFICE, MALHUWALI (MALE)(P)",Malhuwali,107050106,,330,0,330,,,
"",,Malhuwali,107050107,,656,0,656,,,
"",,Malhuwali,107050108,,521,0,521,,,
"",,,,Total: -,"1,507",0,"1,507",4,0,4
550,"BOYS ELEMENTARY SCHOOL MALUWALI (FEMALE)(P)",Malhuwali,107050106,,0,222,222,,,
"",,Malhuwali,107050107,,0,316,316,,,
"",,Malhuwali,107050108,,0,598,598,,,
"",,,,Total: -,0,"1,136","1,136",0,4,4
551,BOYS HIGH SCHOOL DABULA (COMBINED) (P),Dabula,107050202,,84,72,156,,,
Dabula,107050203,,133,117,250,,,,,
Dabula,107050205,,104,82,186,,,,,
"",,Total: -,321,271,592,1,1,2,,
"",,,,Total: -,772,663,"1,435",2,2,4
553,BOYS HIGH SCHOOL NILHAD (MALE) (P),Nilhad,107050803,,601,0,601,,,
"",,Nilhad,107050804,,601,0,601,,,
"",,Nilhad,107050805,,440,0,440,,,
"",,,,Total: -,"1,642",0,"1,642",4,0,4
554,"GIRLS HIGH SCHOOL NILHAD MIDDLE SECTION(FEMALE) (P)",Nilhad,107050803,,0,539,539,,,
"",,Nilhad,107050804,,0,588,588,,,
"",,Nilhad,107050805,,0,404,404,,,
"",,,,Total: -,0,"1,531","1,531",0,4,4
555,BOYS ELEMENTARY SCHOOL DHOKE CHOI (MALE)(P),Nilhad,107050801,,315,0,315,,,
"",,Nilhad,107050802,,997,0,997,,,
"",,,,Total: -,"1,312",0,"1,312",4,0,4
556,GIRLS PRIMARY SCHOOL DHOKE CHOI (FEMALE) (P),Nilhad,107050801,,0,304,304,,,
"",,Nilhad,107050802,,0,884,884,,,
"",,,,Total: -,0,"1,188","1,188",0,4,4
557,"BOYS PRIMARY SCHOOL NAKKA GHULAM SHAH(COMBINED)(P)",Nakka Ghulam Shah,107050501,,460,376,836,,,
"",,Nakka Ghulam Shah,107050502,,347,264,611,,,
"",,,,Total: -,807,640,"1,447",2,2,4
558,BOYS PRIMARY SCHOOL SURA (COMBINED) (P),Sura,107050503,,426,334,760,,,
"",,Sura,107050504,,106,84,190,,,
"",,,,Total: -,532,418,950,2,1,3
559,BOYS HIGH SCHOOL CHAKKI (MALE) (P),Chakki,107010201,,"1,096",0,"1,096",,,
Thoa,107010204,,120,0,120,,,,,
"",,Total: -,"1,216",0,"1,216",4,0,4,,
Chakki,107010201,,0,902,902,,,,,
"",,,,Total: -,0,986,986,0,3,3
561,GIRLS HIGH SCHOOL CHAKKI (COMBINED) (P),Chakki,107010202,,572,509,"1,081",,,
"",,,Total: -,572,509,"1,081",2,1,3,
562,GIRLS HIGH SCHOOL CHAKKI (COMBINED) (P),Chakki,107010203,,548,444,992,,,
"",,,Total: -,548,444,992,2,1,3,
563,BOYS ELEMENTARY SCHOOL NOWSHERA (MALE) (P),Nowshera,107010301,,936,0,936,,,
"",Nowshera,107010302,,281,0,281,,,,
"",Nowshera,107010303,,322,0,322,,,,
"",,,Total: -,"1,539",0,"1,539",4,0,4,
564,"GIRLS ELEMENTARY MODEL SCHOOL NOWSHERA(FEMALE) (P)",Nowshera,107010301,,0,762,762,,,
"",Nowshera,107010302,,0,257,257,,,,
"",Nowshera,107010303,,0,272,272,,,,
"",,,Total: -,0,"1,291","1,291",0,4,4,
565,"GIRLS PRIMARY SCHOOL  (DHOKE KHUMAR (AWAN)NOWSHERA (COMBINED)(P)",Nowshera,107010304,,599,462,"1,061",,,
"",,,,0,0,,,,,
"",,,Total: -,599,462,"1,061",2,1,3,
566,GIRLS PRIMARY SCHOOL SARWAI (MALE) (P),Nowshera/Sarwai,107010305,,549,0,549,,,
"",Sarwai,107010306,,315,0,315,,,,
"",,,Total: -,864,0,864,3,0,3,
567,GIRLS PRIMARY SCHOOL SARWAI (FEMALE) (P),Nowshera/Sarwai,107010305,,0,500,500,,,
Sarwai,107010306,,0,310,310,,,,,
"",,Total: -,0,810,810,0,3,3,,
Amanpur,107010205,,327,271,598,,,,,
Amanpur,107010206,,137,114,251,,,,,
Amanpur,107010207,,0,0,,,,,,
"",,Amanpur,107010209,,21,22,43,,,
"",,,,Total: -,511,444,955,2,1,3
569,"BOYS ELEMENTARY SCHOOL DHOKE LALLA(COMBINED) (T)",Beroon Pindigheb,107010101,,712,501,"1,213",,,
"",,,,Total: -,712,501,"1,213",2,2,4
570,"BOYS DEGREE COLLEGE PINDI GHEB (COMBINED)INSTEAD OF DK SADEN (P)",Beroon Pindigheb,107010102,,529,213,742,,,
"",,,,Total: -,529,213,742,1,1,2
571,"BOYS DEGREE COLLEGE PINDI GHEB (COMBINED)INSTEAD OF DK SADEN (P)",Beroon Pindigheb,107010103,,188,262,450,,,
"",,Beroon Pindigheb,107010104,,481,476,957,,,
"",,,,Total: -,669,738,"1,407",2,2,4
572,BOYS ELEMENTARY SCHOOL DANDI (COMBINED) (P),Dandi,107020201,,628,576,"1,204",,,
"",,,,Total: -,628,576,"1,204",2,2,4
573,BOYS ELEMENTARY SCHOOL DANDI (COMBINED) (P),Dandi,107020202,,532,497,"1,029",,,
"",,,,Total: -,532,497,"1,029",2,1,3
574,GIRLS PRIMARY SCHOOL DANDI (MALE) (P),Dandi,107020203,,812,0,812,,,
"",,Dhak Arazi,107020206,,189,0,189,,,
"",,,,Total,"1,001",0,"1,001",3,0,3
575,GIRLS PRIMARY SCHOOL DANDI (FEMALE) (P),Dandi,107020203,,0,680,680,,,
"",,Dhak Arazi,107020206,,0,142,142,,,
"",,,,Total,0,822,822,0,3,3
576,"BOYS ELEMENTARY SCHOOL SHAHBAZPUR(COMBINED) (P)",Shahbazpur,107020204,,608,578,"1,186",,,
"",,,,,0,0,,,,
"",,,,Total: -,608,578,"1,186",2,2,4
577,"GIRLS PRIMARY SCHOOL SHAHBAZPUR (COMBINED)(P)",Shahbazpur,107020205,,715,692,"1,407",,,
"",,,0,0,,,,,,
"",,Total:.,715,692,"1,407",2,2,4,,
"",(P),,,Total: -,481,443,924,2,1,3
579,"BOYS ELEMENTARY SCHOOL LANGRIAL (COMBINED)(P)",Langrial,107020302,,415,376,791,,,
"",,,,,0,0,,,,
"",,,,Total: -,415,376,791,1,1,2
580,BOYS PRIMARY SCHOOL KANAT (COMBINED) (P),Kanat,107020303,,447,355,802,,,
"",,,,Total: -,447,355,802,2,1,3
581,BOYS PRIMARY SCHOOL KANAT (COMBINED) (P),Kanat,107020304,,267,224,491,,,
"",,Kanat,107020305,,390,317,707,,,
"",,,,Total: -,657,541,"1,198",2,2,4
582,"BOYS PRIMARY SCHOOL GANGAWALI (COMBINED)(P)",Dhok Gangawali,107040403,,616,533,"1,149",,,
"",,,,,0,0,,,,
"",,,,Total: -,616,533,"1,149",2,2,4
583,"GIRLS PRIMARY SCHOOL, HUSSAIN ABAD(COMBINED) (T)",Kohali,107040401,,48,29,77,,,
"",,Dhok Gangawali/Hussain Abad,107040404,,550,476,"1,026",,,
"",,,,Total: -,598,505,"1,103",2,2,4
584,"BOYS PRIMARY SCHOOL THATTI KALRA (COMBINED)(P)",Thatti Kalra,107040302,,253,213,466,,,
"",,THATHI KALRA,107040303,,481,367,848,,,
"",,Thatti/Chah,107040304,,138,97,235,,,
"",,,,Total: -,872,677,"1,549",2,2,4
585,BOYS HIGH SCHOOL DHOKE DERA (COMBINED) (P),Dhok Dera,107040301,,682,613,"1,295",,,
"",,,,,0,0,,,,
"",,,,Total: -,682,613,"1,295",2,2,4
586,"GIRLS PRIMARY SCHOOL DHOKE INYAT (COMBINED)(P)",Dhok Inayat,107040402,,574,455,"1,029",,,
"",,,0,0,,,,,,
"",,Total: -,574,455,"1,029",2,1,3,,
587,BOYS PRIMARY SCHOOL TILIKANA (COMB) (P),,,,0,0,,,,
"",,,,Total: -,187,161,348,1,1,2
588,"GOVERNMENT GIRLS HIGH SCHOOL DHOK DATWAL(MALE) (T)",Kharpa,107020402,,403,0,403,,,
"",,Kharpa,107020403,,609,0,609,,,
"",,,,Total: -,"1,012",0,"1,012",3,0,3
589,"GOVERNMENT GIRLS HIGH SCHOOL DHOK DATWAL(MALE) (T)",Kharpa,107020404,,220,0,220,,,
"",,Kharpa,107020405,,"1,311",0,"1,311",,,
"",,,,Total: -,"1,531",0,"1,531",3,0,3
590,"GOVERNMENT GIRLS PRIMARY SCHOOL,DHOKSAIDHAN (KHARPA) (COMBINED) (T)",Kharpa,107020401,,707,611,"1,318",,,
"",,,,,0,0,,,,
"",,,,Total: -,707,611,"1,318",2,2,4
591,"GOVERNMENT GIRLS HIGH SCHOOL DHOK DATWAL(FEMALE) (P)",Kharpa,107020402,,0,335,335,,,
"",,Kharpa,107020403,,0,438,438,,,
"",,Kharpa,107020404,,0,184,184,,,
"",,,,Total: -,0,957,957,0,3,3
592,"GOVERNMENT GIRLS HIGH SCHOOL DHOK DATWAL(FEMALE) (P)",Kharpa,107020405,,0,"1,381","1,381",,,
"",,,,Total: -,0,"1,381","1,381",0,4,4
593,BOYS HIGH SCHOOL SURAG (COMBINED)(P),Surag,107050301,,262,220,482,,,
"",,SURAG,107050302,,269,192,461,,,
"",,SURAG,107050303,,148,209,357,,,
"",,,,Total: -,679,621,"1,300",2,2,4
594,BOYS HIGH SCHOOL SURAG (COMBINED)(P),Surag,107050304,,613,483,"1,096",,,
"",,,0,0,,,,,,
"",,Total: -,613,483,"1,096",2,1,3,,
Surag,107050305,,804,682,"1,486",,,,,
"",,,,Total: -,804,682,"1,486",2,2,4
596,BOYS MIDDLE SCHOOL HIJRI (COMBINED) (P),Hijri,107050201,,817,730,"1,547",,,
"",,,,,0,0,,,,
"",,,,Total: -,817,730,"1,547",2,2,4
597,BOYS HIGH SCHOOL MIANWALA (MALE) (P),Mianwala,107040201,,454,0,454,,,
"",,Mianwala,107040202,,714,0,714,,,
"",,Mianwala,107040203,,262,0,262,,,
"",,,,Total: -,"1,430",0,"1,430",4,0,4
598,BASIC HEALTH UNIT MIANWALA (FEMALE) (T),Mianwala,107040201,,0,400,400,,,
"",,Mianwala,107040202,,0,591,591,,,
"",,Mianwala,107040203,,0,273,273,,,
"",,,,Total: -,0,"1,264","1,264",0,4,4
599,"GOVERNMENT BOYS HIGH SCHOOL MIANWALAPRIMARY SECTION (COMBINED) (P)",Mianwala,107040204,,243,244,487,,,
"",,Mianwala,107040205,,322,292,614,,,
"",,,,Total: -,565,536,"1,101",2,2,4
600,"GOVERNMENT BOYS HIGH SCHOOL MIANWALAPRIMARY SECTION (COMBINED) (P)",Mianwala,107040206,,466,442,908,,,
"",,,,,0,0,,,,
"",,,,Total: -,466,442,908,2,1,3
601,"GOVERNMENT BOYS HIGH SCHOOL KISRAN(MALE)(P)",Kisran,107040101,,680,0,680,,,
"",,NM,9,0,9,,,,,
Kisran,107040103,,415,0,415,,,,,
"",,NM,5,0,5,,,,,
KASRAN,107040104,,379,0,379,,,,,
"",,Total: -,"1,488",0,"1,488",4,0,4,,
Kisran,107040102,,594,577,"1,171",,,,,
"",,,,Total: -,628,606,"1,234",2,2,4
603,"GOVERNMENT BOYS HIGH SCHOOL KISRAN(MALE)(P)",Kisran,107040105,,518,0,518,,,
"",,,,NM,1,0,1,,,
"",,Kisran,107040106,,666,0,666,,,
"",,,,Total: -,"1,185",0,"1,185",4,0,4
604,"GOVERNMENT GIRLS HIGH SCHOOL  KISRAN(FEMALE) (P)",Kisran,107040101,,0,642,642,,,
"",,,,NM,0,12,12,,,
"",,Kisran,107040103,,0,434,434,,,
"",,,,NM,"00",5,5,,,
"",,KASRAN,107040104,,316,316,,,,
"",,,,Total: -,0,"1,409","1,409",0,4,4
605,"GOVERNMENT GIRLS HIGH SCHOOL KISRAN(PRIMARY PORTION) (FEMALE) (P)",Kisran,107040105,,0,478,478,,,
"",,,,NM,"00",1,1,,,
"",,Kisran,107040106,,576,576,,,,
"",,,,Total: -,0,"1,055","1,055",0,3,3
606,"BOYS ELEMENTARY SCHOOL TANWEEN (PRIMARYPORTION) (COMBINED) (P)",Tanween,107040701,,486,381,867,,,
"",,,,Total: -,486,381,867,2,1,3
607,"BOYS ELEMENTARY SCHOOL TANWEEN (PRIMARYPORTION) (COMBINED) (P)",Tanween,107040703,,449,448,897,,,
"",,,,,0,0,,,,
"",,Rakh Tanween,107040706,,0,0,0,,,
"",,,,Total: -,449,448,897,2,1,3
608,"GIRLS ELEMENTARY SCHOOL TANWEEN (COMBINED)(P)",Tanween,107040702,,116,112,228,,,
Tanween,107040704,,282,237,519,,,,,
Tanween,107040705,,286,239,525,,,,,
"",,Total: -,684,588,"1,272",2,2,4,,
609,BOYS PRIMARY SCHOOL BHERKI (COMBINED) (P),Bhoonawali,107040108,,397,363,760,,,
"",,,,Total: -,657,635,"1,292",2,2,4
610,BOYS PRIMARY SCHOOL DOMIYAL (COMBINED) (P),Domiyal,107040504,,454,414,868,,,
"",,Domiyal,107040505,,110,101,211,,,
"",,,,Total: -,564,515,"1,079",2,1,3
611,"BOYS PRIMARY SCHOOL DHOKE HALEEM(COMBINED) (P)",Dhok Haleem,107040508,,422,368,790,,,
"",,,,Total: -,422,368,790,1,1,2
612,BOYS PRIMARY SCHOOL IKHLAS (COMBINED) (P),Ikhlas,107020101,,402,338,740,,,
"",,IKHLAS,107020113,,174,161,335,,,
"",,Ikhlas,107020102,,204,176,380,,,
"",,,,Total: -,780,675,"1,455",2,2,4
613,GIRLS HIGH SCHOOL IKHLAS (MALE) (P),Ikhlas,107020103,,853,0,853,,,
"",,Ikhlas,107020104,,273,0,273,,,
"",,,,Total: -,"1,126",0,"1,126",4,0,4
614,GIRLS HIGH SCHOOL IKHLAS (MALE) (P),Ikhlas,107020105,,619,567,"1,186",,,
"",,,,Total: -,619,567,"1,186",2,2,4
615,GIRLS PRIMARY SCHOOL IKHLAS (FEMALE)(P),Ikhlas,107020103,,0,765,765,,,
"",,Ikhlas,107020104,,0,242,242,,,
"",,,,Total: -,0,"1,007","1,007",0,3,3
616,BOYS HIGH SCHOOL IKHLAS (COMBINED) I(P),Ikhlas,107020106,,293,233,526,,,
"",,Ikhlas,107020107,,437,381,818,,,
"",,,,Total: -,730,614,"1,344",2,2,4
617,BOYS HIGH SCHOOL IKHLAS (COMBINED) I(P),Ikhlas,107020108,,621,545,"1,166",,,
"",,Total: -,621,545,"1,166",2,2,4,,
Ikhlas,107020109,,247,230,477,,,,,
"",,,,Total: -,591,528,"1,119",2,2,4
619,BOYS HIGH SCHOOL IKHLAS (COMBINED) II(P),Ikhlas,107020111,,428,348,776,,,
"",,Kohala,107020112,,73,58,131,,,
"",,,,Total: -,501,406,907,2,1,3
620,BOYS MIDDLE SCHOOL RAWAL (COMBINED) (P),Rawal,107040506,,293,259,552,,,
"",,Rawal,107040507,,319,303,622,,,
"",,,,Total : -,612,562,"1,174",2,2,4
621,BOYS PRIMARY SCHOOL NATHIAL (COMBINED) (P),Nathial,107040502,,249,223,472,,,
"",,Nathial,107040503,,188,157,345,,,
"",,,,Total : -,437,380,817,2,1,3
622,BOYS ELEMENTARY SCHOOL PIRANA (COMBINED) (P),Pirana,107040501,,798,799,"1,597",,,
"",,,,NM,2,4,6,,,
"",,,,Total : -,800,803,"1,603",2,2,4
623,BOYS PRIMARY SCHOOL RATRIAN (COMBINED) (P),Ratrian,107040601,,296,208,504,,,
"",,,,,0,0,,,,
"",,,,Total : -,296,208,504,1,1,2
624,"GIRLS PRIMARY SCHOOL THATTI NOOR AHMEDSHAH (COMBINED) (P)",Thatti Noor Ahmed Shah,107040602,,606,484,"1,090",,,
"",,Sohal/Thatti Noor Ahmed Shah,107040603,,170,120,290,,,
"",,,,Total : -,776,604,"1,380",2,2,4
625,RURAL DISPENSARY GHARIBWAL (MALE) (T),Gharibwal,107010401,,511,0,511,,,
Gharibwal,107010402,,327,0,327,,,,,
Gharibwal,107010403,,418,0,418,,,,,
"",,Total : -,"1,256",0,"1,256",4,0,4,,
Gharibwal,107010401,,0,479,479,,,,,
Gharibwal,107010402,,0,300,300,,,,,
"",,,,Total : -,0,"1,150","1,150",0,4,4
627,GIRLS PRIMARY SCHOOL PARI (COMBINED) (P),Pari,107010404,,526,426,952,,,
"",,,Total : -,526,426,952,2,1,3,
628,GIRLS PRIMARY SCHOOL PARI (COMBINED) (P),Pari,107010405,,534,436,970,,,
"",,,,0,0,,,,,
"",,,Total : -,534,436,970,2,1,3,
