81,"Al-Meraj School Saeed Park, Shahdara Lahore,  ()",,,Saeed Park Khalid Street,185070304,,544,496,1040,2,1,3,Combined
81 Total,,,,,,,544,496,1040,2,1,3,
82,"Al-Meraj Grammer School near Bilal PetrolPump, Old G.T.Road, Shahdara Lahore. ()",,,Saeed Park Jinnah Street,185070303,,757,,757,4,0,4,Male
82,,,Saeed Park Asif Street,185070302,,871,,871,Male,,,,
82 Total,,,,,,,1628,0,1628,4,0,4,
83,"Al-Meraj Grammer School near Bilal PetrolPump, Old G.T.Road, Shahdara Lahore. ()",,,Saeed Park Jinnah Street,185070303,,,677,677,0,3,3,Female
83,,,Saeed Park Asif Street,185070302,,,745,745,Female,,,,
83 Total,,,,,,,0,1422,1422,0,3,3,
84,"Al-Meraj Grammer School Near Bilal PetrolPump, Old GT Road, Shahdara Lahore. ()",,,"Saeed Park MaqbraRoad",185070301,,561,455,1016,2,2,4,Combined
84,,,"Saeed Park HussainStreet",185070305,,438,351,789,Combined,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
85,"Directorate of Social Security 65 GT RoadShahdara Lahore ()",,,Chaman Colony,185070205,,754,624,1378,2,2,4,Combined
85,,,"Gulshan Hayat ParkNear Ravi Tool Plaza",185070401,,172,136,308,Combined,,,,
85 Total,,,,,,,926,760,1686,2,2,4,
86,"Directorate of Social Security 65 GT RoadShahdara Lahore ()",,,"Chaman Colony Sui GasRoad",185070207,,236,125,361,3,2,5,Combined
86,,,"Gulshan Hayat ParkFarkh Abad",185070402,,827,571,1398,Combined,,,,
86 Total,,,,,,,1063,696,1759,3,2,5,
87,"Nafees Modle High School Gulshan Hayat ParkShadhara More, Lahore                  ()",,,Kamran park,185070403,,711,569,1280,2,2,4,Combined
87 Total,,,,,,,711,569,1280,2,2,4,
88,"Prince Model School, Malik Park, Shahdrah ()",,,Malik Park,185070105,,1303,,1303,2,0,2,Male
88 Total,,,,,,,1303,0,1303,2,0,2,
89,"Prince Model School, Malik Park, Shahdrah ()",,,Malik Park,185070107,,728,,728,2,0,2,Male
89 Total,,,,,,,728,0,728,2,0,2,
90,"Zahid Islamic Public High School, Lalaazar Colony,Malik Park, Shahdara ()",,,Malik Park,185070105,,,905,905,0,3,3,Female
90,,,Malik Park,185070107,,,631,631,Female,,,,
90 Total,,,,,,,0,1536,1536,0,3,3,
91,"Arif Model Public School, Lala Zar Colony ()",,,"Lala Zar Colony ShamasAbad",185070104,,1634,,1634,3,0,3,Male
91 Total,,,,,,,1634,0,1634,3,0,3,
92,"Arif Model Public School, Lala Zar Colony ()",,,"Lala Zar Colony ShamasAbad",185070106,,886,,886,3,0,3,Male
92 Total,,,,,,,886,0,886,3,0,3,
93,"Disposal Station, Stop No.25 Furkh Abad,Shahdara Lahore (Permanent) ()",,,"Lala Zar Colony ShamasAbad",185070104,,,1333,1333,0,3,3,Female
93 Total,,,,,,,0,1333,1333,0,3,3,
94,"Disposal Station, Stop No.25 Furkh Abad,Shahdara Lahore (Permanent) ()",,,"Lala Zar Colony ShamasAbad",185070106,,,574,574,0,1,1,Female
94 Total,,,,,,,0,574,574,0,1,1,
95,"CDG Boys Middle School, Tar Garh, Shahdara,Lahore ()",,,Tar Garh,185070102,,729,,729,4,0,4,Male
95,,,Satar Colony,185070101,,757,,757,Male,,,,
95 Total,,,,,,,1486,0,1486,4,0,4,
96,"Govt. Primary School, Tar Garh ()",,,"Ahsan park ShamasAbad",185070103,,557,396,953,1,1,2,Combined
96 Total,,,,,,,557,396,953,1,1,2,
97,"CDG Boys Middle School, Tar Garh, Shahdara,Lahore ()",,,Tar Garh,185070102,,,515,515,0,3,3,Female
97,,,Satar Colony,185070101,,,587,587,Female,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",98,"M.I.Wellup Girls Secondary School ChamanColony Near Shadara More, Lahore ()",,,Ahmad Park,185070201,,198,156,354,2,2,4,Combined
"",98,,,"Eid Gha Road MehboobPark",185070202,,446,322,768,Combined,,,,
"",98,,,Javed For Man Road,185070206,,176,114,290,Combined,,,,
"",98 Total,,,,,,,820,592,1412,2,2,4,
"",99,"M.I.Wellup Girls Secondary School ChamanColony Near Shadara More, Lahore ()",,,Qayum Park,185070204,,608,,608,4,0,4,Male
"",99,,,Mehboob Park,185070203,,584,,584,Male,,,,
"",99,,,Mehboob Park,185070208,,367,,367,Male,,,,
"",99 Total,,,,,,,1559,0,1559,4,0,4,
"",100,"M.I.Wellup Girls Secondary School ChamanColony Near Shadara More, Lahore ()",,,Qayum Park,185070204,,,465,465,0,3,3,Female
"",100,,,Mehboob Park,185070203,,,449,449,Female,,,,
"",100,,,Mehboob Park,185070208,,,268,268,Female,,,,
"",100 Total,,,,,,,0,1182,1182,0,3,3,
"",101,"Akhwan ul Muslimin High School, Anayat Park,Lahore ()",,,Anayat Park,185060106,,1160,,1160,3,0,3,Male
"",101,,,Anayat Park,185060109,,162,,162,Male,,,,
"",101 Total,,,,,,,1322,0,1322,3,0,3,
"",102,"CDG Master Ghulam Muhammad Boys HighSchool, Chowk Khair Din, Jia Moosa, Lahore ()",,,Jia Moosa,185060105,,660,,660,2,0,2,Male
"",102 Total,,,,,,,660,0,660,2,0,2,
"",103,"City District Govt. Master Ghulam MuhammadHigh School Jia Musa Shahdara Lahore.(Permanent) ()",,,Anayat Park,185060106,,,782,782,0,4,4,Female
"",103,,,Anayat Park,185060109,,,271,271,Female,,,,
"",103,,,Jia Moosa,185060105,,,570,570,Female,,,,
"",103 Total,,,,,,,0,1623,1623,0,4,4,
"",104,"CDG Master Ghulam Muhammad Boys HighSchool, Chowk Khair Din, Jia Moosa, Lahore ()",,,Muslim Chowk,185060101,,660,536,1196,2,2,4,Combined
"",104,,,Muslim Chowk,185060107,,0,0,0,Combined,,,,
"",104 Total,,,,,,,660,536,1196,2,2,4,
"",105,"Office Bahbood-e-Abadi, Shahdara Lahore, TehsilOffice Ferozwala.  (Permanent) ()",,,Jinnah Park,185060102,,383,,383,4,0,4,Male
"",105,,,Rachna Town,185060103,,623,,623,Male,,,,
"",105,,,Rachna Town,185060108,,10,,10,Male,,,,
"",105,,,Gulshan Hayat Park,185060104,,708,,708,Male,,,,
"",105 Total,,,,,,,1724,0,1724,4,0,4,
"",106,"Office Bahbood-e-Abadi, Shahdara Lahore, TehsilOffice Ferozwala.  (Permanent) ()",,,Jinnah Park,185060102,,,345,345,0,3,3,Female
"",106,,,Rachna Town,185060103,,,493,493,Female,,,,
"",106,,,Rachna Town,185060108,,,12,12,Female,,,,
"",106,,,Gulshan Hayat Park,185060104,,,598,598,Female,,,,
"",106 Total,,,,,,,0,1448,1448,0,3,3,
"",107,"Akhwan ul Muslimin Girls School Fazlan WAli GAliJia Musa.  ()",,,Muslim Colony,185060301,,904,680,1584,2,2,4,Combined
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
108,"CDG Girls High School Jia Moosa ShahdaraLahore ()",,,"Muslim Colony JiaMoosa",185060302,,582,,582,4,0,4,Male
108,,,Bohar Wala Chowk,185060305,,557,,557,Male,,,,
108,,,Purana Jia Moosa,185060307,,245,,245,Male,,,,
108,,,ilam Din Road,185060304,,360,,360,Male,,,,
108 Total,,,,,,,1744,0,1744,4,0,4,
109,"CDG Girls High School Jia Moosa ShahdaraLahore ()",,,"Muslim Colony JiaMoosa",185060302,,,421,421,0,3,3,Female
109,,,Purana Jia Moosa,185060307,,,203,203,Female,,,,
109,,,ilam Din Road,185060304,,,290,290,Female,,,,
109,,,Bohar Wala Chowk,185060305,,,443,443,Female,,,,
109 Total,,,,,,,0,1357,1357,0,3,3,
110,"CDG Girls High School Jia Moosa ShahdaraLahore ()",,,Mohalla Qureshia,185060303,,562,454,1016,2,2,4,Combined
110,,,Mohalla Qureshia,185060308,,216,128,344,Combined,,,,
110 Total,,,,,,,778,582,1360,2,2,4,
111,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,"Mehmood Road Yousafpark",185060501,,1015,775,1790,2,2,4,Combined
111,,,"Mehmood Road Yousafpark",185060508,,0,0,0,Combined,,,,
111 Total,,,,,,,1015,775,1790,2,2,4,
112,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,Awais Block Yousaf Park,185060503,,777,,777,4,0,4,Male
112,,,Masjid Bilal Yousaf Park,185060505,,732,,732,Male,,,,
112 Total,,,,,,,1509,0,1509,4,0,4,
113,"Tahir Foundation School, St. No. 5,  Yousaf Park,Lahore ()",,,"Pracha Colony YousafPark",185060502,,504,,504,1,0,1,Male
113 Total,,,,,,,504,0,504,1,0,1,
114,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,"Pracha Colony YousafPark",185060502,,,416,416,0,4,4,Female
114,,,Awais Block Yousaf Park,185060503,,,593,593,Female,,,,
114,,,Masjid Bilal Yousaf Park,185060505,,,518,518,Female,,,,
114 Total,,,,,,,0,1527,1527,0,4,4,
115,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,Qasim Park,185060401,,436,,436,4,0,4,Male
115,,,Qasim Park,185060408,,192,,192,Male,,,,
115,,,"Mehmood Road Yousafpark",185060403,,1187,,1187,Male,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",116,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,Qasim Park,185060401,,,305,305,0,3,3,Female
"",116,,,Qasim Park,185060408,,,156,156,Female,,,,
"",116,,,"Mehmood Road Yousafpark",185060403,,,894,894,Female,,,,
"",116 Total,,,,,,,0,1355,1355,0,3,3,
"",117,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,Yousaf Park Jalal park,185060404,,305,256,561,2,1,3,Combined
"",117,,,Yousaf Park Jalal park,185060409,,191,124,315,Combined,,,,
"",117,,,Yousaf Park Jalal park,185060410,,185,97,282,Combined,,,,
"",117 Total,,,,,,,681,477,1158,2,1,3,
"",118,"Jinnah islamia High School Muhammad Ali Park,Pindi Das Road, Jia Musa, Shadara. ()",,,Arfat park,185060306,,355,,355,4,0,4,Male
"",118,,,Mohalla Arfat,185060204,,452,,452,Male,,,,
"",118,,,Muslim Colony,185060205,,297,,297,Male,,,,
"",118,,,"Arfat Colony / Pindi DasRoad",185060206,,560,,560,Male,,,,
"",118 Total,,,,,,,1664,0,1664,4,0,4,
"",119,"Jinnah islamia High School muhammad Ali Park,Pindi Das Road, Jia Musa, Shadara. ()",,,Arfat park,185060306,,,271,271,0,3,3,Female
"",119,,,Mohalla Arfat,185060204,,,320,320,Female,,,,
"",119,,,Muslim Colony,185060205,,,215,215,Female,,,,
"",119,,,"Arfat Colony / Pindi DasRoad",185060206,,,427,427,Female,,,,
"",119 Total,,,,,,,0,1233,1233,0,3,3,
"",120,"City District Govt. Boys High School BegumKotLahore (Permanent) ()",,,Begum Kot,185080501,,957,790,1747,2,2,4,Combined
"",120 Total,,,,,,,957,790,1747,2,2,4,
"",121,"City District Govt. Boys High School BegumKotLahore (Permanent) ()",,,"Hameed park / MohallaQureshia'n",185060203,,363,,363,4,0,4,Male
"",121,,,Mehar Pura,185080504,,579,,579,Male,,,,
"",121,,,Fazal Park,185080505,,431,,431,Male,,,,
"",121,,,Fazal Park,185080508,,99,,99,Male,,,,
"",121,,,Fazal Park,185080509,,341,,341,Male,,,,
"",121 Total,,,,,,,1813,0,1813,4,0,4,
"",122,"City District Govt. Boys High School BegumKotLahore (Permanent) ()",,,"Hameed park / MohallaQureshia'n",185060203,,,261,261,0,3,3,Female
"",122,,,Mehar Pura,185080504,,,462,462,Female,,,,
"",122,,,Fazal Park,185080505,,,347,347,Female,,,,
"",122,,,Fazal Park,185080508,,,61,61,Female,,,,
"",122,,,Fazal Park,185080509,,,234,234,Female,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",123,"Raza Public School Shoukat Colony near JamiaNaeem ul Quran, Shahdara Lahore  ()",,,Shoukat Colony B-Block,185080601,,480,,480,4,0,4,Male
"",123,,,Shoukat Colony,185080602,,1023,,1023,Male,,,,
"",123,,,Mohalla Qureshia,185080605,,143,,143,Male,,,,
"",123 Total,,,,,,,1646,0,1646,4,0,4,
"",124,"Al-Adnan Educational Complex, Soukat Colony,Near Barf Khana, Shahdara, Lahore ()",,,Shoukat Colony B-Block,185080601,,,385,385,0,3,3,Female
"",124,,,Shoukat Colony,185080602,,,759,759,Female,,,,
"",124,,,Mohalla Qureshia,185080605,,,96,96,Female,,,,
"",124 Total,,,,,,,0,1240,1240,0,3,3,
"",125,"CDG Boys High School Meraj Park, ShahdaraLahore.(Permanent) ()",,,"Fazal Park Barah DariRoad",185080503,,1300,,1300,3,0,3,Male
"",125 Total,,,,,,,1300,0,1300,3,0,3,
"",126,"Attique Public School, Fazal Park, Shahdrah ()",,,Lala Zar Colony,185080507,,428,349,777,2,2,4,Combined
"",126,,,Fazal Park,185080506,,650,414,1064,Combined,,,,
"",126 Total,,,,,,,1078,763,1841,2,2,4,
"",127,"CDG Boys High School Meraj Park, ShahdaraLahore.(Permanent) ()",,,"Fazal Park Barah DariRoad",185080503,,,897,897,0,2,2,Female
"",127 Total,,,,,,,0,897,897,0,2,2,
"",128,"Prince Modle School Baradari Road, ShahdaraLahore.  ()",,,Usman Park Mehar Pura,185080502,,574,419,993,2,1,3,Combined
"",128 Total,,,,,,,574,419,993,2,1,3,
"",129,"CDG Middle School Yousaf Park Lahore.(Permanent) ()",,,"Bashir colony Yousafpark",185060406,,458,,458,3,0,3,Male
"",129,,,"Bashir colony Yousafpark",185060407,,301,,301,Male,,,,
"",129,,,Abduallah Block,185060405,,449,,449,Male,,,,
"",129 Total,,,,,,,1208,0,1208,3,0,3,
"",130,"CDG Middle School Yousaf Park Lahore.(Permanent) ()",,,Umer Block Yousaf Park,185060507,,578,,578,2,0,2,Male
"",130,,,Yousaf Park,185060506,,433,,433,Male,,,,
"",130 Total,,,,,,,1011,0,1011,2,0,2,
"",131,"CDG Middle School Yousaf Park Lahore.(Permanent) ()",,,Abduallah Block,185060405,,,293,293,0,3,3,Female
"",131,,,"Bashir colony Yousafpark",185060406,,,299,299,Female,,,,
"",131,,,"Bashir colony Yousafpark",185060407,,,167,167,Female,,,,
"",131,,,Umer Block Yousaf Park,185060507,,,399,399,Female,,,,
"",131,,,Yousaf Park,185060506,,,320,320,Female,,,,
"",131 Total,,,,,,,0,1478,1478,0,3,3,
"",132,"Govt. Islahi Middle School, Abdullah Block,Yousaf Park, Shahdara, Lahore ()",,,Muslim Colony,185060201,,499,,499,4,0,4,Male
"",132,,,Muslim Colony,185060208,,1300,,1300,Male,,,,
S.No.,No. and Name of Polling Station,In case of rural,In case of urban,S.No. of voters on the,Male,Female,Total,Male,Female,Total,Type
"",,area,area,electoral roll in case,Voters,Voters,Voters,Booths,Booths,Booths,
"",,Name of Block Code,Name of Electoral Block Code,electoral area is,,,,,,,
"",,Electoral Area,Area,bifurcated,,,,,,,
1,2,3 4,5 6,7,8,9,10,11,12,13,14
133,"Govt. Islahi Middle School, Abdullah Block,",,Muslim Colony 185060201,,,393,393,0,3,3,Female
133,"Yousaf Park, Shahdara, Lahore ()",,Muslim Colony 185060208,,,904,904,,,,Female
133 Total,,,,,0,1297,1297,0,3,3,
134,Islamia Modle Girls Higher Secondary School,,Muhammad Ali Park 185060402,,155,,155,4,0,4,Male
134,Bota Park Shahdara Lahore. (Permanent) (),,Muhammad Ali Park 185060411,,163,,163,,,,Male
134,,,Muslim Colony Masjid 185060202,,1434,,1434,,,,Male
"",,,Tobi,,,,,,,,
134 Total,,,,,1752,0,1752,4,0,4,
135,Islamia Modle Girls Higher Secondary School,,Muhammad Ali Park 185060402,,,118,118,0,3,3,Female
135,Bota Park Shahdara Lahore Lahore. (Permanent),,Muhammad Ali Park 185060411,,,108,108,,,,Female
135,(),,Muslim Colony Masjid 185060202,,,1023,1023,,,,Female
"",,,Tobi,,,,,,,,
135 Total,,,,,0,1249,1249,0,3,3,
136,"Mount Everest High School, Ghosia Steet No. 6,",,Bashir Colony 185060504,,844,,844,3,0,3,Male
136,"Yousaf Park, Shahdara, Lahore ()",,Bashir Colony 185060509,,383,,383,,,,Male
136 Total,,,,,1227,0,1227,3,0,3,
137,"Mount Everest High School, Ghosia Steet No. 6,",,Bashir Colony 185060504,,,539,539,0,2,2,Female
137,"Yousaf Park, Shahdara, Lahore ()",,Bashir Colony 185060509,,,262,262,,,,Female
137 Total,,,,,0,801,801,0,2,2,
138,"Govt. Primary School, Mian Feroze Park,",,Mian Feroz Park 185060207,,1197,,1197,3,0,3,Male
138,"Shahdrah, Lahore ()",,Mian Feroz Park 185060209,,7,,7,,,,Male
138,,,Mian Feroz Park 185060210,,0,,0,,,,Male
138,,,Mian Feroz Park 185060211,,0,,0,,,,Male
138,,,Mian Feroz Park 185060212,,0,,0,,,,Male
138 Total,,,,,1204,0,1204,3,0,3,
139,"IBM Public Model High School, Jia Musa, Lahore",,Mian Feroz Park 185060207,,,809,809,0,2,2,Female
139,(),,Mian Feroz Park 185060209,,,3,3,,,,Female
139,,,Mian Feroz Park 185060210,,,0,0,,,,Female
139,,,Mian Feroz Park 185060211,,,0,0,,,,Female
139,,,Mian Feroz Park 185060212,,,0,0,,,,Female
139 Total,,,,,0,812,812,0,2,2,
Grand Total,,,,,106186,81633,187819,251,194,445,
S.No.,No. and Name of Polling Station,In case of rural,In case of urban,S.No. of voters on the,Male,Female,Total,Male,Female,Total,Type
"",,area,area,electoral roll in case,Voters,Voters,Voters,Booths,Booths,Booths,
"",,Name of Block Code,Name of Electoral Block Code,electoral area is,,,,,,,
"",,Electoral Area,Area,bifurcated,,,,,,,
1,2,3 4,5 6,7,8,9,10,11,12,13,14
1,"Al-Farooq High School, Javaid Park, Kala Khatai",,Kot Muhammad 185050105,,486,372,858,2,2,4,Combined
"","Road, Shahara ()",,"Hussain Gali No.1,2",,,,,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,"Road, Shahara ()2",3,4,5,6,7,8,9,10,11,12,13,14
1,,,,"Kot MuhammadHussain",185050104,,666,525,1191,,,0,Combined
1 Total,,,,,,,1152,897,2049,2,2,4,
2,"Zikrya Foundation School Jameel Park ShahdaraLahore Lahore   ()",,,"Jameel Park PhatakNo.9",185050101,,920,,920,4,0,4,Male
2,,,"Jameel Park Gali No.4-12",185050102,,448,,448,0,Male,,,
2,,,Jameel Park,185050103,,261,,261,0,Male,,,
2 Total,,,,,,,1629,0,1629,4,0,4,
3,"Oriental School Near Chishti Dawakhana, KotMuhammad Hussain Shahdara Lahore Lahore. ()",,,"Jameel Park PhatakNo.9",185050101,,,633,633,0,3,3,Female
3,,,Jameel Park,185050103,,,214,214,0,Female,,,
3,,,"Jameel Park Gali No.4-12",185050102,,,323,323,0,Female,,,
3 Total,,,,,,,0,1170,1170,0,3,3,
4,"Standard Modle High School, Qaisar Town,Shahdara Lahore. ()",,,"Dera Hami Mansab NearMasjid Saghirah",185050504,,694,509,1203,2,2,4,Combined
4,,,"Dera Haji Mansab NearMasjid Saghirah",185050508,,7,0,7,0,Combined,,,
4,,,"Dera Haji Mansab NearMasjid Saghirah",185050509,,0,0,0,0,Combined,,,
4,,,"Tiba Qazi Da / DeraManzoor AhmadAdvocate",185050503,,219,166,385,0,Combined,,,
4,,,"Tiba Qazi Da / DeraManzoor AhmadAdvocate",185050507,,29,3,32,0,Combined,,,
4 Total,,,,,,,949,678,1627,2,2,4,
5,"Standard Modle High School, Qaisar Town,Shahdara Lahore. ()",,,Cha Awan Wala,185050505,,617,392,1009,2,2,4,Combined
5,,,L-Block Kasar Town,185050502,,302,258,560,0,Combined,,,
5,,,L-Block Kasar Town,185050506,,128,76,204,0,Combined,,,
5 Total,,,,,,,1047,726,1773,2,2,4,
6,"Govt. Girls Model Primary School, Bhutto Colony,Shahdara, Lahore ()",,,"Mohalla Tariq abadBhutto Colony",185050604,,523,,523,3,0,3,Male
6,,,"ilam Din Colony KasarTown",185050501,,650,,650,0,Male,,,
6 Total,,,,,,,1173,0,1173,3,0,3,
7,"Mateen Fatima School, Bhatto Colony, Shahdrah()",,,Bhutto Colony Gali No.2,185050603,,682,551,1233,2,2,4,Combined
7 Total,,,,,,,682,551,1233,2,2,4,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,"Shahdara, Lahore ()2",3,4,5,6,7,8,9,10,11,12,13,14
"",8,,,,"ilam Din Colony KasarTown",185050501,,,464,464,,,0,Female
"",8 Total,,,,,,,0,868,868,0,2,2,
"",9,"Govt. Primary School, Kot Ilam Din, TibbaShahdara, Lahore ()",,,Floor Mill Area,185050606,,323,239,562,2,2,4,Combined
"",9,,,Floor Mill Area,185050609,,79,36,115,0,Combined,,,
"",9,,,Kot Haji Ilam Din,185050605,,655,480,1135,0,Combined,,,
"",9 Total,,,,,,,1057,755,1812,2,2,4,
"",10,"Govt. Primary School Abbas Nagar ShahdaraLahore  ()",,,Abbas Nagar Janoobi,185050602,,965,735,1700,2,2,4,Combined
"",10,,,Abbas Nagar Shamali,185050608,,0,0,0,0,Combined,,,
"",10 Total,,,,,,,965,735,1700,2,2,4,
"",11,"Govt. Primary School Abbas Nagar ShahdaraLahore  ()",,,Abbas Nagar Janoobi,185050601,,844,741,1585,2,2,4,Combined
"",11,,,Abbas Nagar Janoobi,185050607,,109,0,109,0,Combined,,,
"",11 Total,,,,,,,953,741,1694,2,2,4,
"",12,"City District Govt. Boys High School ShahdhraTown Lahore. (Permanent) ()",,,Mohalla Kaky Zaian,185090102,,419,,419,3,0,3,Male
"",12,,,Mohalla Kaky Zaian,185090105,,183,,183,0,Male,,,
"",12,,,Mohalla Kaky Zaian,185090106,,199,,199,0,Male,,,
"",12,,,Ghalaran Road,185090202,,532,,532,0,Male,,,
"",12 Total,,,,,,,1333,0,1333,3,0,3,
"",13,"Sunrise Public High School,Jhalaran Road nearghoray Shah Chowk Shahdra Town Lahore  ()",,,Ghalaran Road,185090202,,,410,410,0,3,3,Female
"",13,,,Rajpoot Park,185090201,,,319,319,0,Female,,,
"",13,,,Mohalla Kaky Zaian,185090102,,,339,339,0,Female,,,
"",13,,,Mohalla Kaky Zaian,185090105,,,154,154,0,Female,,,
"",13,,,Mohalla Kaky Zaian,185090106,,,135,135,0,Female,,,
"",13 Total,,,,,,,0,1357,1357,0,3,3,
"",14,"City District Govt. Boys High School, ShahdaraTown, Lahore ()",,,Ghoray Shah,185090101,,640,,640,3,0,3,Male
"",14,,,Muhalla Jutta'n,185090103,,654,,654,0,Male,,,
"",14 Total,,,,,,,1294,0,1294,3,0,3,
"",15,"City District Govt. Boys High School, ShahdaraTown, Lahore ()",,,Ghoray Shah,185090101,,,504,504,0,2,2,Female
"",15,,,Muhalla Jutta'n,185090103,,,432,432,0,Female,,,
"",15 Total,,,,,,,0,936,936,0,2,2,
"",16,,,Narowal Road,185090104,,439,268,707,2,Combined,,,
"",16,,,Narowal Road,185090107,,1,4,5,0,Combined,,,
"",16,,,Narowal Road,185090108,,6,21,27,0,Combined,,,
S.No.,"GovNt. oGi.r las nHdig hNera Smecee nodfo Pryo Slclhinoogl ,S Btuantdi oRnoad,Shahdra Town, Lahore. (Permanent) ()","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","M1aleBooths","Fem1aleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
