S.No.,No. and Name of Polling Station,"In case of rural area","In case of urban area","S.No. of voters on the electoral roll in case electoral area is bifurcated","Male Voters","Female Voters","Total Voters","Male Booths","Female Booths","Total Booths",,
120,,"Rakh Meer DadMaufi",208060807,-,-,-,153,91,244,,,
120 Total,,,,,,,500,349,849,,,
121,"Boys High School, Meer Dad Maufi(Male)",Meer Dad Maufi,208060401,-,-,-,404,0,404,3,0,3
121,,Meer Dad Maufi,208060406,-,-,-,995,0,995,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
122,"Boys High School, Meer Dad Maufi(Female)",Meer Dad Maufi,208060401,-,-,-,0,276,276,0,2,2
122,,Meer Dad Maufi,208060406,-,-,-,0,752,752,,,
122 Total,,,,,,,0,1028,1028,,,
123,"Boys High School, Meer Dad MaufiMeer Dad Maufi (Combined)",Meer Dad Maufi,208060404,-,-,-,240,187,427,1,1,2
123,,Meer Dad Maufi,208060405,-,-,-,276,232,508,,,
123 Total,,,,,,,516,419,935,,,
124,"Boys High School, Meer Dad Maufi(Combined)",Meer Dad Maufi,208060402,-,-,-,256,152,408,2,1,3
124,,Meer Dad Maufi,208060403,-,-,-,338,225,563,,,
124 Total,,,,,,,594,377,971,,,
125,"Boys Primary School, Nalka Farm(Combined)",Meer Dad Maufi,208060407,-,-,-,619,388,1007,2,1,3
125 Total,,,,,,,619,388,1007,,,
126,"Veterinary Hospital, Near Lari AddaHarappa   (Male)",Harappa,208060508,-,-,-,529,0,529,2,0,2
126,,Harappa,208060515,-,-,-,549,0,549,,,
126 Total,,,,,,,1078,0,1078,,,
127,"Girls Primary School Near Lari AddaHarappa  (Female)",Harappa,208060507,-,-,-,0,431,431,0,3,3
127,,Harappa,208060509,-,-,-,0,316,316,,,
127,,Harappa,208060514,-,-,-,0,380,380,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
128,"Boys Elementary School, Main BazarHarappa  (Male)",Harappa,208060506,-,-,-,541,0,541,3,0,3
128,,Harappa,208060512,-,-,-,403,0,403,,,
128,,Harappa,208060513,-,-,-,392,0,392,,,
128 Total,,,,,,,1336,0,1336,,,
129,"Boys Elementary School, Main BazarHarappa  (Male)",Harappa,208060504,-,-,-,121,0,121,2,0,2
129,,Harappa,208060505,-,-,-,1124,0,1124,,,
129 Total,,,,,,,1245,0,1245,,,
130,"Boys Primary School, Harappa No.2(Female)",Harappa,208060504,-,-,-,0,98,98,0,2,2
130,,Harappa,208060505,-,-,-,0,947,947,,,
130 Total,,,,,,,0,1045,1045,,,
131,"Girls Primary School, Harappa No.2(Female)",Harappa,208060506,-,-,-,0,441,441,0,3,3
131,,Harappa,208060508,-,-,-,0,451,451,,,
131,,Harappa,208060513,-,-,-,0,226,226,,,
131 Total,,,,,,,0,1118,1118,,,
132,"Union Council Office, Harappa(Male)",Harappa,208060501,-,-,-,316,0,316,2,0,2
132,,Harappa,208060502,-,-,-,516,0,516,,,
132,,Harappa,208060503,-,-,-,510,0,510,,,
132 Total,,,,,,,1342,0,1342,,,
133,"Govt. Girls High School, Harappa(Female)",Harappa,208060501,-,-,-,0,252,252,0,3,3
133,,Harappa,208060502,-,-,-,0,301,301,,,
133,,Harappa,208060503,-,-,-,0,401,401,,,
133,,Harappa,208060512,-,-,-,0,304,304,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
133 Total,,,,,,,0,1258,1258,,,
134,"Boys Primary School, Nai Abadi ,Harappa (Male)",Harappa,208060507,-,-,-,506,0,506,2,0,2
134,,Harappa,208060509,-,-,-,492,0,492,,,
134,,Harappa,208060514,-,-,-,341,0,341,,,
134 Total,,,,,,,1339,0,1339,,,
135,"Boys Primary School, Nai Abadi ,Harappa (Male)",Harappa,208060510,-,-,-,561,0,561,2,0,2
135,,Harappa,208060511,-,-,-,591,0,591,,,
135 Total,,,,,,,1152,0,1152,,,
136,"Girls Primary School, 104/7-AR(Combined)",104/7-A-R,208060207,-,-,-,327,283,610,2,2,4
136,,104/7-A-R,208060208,-,-,-,398,333,731,,,
136 Total,,,,,,,725,616,1341,,,
137,"Girls High School , Harappa(Female)",Harappa,208060510,-,-,-,0,352,352,0,3,3
137,,Harappa,208060511,-,-,-,0,409,409,,,
137,,Harappa,208060515,-,-,-,0,455,455,,,
137 Total,,,,,,,0,1216,1216,,,
138,"Govt. Girls Primary School, 103/7-R(Male)",103/7-R,208060201,-,-,-,384,0,384,2,0,2
138,,103/7-R,208060202,-,-,-,462,0,462,,,
138 Total,,,,,,,846,0,846,,,
139,"Govt. Girls Primary School, 103/7-R(Female)",103/7-R,208060201,-,-,-,0,321,321,0,2,2
139,,103/7-R,208060202,-,-,-,0,341,341,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
140,"Boys Primary School,103-4/7-R(Abdi Bumba(Male)",103/7-R,208060203,-,-,-,575,0,575,2,0,2
140,,103/7-R,208060204,-,-,-,541,0,541,,,
140 Total,,,,,,,1116,0,1116,,,
141,"Govt.Girls Middle School,103-4/7-R(Abdi Bumba(Female)",103/7-R,208060203,-,-,-,0,423,423,0,2,2
141,,103/7-R,208060204,-,-,-,0,379,379,,,
141 Total,,,,,,,0,802,802,,,
142,"Boys Primary School,104/7-A-R  (Combined)",104/7-A-R,208060205,-,-,-,426,344,770,2,1,3
142,,104/7-A-R,208060206,-,-,-,328,252,580,,,
142 Total,,,,,,,754,596,1350,,,
143,"Boys High School, 2/10-L(Combined)",2/10-L,208061501,-,-,-,265,228,493,2,2,4
143,,2/10-L,208061503,-,-,-,284,217,501,,,
143,,2/10-L,208061504,-,-,-,253,207,460,,,
143 Total,,,,,,,802,652,1454,,,
144,"Boys High School, 2/10L   (Combined)",2/10-L,208061502,-,-,-,579,520,1099,1,1,2
144 Total,,,,,,,579,520,1099,,,
145,"Boys High School, 2/10L   (Combined)",2/10-L,208061505,-,-,-,369,333,702,2,1,3
145,,2/10-L,208061506,-,-,-,409,238,647,,,
145 Total,,,,,,,778,571,1349,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
146,,1/10L,208061508,-,-,-,339,0,339,,,
146,,1/10L,208061509,-,-,-,523,0,523,,,
146,,1/10L,208061512,-,-,-,0,0,0,,,
146 Total,,,,,,,1401,0,1401,,,
147,"Girls High School, 1/10LI (Male)",1/10L,208061510,-,-,-,622,0,622,3,0,3
147,,1/10L,208061511,-,-,-,457,0,457,,,
147,,1/10L,208061513,-,-,-,172,0,172,,,
147 Total,,,,,,,1251,0,1251,,,
148,"Girls High School, 1/10-L(Female)",1/10L,208061507,-,-,-,0,430,430,0,2,2
148,,1/10L,208061508,-,-,-,0,293,293,,,
148,,1/10L,208061509,-,-,-,0,405,405,,,
148,,1/10L,208061512,-,-,-,0,0,0,,,
148 Total,,,,,,,0,1128,1128,,,
149,"Girls High School, 1/10-LI        (Female)",1/10L,208061510,-,-,-,0,546,546,0,2,2
149,,1/10L,208061511,-,-,-,0,399,399,,,
149,,1/10L,208061513,-,-,-,0,129,129,,,
149 Total,,,,,,,0,1074,1074,,,
150,"Boys Primary School, Jannah TownHarappa  (Combined)",Jannah Town,208061301,-,-,-,466,312,778,2,1,3
150,,Jannah Town,208061302,-,-,-,190,145,335,,,
150,,Jannah Town,208061303,-,-,-,186,166,352,,,
150 Total,,,,,,,842,623,1465,,,
151,"Govt. Girls High  School, Jinnah TownHarappa Station  (Male)",Jannah Town,208061304,-,-,-,63,0,63,2,0,2
151,,Jinnah Town,208061305,-,-,-,233,0,233,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
151,,Jinnah Town,208061307,-,-,-,225,0,225,,,
151,,Jinnah Town,208061310,-,-,-,225,0,225,,,
151,,Jinnah Town,208061311,-,-,-,136,0,136,,,
151 Total,,,,,,,1088,0,1088,,,
152,"Govt. Girls High  School, Jinnah TownHarappa Station  (Male)",Jinnah Town,208061308,-,-,-,231,0,231,2,0,2
152,,Jinnah Town,208061309,-,-,-,148,0,148,,,
152,,Jinnah Town,208061312,-,-,-,278,0,278,,,
152,,Jinnah Town,208061313,-,-,-,331,0,331,,,
152 Total,,,,,,,988,0,988,,,
153,"Govt. Girls High  School, Jinnah TownHarappa Station  (Female)",Jannah Town,208061304,-,-,-,0,57,57,0,2,2
153,,Jinnah Town,208061310,-,-,-,0,172,172,,,
153,,Jinnah Town,208061311,-,-,-,0,66,66,,,
153,,Jinnah Town,208061312,-,-,-,0,208,208,,,
153,,Jinnah Town,208061313,-,-,-,0,247,247,,,
153 Total,,,,,,,0,750,750,,,
154,"Govt. Girls High  School, Jinnah TownHarappa Station  (Female)",Jinnah Town,208061305,-,-,-,0,211,211,0,2,2
154,,Jinnah Town,208061306,-,-,-,0,186,186,,,
154,,Jinnah Town,208061307,-,-,-,0,173,173,,,
154,,Jinnah Town,208061308,-,-,-,0,194,194,,,
154,,Jinnah Town,208061309,-,-,-,0,112,112,,,
154 Total,,,,,,,0,876,876,,,
155,"Boys Primary School, 4/10-L(Combined)",4/10-L,208060901,-,-,-,295,259,554,1,1,2
155,,4/10-L,208060902,-,-,-,199,146,345,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
156,"Girls  Primary School, 4/10-L(Combined)",4/10-L,208060903,-,-,-,434,362,796,1,1,2
156,,4/10-L,208060904,-,-,-,121,99,220,,,
156 Total,,,,,,,555,461,1016,,,
157,"Girls Middle School, 3/10L(Combined)",3/10-L,208061903,-,-,-,457,382,839,2,1,3
157,,3/10-L,208061905,-,-,-,313,285,598,,,
157 Total,,,,,,,770,667,1437,,,
158,"Girls Middle School, 3/10L(Combined)",3/10-L,208061901,-,-,-,476,405,881,0,2,2
158,,3/10-L,208061902,-,-,-,313,232,545,,,
158,,3/10-L,208061904,-,-,-,4,0,4,,,
158 Total,,,,,,,793,637,1430,,,
159,"Boys Primary School, Doda Sahu(Combined)",Doda Sahu,208060101,-,-,-,594,370,964,1,1,2
159 Total,,,,,,,594,370,964,,,
160,"Boys Primary School, Doda Sahu(Combined)",Doda Sahu,208060102,-,-,-,288,172,460,1,1,2
160,,Doda Sahu,208060103,-,-,-,240,191,431,,,
160 Total,,,,,,,528,363,891,,,
161,"Grils Primary school, Rang Shah(Combined)","Arazi MullaKathia",208060302,-,-,-,131,116,247,1,1,2
161,,Tukra 25/3,208060303,-,-,-,143,96,239,,,
161,,"Arazi JewanShah",208060306,-,-,-,21,12,33,,,
161,,Rang Shah,208060307,-,-,-,230,169,399,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
162,"Boys Primary School, AraziShahmand   (Combined)",Arazi Shahmand,208061806,-,-,-,498,365,863,1,1,2
162 Total,,,,,,,498,365,863,,,
163,"Govt..Primary School, 18/WM(Combined)",Tukra 18/W.M,208060104,-,-,-,400,255,655,1,1,2
163 Total,,,,,,,400,255,655,,,
164,"Girls Primary School, Noran Sanpal(Combined)",Jewan Shah,208060301,-,-,-,316,242,558,1,1,2
164,,Noran Sanpal,208061702,-,-,-,191,135,326,,,
164 Total,,,,,,,507,377,884,,,
165,"Boys Primary School, Sabuka(Combined)",Tukra 25/2,208060304,-,-,-,62,35,97,2,1,3
165,,Tukra25/1,208060305,-,-,-,415,318,733,,,
165,,Sabuka,208061705,-,-,-,302,245,547,,,
165 Total,,,,,,,779,598,1377,,,
166,"Boys Primary School, Noor Ka Kathia(Combined)",Noor Ka Kathia,208061701,-,-,-,281,221,502,1,1,2
166,,Murad Dilu,208061703,-,-,-,56,41,97,,,
166,,Baila Bud Wala,208061704,-,-,-,35,32,67,,,
166,,"Karmali KaKathia",208061706,-,-,-,114,70,184,,,
166,,Kund Jahli,208061707,-,-,-,0,0,0,,,
166 Total,,,,,,,486,364,850,,,
167,"Boys Middle School, Tulla BullaAzamat Ka Kathia (Combined)",Tukra 26,208061101,-,-,-,68,43,111,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
167,,"T.B.Azmat KaKathia",208061105,-,-,-,266,170,436,,,
167 Total,,,,,,,643,450,1093,,,
168,"Boys Middle School Tulla BullaAzamat Ka Kathia   (Combined)","T.B.Azamat KaKathia",208061104,-,-,-,417,311,728,1,1,2
168 Total,,,,,,,417,311,728,,,
169,"Boys High School, Dadrah(Combined)",Dadrah,208061803,-,-,-,760,574,1334,2,1,3
169 Total,,,,,,,760,574,1334,,,
170,"Boys High School, Dadrah(Combined)",Arazi 86,208061102,-,-,-,35,20,55,2,1,3
170,,Dadrah,208061804,-,-,-,463,276,739,,,
170,,Dadrah,208061805,-,-,-,308,214,522,,,
170 Total,,,,,,,806,510,1316,,,
171,"Girls Primary School, Jehana Sagla(Combined)",Jehana saghla,208061106,-,-,-,345,243,588,1,1,2
171 Total,,,,,,,345,243,588,,,
172,"Boys Primary School, Tukra 15(Combined)",Tukra 15,208061801,-,-,-,624,393,1017,1,1,2
172,,Tukra 15,208061802,-,-,-,381,300,681,,,
172 Total,,,,,,,1005,693,1698,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths"
"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
S.No.,No. and Name of Polling Station,In case of rural,In case of urban,"S.No. of voters on theelectoral roll in caseelectoral area is","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Girls Midel School  144/9 -LCombined -I   (Female)",144/9 -L,208070501,-,-,-,0,329,329,0,2,2
1,,144/9 -L,208070502,-,-,-,0,531,531,,,
1 Total,,,,,,,0,860,860,,,
2,"Girls Midel School  144/9 -LCombined -I   (Male)",144/9 -L,208070501,-,-,-,508,0,508,2,0,2
2,,144/9 -L,208070502,-,-,-,538,0,538,,,
2 Total,,,,,,,1046,0,1046,,,
3,"Boys Middle School149/ 9-L (Combined)",149/ 9-L,208070803,-,-,-,905,622,1527,2,2,4
3 Total,,,,,,,905,622,1527,,,
4,"Boys Midel School149/9 -L    (Combined)",149/9 -L,208070804,-,-,-,547,423,970,1,1,2
4 Total,,,,,,,547,423,970,,,
5,"Boys Mission High School 148/9 -L(Combined)",148/9 -L,208070801,-,-,-,538,462,1000,1,1,2
5 Total,,,,,,,538,462,1000,,,
6,"Boys Mission High School 148/9 -L(Combined)",148/9 -L,208070802,-,-,-,808,627,1435,2,2,4
6 Total,,,,,,,808,627,1435,,,
7,"Boys Midel School150/9 -L      (Combined)",150/9 -L,208070805,-,-,-,773,589,1362,2,1,3
7 Total,,,,,,,773,589,1362,,,
8,"Govt. Girls High  School150/9 -L      (Combined)",150/9 -L,208070806,-,-,-,927,681,1608,2,2,4
8 Total,,,,,,,927,681,1608,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
9,,142/9 -L,208070106,-,-,-,312,0,312,,,
9,,142/9 -L,208070110,-,-,-,672,0,672,,,
9 Total,,,,,,,1311,0,1311,,,
10,"Boys High School142/9 -L     (Female)",142/9 -L,208070105,-,-,-,0,403,403,0,2,2
10,,142/9 -L,208070106,-,-,-,0,235,235,,,
10,,142/9 -L,208070110,-,-,-,0,323,323,,,
10 Total,,,,,,,0,961,961,,,
11,"Boys High School142/9 -L       (Male)",142/9 -L,208070107,-,-,-,404,0,404,2,0,2
11,,142/9 -L,208070108,-,-,-,241,0,241,,,
11,,142/9 -L,208070109,-,-,-,400,0,400,,,
11 Total,,,,,,,1045,0,1045,,,
12,"Boys High School142/9 -L     (Female)",142/9 -L,208070107,-,-,-,0,309,309,0,2,2
12,,142/9 -L,208070108,-,-,-,0,202,202,,,
12,,142/9 -L,208070109,-,-,-,0,291,291,,,
12 Total,,,,,,,0,802,802,,,
13,"Boys High School145/9 -L     (Male)",145/9 -L,208070504,-,-,-,37,0,37,2,0,2
13,,145/9 -L,208070507,-,-,-,425,0,425,,,
13,,145/9 -L,208070508,-,-,-,364,0,364,,,
13 Total,,,,,,,826,0,826,,,
14,"Boys High School145/9 -L    (Female)",145/9 -L,208070504,-,-,-,0,25,25,0,2,2
14,,145/9 -L,208070507,-,-,-,0,354,354,,,
14,,145/9 -L,208070508,-,-,-,0,314,314,,,
14 Total,,,,,,,0,693,693,,,
15,"Boys High School145/9 -L     (Male)",145/9 -L,208070505,-,-,-,85,0,85,2,0,2
15,,145/9 -L,208070506,-,-,-,329,0,329,,,
15,,145/9 -L,208070509,-,-,-,464,0,464,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
16,"Boys High School   145/9 -L(Female)",145/9 -L,208070505,-,-,-,0,138,138,0,2,2
16,,145/9 -L,208070506,-,-,-,0,234,234,,,
16,,145/9 -L,208070509,-,-,-,0,390,390,,,
16 Total,,,,,,,0,762,762,,,
17,"Girls Midel School144/9 -L   Combined -II   (Combined)",144/9 -L,208070503,-,-,-,591,465,1056,1,1,2
17 Total,,,,,,,591,465,1056,,,
18,"Girls  Elementary School143/9 -L   (Male)",143/9 -L,208070101,-,-,-,591,0,591,4,0,4
18,,143/9 -L,208070102,-,-,-,363,0,363,,,
18,,143/9 -L,208070103,-,-,-,317,0,317,,,
18,,143/9 -L,208070104,-,-,-,398,0,398,,,
18 Total,,,,,,,1669,0,1669,,,
19,"Girls  Elementary School  143/9 -L(Female)",143/9 -L,208070101,-,-,-,0,381,381,0,3,3
19,,143/9 -L,208070102,-,-,-,0,278,278,,,
19,,143/9 -L,208070103,-,-,-,0,219,219,,,
19,,143/9 -L,208070104,-,-,-,0,244,244,,,
19 Total,,,,,,,0,1122,1122,,,
20,"Boys primary School155/9 -L (Combined)",156/9 -L,208070401,-,-,-,352,261,613,2,2,4
20,,155/9 -L,208070402,-,-,-,602,440,1042,,,
20 Total,,,,,,,954,701,1655,,,
21,"Boys primary School157/9  -L (Combined)",157/9  -L,208070301,-,-,-,271,161,432,2,1,3
21,,157/9  -L,208070302,-,-,-,528,374,902,,,
21,,157/9  -L,208070303,-,-,-,93,52,145,,,
21 Total,,,,,,,892,587,1479,,,
22,"Boys primary School158/9 -L (Combined)",158/9 -L,208070304,-,-,-,550,307,857,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
23,"Girls Primary School, Murad kakathia(Combined)",Kot Fazil,209020304,,,-,327,229,556,1,1,2
23,,"Murad KaKathia",209020402,,,-,265,165,430,,,
23 Total,,,,,,,592,394,986,,,
24,"Girls Primary School,107/7R(Combined)",107/7-R,209020503,,,-,529,397,926,1,1,2
24 Total,,,,,,,529,397,926,,,
25,"Girls Primary School, Ahmed Baghela(Combined)",Ahmed Bagehla,209020101,-,-,-,201,124,325,2,2,4
25,,Ahmed Bagehla,209020102,-,-,-,253,199,452,,,
25,,Ahmed Bagehla,209020103,-,-,-,248,176,424,,,
25,,Ahmed Bagehla,209020108,-,-,-,280,178,458,,,
25 Total,,,,,,,982,677,1659,,,
26,"Boys Primary School, Tibi Qasim(Combined)",Tibi Qasim,209020104,-,-,-,361,208,569,2,1,3
26,,Tibi Qasim,209020109,-,-,-,286,280,566,,,
26 Total,,,,,,,647,488,1135,,,
27,"Boys Primary School, BongaBahawal(Arazi Dad Sarang(Combined)",Sher Khanana,209020105,-,-,-,123,113,236,1,1,2
27,,"KundMuhammadMirza",209020106,-,-,-,16,8,24,,,
27,,Arzi Sarang,209020107,-,-,-,3,6,9,,,
27,,Bonga Bahawal,209020204,-,-,-,285,173,458,,,
27,,"BogaShahamand",209020403,-,-,-,101,74,175,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
28,"Boys Primary School,18-A/W.M (Male)",18-A/W.M,209020201,-,-,-,558,0,558,3,0,3
28,,18-A/W.M,209020202,-,-,-,300,0,300,,,
28,,18-A/W.M,209020203,-,-,-,286,0,286,,,
28,,Dad Fatiana,209020205,-,-,-,207,0,207,,,
28 Total,,,,,,,1351,0,1351,,,
29,"Boys Primary School, 18-A/W.M(Female)",18-A/W.M,209020201,-,-,-,0,469,469,0,2,2
29,,18-A/W.M,209020202,-,-,-,0,243,243,,,
29,,18-A/W.M,209020203,-,-,-,0,188,188,,,
29,,Dad Fatiana,209020205,-,-,-,0,171,171,,,
29 Total,,,,,,,0,1071,1071,,,
30,"Boys High School , Murad Ka Kathia(Combined)","Murad KaKathia",209020401,-,-,-,405,352,757,2,1,3
30,,"Murad KaKathia",209020404,-,-,-,326,197,523,,,
30 Total,,,,,,,731,549,1280,,,
31,"Boys Primary School, 107/7-R(Combined)",107/7-R,209020502,-,-,-,418,262,680,2,2,4
31,,107/7-R,209020505,-,-,-,282,307,589,,,
31 Total,,,,,,,700,569,1269,,,
32,"Boys Primary School, Chak BandiNathu Amir, Thatha Shahamad(Combined)","DondaSandrana",209020303,-,-,-,207,145,352,2,2,4
32,,"Chak BandiBurkha",209020501,-,-,-,151,112,263,,,
