251,"Faiz-e-Aam Primary School, Qazafi Colony,Bangali Bagh, Lahore.   ()",,,Qadafi Colony Nabi Park,185110502,,,718,718,0,3,3,Female
251,,,Qadafi Colony Nabi Park,185110506,,,473,473,Female,,,,
251 Total,,,,,,,0,1191,1191,0,3,3,
252,"Shufa Education High School, Abu Bakar Park,Badami Bagh, Lahore ()",,,"Qadafi Colony BismillahPark",185110503,,1444,,1444,4,0,4,Male
252 Total,,,,,,,1444,0,1444,4,0,4,
253,"Shufa Education High School, Abu Bakar Park,Badami Bagh, Lahore ()",,,"Qadafi Colony BismillahPark",185110507,,1061,,1061,3,0,3,Male
253,,,"Qadafi Colony BismillahPark",185110508,,45,,45,Male,,,,
253 Total,,,,,,,1106,0,1106,3,0,3,
254,"S.F.Public High School, Ali Murtaza Chowk, JalalPark, Bangali Bagh Lahore. ()",,,"Qadafi Colony BismillahPark",185110503,,,1414,1414,0,4,4,Female
254,,,"Qadafi Colony BismillahPark",185110507,,,410,410,Female,,,,
254,,,"Qadafi Colony BismillahPark",185110508,,,0,0,Female,,,,
254 Total,,,,,,,0,1824,1824,0,4,4,
255,"Farooq  Azam High School, Bismillah Park,Badami Bagh, Lahore ()",,,Kachi Abadi Sultan Pura,185110501,,1070,,1070,2,0,2,Male
255 Total,,,,,,,1070,0,1070,2,0,2,
256,"Farooq  Azam High School, Bismillah Park,Badami Bagh, Lahore ()",,,Kachi Abadi Sultan Pura,185110505,,910,,910,4,0,4,Male
256,,,Itifaq Pura,185110304,,484,,484,Male,,,,
256,,,Itifaq Pura,185110305,,125,,125,Male,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",257,"Sardar Memorial High School Qazafi ColonyBadami Bagh Lahore ()",,,Kachi Abadi Sultan Pura,185110501,,,962,962,0,4,4,Female
"",257,,,Kachi Abadi Sultan Pura,185110505,,,284,284,Female,,,,
"",257,,,Itifaq Pura,185110304,,,326,326,Female,,,,
"",257,,,Itifaq Pura,185110305,,,109,109,Female,,,,
"",257 Total,,,,,,,0,1681,1681,0,4,4,
"",258,"Cresent Public High School St.No.9, SadiqiaColony, Lahore. ()",,,Wasa Colony,185120105,,414,,414,3,0,3,Male
"",258,,,Sadiqiya Colony,185120106,,814,,814,Male,,,,
"",258 Total,,,,,,,1228,0,1228,3,0,3,
"",259,"Cresent Public High School St.No.9, SadiqiaColony, Lahore. ()",,,Wasa Colony,185120105,,,307,307,0,2,2,Female
"",259,,,Sadiqiya Colony,185120106,,,592,592,Female,,,,
"",259 Total,,,,,,,0,899,899,0,2,2,
"",260,"MCL Khokhar Pind Badami Bagh, Lahore ()",,,"Khokhar Road SadiqiyaColony",185120201,,522,417,939,1,1,2,Combined
"",260 Total,,,,,,,522,417,939,1,1,2,
"",261,"Allama Iqbal Foundation School, MadinaMarket,Main Bazar Sidiqia Colony, Khokhar Road,Lahore. ()",,,Band Road Noor Road,185120103,,573,,573,3,0,3,Male
"",261,,,"Noor Road SadiqiyaColony",185120203,,244,,244,Male,,,,
"",261,,,"Noor Road SadiqiyaColony",185120208,,574,,574,Male,,,,
"",261 Total,,,,,,,1391,0,1391,3,0,3,
"",262,"Allama Iqbal Foundation School, MadinaMarket,Main Bazar Sidiqia Colony, Khokhar Road,Lahore. ()",,,Band Road Noor Road,185120103,,,422,422,0,2,2,Female
"",262,,,"Noor Road SadiqiyaColony",185120203,,,276,276,Female,,,,
"",262,,,"Noor Road SadiqiyaColony",185120208,,,316,316,Female,,,,
"",262 Total,,,,,,,0,1014,1014,0,2,2,
"",263,"City District Govt. Girls Middle School,MuzaKhokhar Pind, Lahore. (Permanent) ()",,,Khokhar Pind,185120101,,810,615,1425,2,2,4,Combined
"",263,,,Khokhar Pind,185120107,,12,3,15,Combined,,,,
"",263,,,Khokhar Pind,185120102,,154,107,261,Combined,,,,
"",263 Total,,,,,,,976,725,1701,2,2,4,
"",264,"Pak Foundation School St.No.6, Main Bazar,Saddiqia Colony, Lahore.         ()",,,Khan Park,185120104,,879,624,1503,2,2,4,Combined
"",264,,,Khan Park,185120108,,7,13,20,Combined,,,,
"",264 Total,,,,,,,886,637,1523,2,2,4,
"",265,"Kashmir Public School St. No. 12 Sadiqia ColonyMain Bazar ()",,,"Khokhar Road SadiqiyaColony",185120202,,913,,913,4,0,4,Male
"",265,,,Farst Colony,185130107,,592,,592,Male,,,,
"",265 Total,,,,,,,1505,0,1505,4,0,4,
"",266,"Kashmir Public School St. No. 12 Sadiqia ColonyMain Bazar ()",,,Farst Colony,185130107,,,428,428,0,3,3,Female
"",266,,,"Khokhar Road SadiqiyaColony",185120202,,,750,750,Female,,,,
266 Total,,,,,,,0,1178,1178,0,3,3,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",267,"Govt. Ayesha Degree Post Graduate College forWomen, Timber Market, Lahore. (Permanent) ()",,,Al Badar Colony,185130102,,812,,812,4,0,4,Male
"",267,,,"Al Mujahid Colony RaviLink Road",185130101,,495,,495,Male,,,,
"",267,,,Sadiq Colony,185130103,,474,,474,Male,,,,
"",267 Total,,,,,,,1781,0,1781,4,0,4,
"",268,"Govt. Ayesha Degree Post Graduate College forWomen, Timber Market, Lahore. (Permanent) ()",,,"Al Mujahid Colony RaviLink Road",185130101,,,465,465,0,3,3,Female
"",268,,,Al Badar Colony,185130102,,,609,609,Female,,,,
"",268,,,Sadiq Colony,185130103,,,321,321,Female,,,,
"",268 Total,,,,,,,0,1395,1395,0,3,3,
"",269,"Govt. Ayesha Degree Post Graduate College forWomen, Timber Market, Lahore. (Permanent) ()",,,"Timber Market SadiqColony",185130104,,764,,764,4,0,4,Male
"",269,,,Sadiq Colony,185130105,,747,,747,Male,,,,
"",269,,,New Timber Market,185130106,,219,,219,Male,,,,
"",269 Total,,,,,,,1730,0,1730,4,0,4,
"",270,"Govt. Ayesha Degree Post Graduate College forWomen, Timber Market, Lahore. (Permanent) ()",,,"Timber Market SadiqColony",185130104,,,550,550,0,3,3,Female
"",270,,,New Timber Market,185130106,,,197,197,Female,,,,
"",270,,,Sadiq Colony,185130105,,,636,636,Female,,,,
"",270 Total,,,,,,,0,1383,1383,0,3,3,
"",271,"Govt. Ayesha Degree Post Graduate College forWomen, Timber Market, Lahore. (Permanent) ()",,,"Gali No.23,59 AlmadadPak Colony",185130202,,604,,604,3,0,3,Male
"",271,,,Almadad Park Colony,185130201,,565,,565,Male,,,,
"",271 Total,,,,,,,1169,0,1169,3,0,3,
"",272,"Govt. Ayesha Degree Post Graduate College forWomen, Timber Market, Lahore. (Permanent) ()",,,Almadad Park Colony,185130201,,,452,452,0,2,2,Female
"",272,,,"Gali No.23,59 AlmadadPak Colony",185130202,,,464,464,Female,,,,
"",272 Total,,,,,,,0,916,916,0,2,2,
"",273,"Govt. Amratser Middle School Shamsh Pura,Lahore  (Permanent) ()",,,Bukhtawar Park,185130203,,345,,345,4,0,4,Male
"",273,,,Timber Market,185130205,,635,,635,Male,,,,
"",273,,,"Gali No.28,29 PakColony",185130204,,630,,630,Male,,,,
"",273 Total,,,,,,,1610,0,1610,4,0,4,
"",274,"Govt. Amratser Middle School Shamsh Pura,Lahore  (Permanent) ()",,,"Gali No.37-41 QilaMuhammadi",185130302,,602,,602,3,0,3,Male
"",274,,,Qila Muhammadi,185130301,,498,,498,Male,,,,
"",274 Total,,,,,,,1100,0,1100,3,0,3,
"",275,"Govt. Ayesha Degree Post Graduate College forWomen, Timber Market, Lahore. (Permanent) ()",,,Bukhtawar Park,185130203,,,300,300,0,2,2,Female
"",275,,,"Gali No.28,29 PakColony",185130204,,,551,551,Female,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
276,"Govt. Ayesha Degree Post Graduate College forWomen, Timber Market, Lahore. (Permanent) ()",,,Timber Market,185130205,,,526,526,0,3,3,Female
276,,,Qila Muhammadi,185130301,,,420,420,Female,,,,
276,,,"Gali No.37-41 QilaMuhammadi",185130302,,,509,509,Female,,,,
276 Total,,,,,,,0,1455,1455,0,3,3,
277,"Moon Public School English Medium for BoysTimber Market Ravi Road, Lahore.  ()",,,"Gali No.30-35 QilaMuhammadi",185130303,,565,,565,4,0,4,Male
277,,,Qila Lachman Singh,185130401,,507,,507,Male,,,,
277,,,"Gali No.25 Qila LachmanSingh",185130402,,552,,552,Male,,,,
277 Total,,,,,,,1624,0,1624,4,0,4,
278,"Moon Public School English Medium for BoysTimber Market Ravi Road, Lahore.  ()",,,"Gali No.30-35 QilaMuhammadi",185130303,,,467,467,0,3,3,Female
278,,,Qila Lachman Singh,185130401,,,456,456,Female,,,,
278,,,"Gali No.25 Qila LachmanSingh",185130402,,,400,400,Female,,,,
278 Total,,,,,,,0,1323,1323,0,3,3,
279,"Govt. Girls High School Rehman Road, QilaLachman Singh, Lahore (Permanent) ()",,,"Gali No.38 QilaMuhammadi",185130501,,404,,404,3,0,3,Male
279,,,"Gali No.25 Qila LachmanSingh",185130403,,289,,289,Male,,,,
279,,,"Gali No.17,19 QilaMuhammadi",185130502,,728,,728,Male,,,,
279 Total,,,,,,,1421,0,1421,3,0,3,
280,"Govt. Girls High School Rehman Road, QilaLachman Singh, Lahore (Permanent) ()",,,"Gali No.25 Qila LachmanSingh",185130403,,,232,232,0,4,4,Female
280,,,"Gali No.17,19 QilaMuhammadi",185130502,,,617,617,Female,,,,
280,,,"Gali No.38 QilaMuhammadi",185130501,,,335,335,Female,,,,
280 Total,,,,,,,0,1184,1184,0,4,4,
281,"CDG Boys High School Rehman Road, QilaLachman Singh, Lahore (Permanent) ()",,,"Gali No.9,10 QilaMuhammadi",185130504,,254,249,503,2,1,3,Combined
281,,,"Gali No.9,10 QilaMuhammadi",185130503,,340,240,580,Combined,,,,
281,,,Qila Muhammadi,185130505,,93,69,162,Combined,,,,
281 Total,,,,,,,687,558,1245,2,1,3,
282,"CDG Boys High School Rehman Road, QilaLachman Singh, Lahore (Permanent) ()",,,"Ravi Park Qila LachmanSingh",185140404,,811,,811,2,0,2,Male
282,,,"Ravi Park Qila LachmanSingh",185140405,,415,,415,Male,,,,
282,,,"Ravi Park Qila LachmanSingh",185140407,,0,,0,Male,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
283,"Govt. Girls High School Rehman Road, QilaLachman Singh, Lahore (Permanent) ()",,,"Ravi Park Qila LachmanSingh",185140404,,,747,747,0,3,3,Female
283,,,"Ravi Park Qila LachmanSingh",185140405,,,420,420,Female,,,,
283,,,"Ravi Park Qila LachmanSingh",185140407,,,0,0,Female,,,,
283 Total,,,,,,,0,1167,1167,0,3,3,
284,"CDG Boys High School, Ravi Park, QilaLachhaman Singh Ravi Road, Lahore.(Permanent)()",,,"Timber Market QilaMuhammadi",185140401,,964,,964,4,0,4,Male
284,,,Qila Muhammadi,185140402,,269,,269,Male,,,,
284,,,Qila Muhammadi,185140406,,3,,3,Male,,,,
284,,,"Ravi Park Qila LachmanSingh",185140403,,471,,471,Male,,,,
284 Total,,,,,,,1707,0,1707,4,0,4,
285,"CDG Girls High School, Ravi Park, Qila LachhamanSingh Ravi Road, Lahore.(Permanent)   ()",,,"Timber Market QilaMuhammadi",185140401,,,832,832,0,3,3,Female
285,,,Qila Muhammadi,185140402,,,216,216,Female,,,,
285,,,Qila Muhammadi,185140406,,,2,2,Female,,,,
285,,,"Ravi Park Qila LachmanSingh",185140403,,,338,338,Female,,,,
285 Total,,,,,,,0,1388,1388,0,3,3,
286,"Chief Grammar School, Al-Madad Park, Colony,Lahore ()",,,Toheed Abad Ravi Road,185140302,,847,627,1474,2,2,4,Combined
286 Total,,,,,,,847,627,1474,2,2,4,
287,"Moon Public School (Girls Campus), St.No.43, PakColony Timber Market, Lahore.  ()",,,"Toheed Abad QilaMuhammadi",185140301,,540,,540,4,0,4,Male
287,,,"Nabi park Qila LachmanSingh",185140304,,793,,793,Male,,,,
287,,,"Nabi park Qila LachmanSingh",185140306,,324,,324,Male,,,,
287 Total,,,,,,,1657,0,1657,4,0,4,
288,"Moon Public School, St.No.49, Touheed Abad,Ravi Road Lahore. ()",,,"Toheed Abad QilaMuhammadi",185140301,,,419,419,0,3,3,Female
288,,,"Nabi park Qila LachmanSingh",185140304,,,635,635,Female,,,,
288,,,"Nabi park Qila LachmanSingh",185140306,,,244,244,Female,,,,
288 Total,,,,,,,0,1298,1298,0,3,3,
289,"Chief Grammar School, Al-Madad Park, Colony,Lahore ()",,,Oqaaf Colony,185140204,,1028,,1028,2,0,2,Male
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
290,"Trust Model Public High School, Molana AhmedAli Road, Near Roti Plant Lahore.  (Permanent)()",,,"Toheed abad TimberMarket",185140303,,423,,423,2,0,2,Male
290,,,"Toheed abad TimberMarket",185140305,,519,,519,Male,,,,
290 Total,,,,,,,942,0,942,2,0,2,
291,"Trust Model Public High School, Molana AhmedAli Road, Near Roti Plant Lahore.  (Permanent)()",,,"Toheed abad TimberMarket",185140303,,,314,314,0,3,3,Female
291,,,"Toheed abad TimberMarket",185140305,,,362,362,Female,,,,
291,,,Oqaaf Colony,185140204,,,828,828,Female,,,,
291 Total,,,,,,,0,1504,1504,0,3,3,
292,"Trust Model Public High School, Molana AhmedAli Road, Near Roti Plant Lahore.  (Permanent)",,,Qadar Abad,185140203,,775,517,1292,2,2,4,Combined
292,,,Qadar Abad,185140206,,248,193,441,Combined,,,,
292 Total,,,,,,,1023,710,1733,2,2,4,
293,"Trust Model Public High School, Molana AhmedAli Road, Near Roti Plant Lahore.  (Permanent)",,,New Sabzi Mandi,185140202,,629,549,1178,2,2,4,Combined
293,,,New Sabzi Mandi,185140205,,439,224,663,Combined,,,,
293 Total,,,,,,,1068,773,1841,2,2,4,
294,"Al- Karim Public School Bukhtawar Park , RaviRoad, Lahore.  ()",,,Toheed Abad,185140201,,351,,351,4,0,4,Male
294,,,Almadad Pak Colony,185140103,,231,,231,Male,,,,
294,,,"Kachi Abadi ShamasAbad",185140102,,223,,223,Male,,,,
294,,,Almadad Pak Colony,185140104,,742,,742,Male,,,,
294 Total,,,,,,,1547,0,1547,4,0,4,
295,"Oxford Grammer School (for Boys) Meraj Park,Ravi Road, Lahore.  ()",,,Toheed Abad,185140201,,,295,295,0,3,3,Female
295,,,Almadad Pak Colony,185140103,,,190,190,Female,,,,
295,,,Almadad Pak Colony,185140104,,,653,653,Female,,,,
295,,,"Kachi Abadi ShamasAbad",185140102,,,150,150,Female,,,,
295 Total,,,,,,,0,1288,1288,0,3,3,
296,"Govt. Girls Middle School, Saddique Colony, RaviRoad,Lahore School Siddique Colony, Ravi Road,Lahore.  ()",,,"Shamas Pura Ravi LinkRoad",185140101,,891,,891,3,0,3,Male
296,,,"Shamas Pura Ravi LinkRoad",185140105,,423,,423,Male,,,,
296 Total,,,,,,,1314,0,1314,3,0,3,
297,"The Elite Grammar School, Al-Madad Pak Colony,Ravi Road, Lahore.  ()",,,"Shamas Pura Ravi LinkRoad",185140101,,,665,665,0,2,2,Female
297,,,"Shamas Pura Ravi LinkRoad",185140105,,,280,280,Female,,,,
297 Total,,,,,,,0,945,945,0,2,2,
"","S.No.S.No.","No. and Name of Polling StationNo. and Name of Polling Station","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcatedS.No. of voters on the","MaleVotersMale","FemaleVotersFemale","TotalVotersTotal","MaleBoothsMale","FemaleBoothsFemale","TotalBoothsTotal","TypeType",,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,electoral r7oll in case,Vo8ters,Vo9ters,Vo1t0ers,Bo1o1ths,Bo1o2ths,Bo1o3ths,14
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,bifurcated,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",1,"Iqra Madina-tu-Itfal, St. No. 11, Data Nagar,Badami Bagh, Lahore",,,Data Nagar,185150102,,1364,0,1364,4,0,4,Male
"",1,,,Data Nagar,185150105,,540,0,540,0,Male,,,
"",1,,,Layrics Colony,185150101,,143,0,143,0,Male,,,
"",1 Total,,,,,,,2047,0,2047,4,0,4,
"",2,"Iqra Madina-tu-Itfal, St. No. 11, Data Nagar,Badami Bagh, Lahore",,,Layrics Colony,185150101,,0,121,121,0,4,4,Female
"",2,,,Data Nagar,185150102,,0,1072,1072,0,Female,,,
"",2,,,Data Nagar,185150105,,0,386,386,0,Female,,,
"",2 Total,,,,,,,0,1579,1579,0,4,4,
"",3,"City District Govt. Boys Model Middle School,Data Nagar, Badami Bagh, Lahore Permanent.",,,Data Nagar,185150103,,655,0,655,3,0,3,Male
"",3,,,Muhammadia Colony,185150104,,1016,0,1016,0,Male,,,
"",3 Total,,,,,,,1671,0,1671,3,0,3,
"",4,"City District Govt. Boys Model Middle School,Data Nagar, Badami Bagh, Lahore Permanent.",,,Muhammadia Colony,185150104,,0,718,718,0,3,3,Female
"",4,,,Data Nagar,185150103,,0,503,503,0,Female,,,
"",4 Total,,,,,,,0,1221,1221,0,3,3,
"",5,"City District Govt. Junior Model Primary SchoolData Nagar, Badami Bagh, Lahore Permanent.",,,Data Nagar,185150201,,389,0,389,4,0,4,Male
"",5,,,Data Nagar,185150202,,726,0,726,0,Male,,,
"",5,,,Data Nagar,185150205,,862,0,862,0,Male,,,
"",5 Total,,,,,,,1977,0,1977,4,0,4,
"",6,"City District Govt. Junior Model Primary SchoolSchool Data Nagar, Badami Bagh, LahorePermanent.",,,Data Nagar,185150201,,0,340,340,0,3,3,Female
"",6,,,Data Nagar,185150202,,0,561,561,0,Female,,,
"",6,,,Data Nagar,185150205,,0,645,645,0,Female,,,
"",6 Total,,,,,,,0,1546,1546,0,3,3,
"",7,"Govt. Muhammadia Girls High School, NishtarColony, Sher Shah Road, Badami Bagh, Lahore",,,Cha Motiya Data Nagar,185150203,,517,0,517,4,0,4,Male
"",7,,,Cha Motiya Data Nagar,185150204,,225,0,225,0,Male,,,
"",7,,,Cha Motiya Data Nagar,185150206,,826,0,826,0,Male,,,
"",7 Total,,,,,,,1568,0,1568,4,0,4,
"",8,"Govt. Muhammadia Girls High School, NishtarColony, Sher Shah Road, Badami Bagh, Lahore",,,Cha Motiya Data Nagar,185150203,,0,336,336,0,2,2,Female
"",8,,,Cha Motiya Data Nagar,185150204,,0,231,231,0,Female,,,
"",8,,,Cha Motiya Data Nagar,185150206,,0,499,499,0,Female,,,
"",8 Total,,,,,,,0,1066,1066,0,2,2,
"",9,,,Data Nagar,185150301,,627,0,627,2,Male,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",9 Total,,,,,,,955,0,955,2,0,2,
"",10,"New Central Model Public High School BabamiBagh Lahore",,,Data Nagar,185150303,,521,0,521,2,0,2,Male
"",10,,,Data Nagar,185150306,,606,0,606,0,Male,,,
"",10 Total,,,,,,,1127,0,1127,2,0,2,
"",11,"New Central Model Public High School BabamiBagh Lahore",,,Data Nagar,185150301,,0,511,511,0,1,1,Female
"",11,,,Data Nagar Main Bazar,185150302,,0,219,219,0,Female,,,
"",11 Total,,,,,,,0,730,730,0,1,1,
"",12,"New Central Model Public High School BabamiBagh Lahore",,,Data Nagar,185150303,,0,386,386,0,1,1,Female
"",12,,,Data Nagar,185150306,,0,437,437,0,Female,,,
"",12 Total,,,,,,,0,823,823,0,1,1,
"",13,"Office TMA Ravi Town,  Badami Bagh, LahorePermanent ()",,,Gulshan Colony,185150304,,214,0,214,2,0,2,Male
"",13,,,Islam pura,185150305,,913,0,913,0,Male,,,
"",13 Total,,,,,,,1127,0,1127,2,0,2,
"",14,"Office TMA Ravi Town,  Badami Bagh, LahorePermanent ()",,,Gulshan Colony,185150304,,0,129,129,0,1,1,Female
"",14,,,Islam pura,185150305,,0,595,595,0,Female,,,
"",14 Total,,,,,,,0,724,724,0,1,1,
"",15,"Govt. Kashmir Girls Middle School Farooq Gunj,Sheran Wala Lahore",,,"Habib Gunj, Missri Shah",185160203,,917,0,917,3,0,3,Male
"",15,,,"Habib Gunj, Missri Shah",185160204,,657,0,657,0,Male,,,
"",15 Total,,,,,,,1574,0,1574,3,0,3,
"",16,"Govt. Kashmir Girls Middle School Farooq Gunj,Sheran Wala Lahore",,,"Habib Gunj, Missri Shah",185160203,,0,778,778,0,2,2,Female
"",16,,,"Habib Gunj, Missri Shah",185160204,,0,456,456,0,Female,,,
"",16 Total,,,,,,,0,1234,1234,0,2,2,
"",17,"Govt. Kashmir Girls Middle School Farooq Gunj,Sheran Wala Lahore",,,"Usman Gunj BadamiBagh",185160205,,633,0,633,2,0,2,Male
"",17,,,"Usman Gunj SheranwalaGate",185160206,,612,0,612,0,Male,,,
"",17 Total,,,,,,,1245,0,1245,2,0,2,
"",18,"Govt. Kashmir Girls Middle School Farooq Gunj,Sheran Wala Lahore",,,"Usman Gunj BadamiBagh",185160205,,0,478,478,0,2,2,Female
"",18,,,"Usman Gunj SheranwalaGate",185160206,,0,478,478,0,Female,,,
"",18 Total,,,,,,,0,956,956,0,2,2,
"",19,"Office Administrator General Bus Stand BadamiBagh, Lahore Permanent.",,,Mandir Diyan Singh,185160105,,295,0,295,3,0,3,Male
"",19,,,Mandir Diyan Singh,185160108,,279,0,279,0,Male,,,
"",19,,,Mandir Diyan Singh,185160109,,271,0,271,0,Male,,,
"",19,,,Mandir Diyan Singh,185160110,,209,0,209,0,Male,,,
"",19,,,Baroon Masti Gate,185160106,,792,0,792,0,Male,,,
"",19 Total,,,,,,,1846,0,1846,3,0,3,
