S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
262,Basic Health Unit 53/5-L(Male),53/5 -L,208031309,-,-,-,419,0,419,2,0,2
262,,53/5 -L,208031310,-,-,-,406,0,406,,,
262,,53/5 -L,208031312,-,-,-,311,0,311,,,
262,,53/5 -L,208031326,-,-,-,234,0,234,,,
262,,53/5 -L,208031327,-,-,-,214,0,214,,,
262 Total,,,,,,,1584,0,1584,,,
263,"Govt.Girls Elementary School53/5 -L   (Female)",53/5 -L,208031302,-,-,-,0,143,143,0,4,4
263,,53/5 -L,208031303,-,-,-,0,204,204,,,
263,,53/5 -L,208031304,-,-,-,0,147,147,,,
263,,53/5 -L,208031305,-,-,-,0,286,286,,,
263,,53/5 -L,208031306,-,-,-,0,163,163,,,
263,,53/5 -L,208031307,-,-,-,0,77,77,,,
263,,53/5 -L,208031308,-,-,-,0,456,456,,,
263,,53/5 -L,208031325,-,-,-,0,128,128,,,
263 Total,,,,,,,0,1604,1604,,,
264,"Govt Girls Elementary School53/5 -L   (Female)",53/5 -L,208031309,-,-,-,0,371,371,0,2,2
264,,53/5 -L,208031310,-,-,-,0,287,287,,,
264,,53/5 -L,208031313,-,-,-,0,49,49,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
264,,53/5 -L,208031328,-,-,-,0,212,212,,,
264 Total,,,,,,,0,1091,1091,,,
265,Govt Girls Elementary School   53/5 -L   (Female),53/5 -L,208031311,-,-,-,0,359,359,0,2,2
265,,53/5 -L,208031312,-,-,-,0,160,160,,,
265,,53/5 -L,208031327,-,-,-,0,215,215,,,
265 Total,,,,,,,0,734,734,,,
266,"Boys  Primary School54/5 -L   (Combined)",54/5 -L,208031314,-,-,-,409,305,714,2,1,3
266,,54/5 -L,208031315,-,-,-,308,199,507,,,
266 Total,,,,,,,717,504,1221,,,
267,"Girls  Primary School55/5 -L   (Male)",55/5 -L,208031316,-,-,-,596,0,596,2,0,2
267,,55/5 -L,208031317,-,-,-,247,0,247,,,
267,,55/5 -L,208031329,-,-,-,169,0,169,,,
267 Total,,,,,,,1012,0,1012,,,
268,"Girls  Primary School55/5 -L  (Female)",55/5 -L,208031316,-,-,-,0,460,460,0,2,2
268,,55/5 -L,208031317,-,-,-,0,185,185,,,
268,,55/5 -L,208031329,-,-,-,0,156,156,,,
268 Total,,,,,,,0,801,801,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
269,,56/5 -L,208031319,-,-,-,431,284,715,,,
269,,56/5 -L,208031320,-,-,-,132,106,238,,,
269 Total,,,,,,,769,576,1345,,,
270,"Boys   Higher secondary School  56/5 -L(Male)",56/5 -L,208031321,-,-,-,670,0,670,2,0,2
270,,56/5 -L,208031322,-,-,-,490,0,490,,,
270 Total,,,,,,,1160,0,1160,,,
271,"Boys    Higher secondary School  56/5 -L(Female)",56/5 -L,208031321,-,-,-,0,543,543,0,2,2
271,,56/5 -L,208031322,-,-,-,0,346,346,,,
271 Total,,,,,,,0,889,889,,,
272,"Boys    Higher secondary School  56/5 -LCombined -III    (Combined)",56/5 -L,208031323,-,-,-,476,367,843,1,1,2
272,,56/5 -L,208031324,-,-,-,169,128,297,,,
272 Total,,,,,,,645,495,1140,,,
273,"Boys  Primary School52/5 -LBasti Islam Pura (Combined)",52/5 -L,208031301,-,-,-,733,616,1349,2,1,3
273 Total,,,,,,,733,616,1349,,,
274,"Girls  Higher Secondary School 73/5 -LCombined  I    (Combined)",73/5--L,208021308,-,-,-,231,190,421,1,1,2
274,,73/5--L,208021309,-,-,-,349,275,624,,,
274 Total,,,,,,,580,465,1045,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
275,,73/5--L,208021311,-,-,-,365,244,609,,,
275 Total,,,,,,,984,667,1651,,,
276,"Boys Primary School48/5--L(Combined)",48/5--L,208021301,-,-,-,230,113,343,2,1,3
276,,48/5--L,208021302,-,-,-,267,136,403,,,
276,,48/5--L,208021303,-,-,-,547,314,861,,,
276 Total,,,,,,,1044,563,1607,,,
277,"Govt Primary School50/5--L(Combined)",50/5--L,208021304,-,-,-,324,264,588,2,2,4
277,,50/5--L,208021305,-,-,-,184,141,325,,,
277,,50/5--L,208021306,-,-,-,246,196,442,,,
277,,50/5--L,208021307,-,-,-,201,133,334,,,
277 Total,,,,,,,955,734,1689,,,
278,"Govt.Girls High School73-A/5--L(Combined)",73-A/5--L,208021201,-,-,-,173,118,291,1,1,2
278,,73-A/5--L,208021202,-,-,-,212,159,371,,,
278,,73-A/5--L,208021203,-,-,-,79,69,148,,,
278 Total,,,,,,,464,346,810,,,
279,"Govt.Girls High School73-A/5--L(Combined)",73-A/5--L,208021204,-,-,-,396,327,723,2,1,3
279,,73-A/5--L,208021205,-,-,-,212,177,389,,,
279,,73-A/5--L,208021206,-,-,-,197,176,373,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
280,"Girls Primary School74-A/5--L   (Male)",74-A/5--L,208021209,-,-,-,272,0,272,2,0,2
280,,74-A/5--L,208021210,-,-,-,357,0,357,,,
280,,74-A/5--L,208021211,-,-,-,214,0,214,,,
280,,74-A/5--L,208021212,-,-,-,310,0,310,,,
280 Total,,,,,,,1153,0,1153,,,
281,"Girls Primary School74-A/5--L   (Female)",74-A/5--L,208021209,-,-,-,0,171,171,0,2,2
281,,74-A/5--L,208021210,-,-,-,0,269,269,,,
281,,74-A/5--L,208021211,-,-,-,0,143,143,,,
281,,74-A/5--L,208021212,-,-,-,0,196,196,,,
281 Total,,,,,,,0,779,779,,,
282,"Boys  Primary School46/5 -L    (Male)",46/5 -L,208021006,-,-,-,270,0,270,3,0,3
282,,46/5 -L,208021007,-,-,-,283,0,283,,,
282,,46/5 -L,208021008,-,-,-,386,0,386,,,
282,,46/5 -L,208021009,-,-,-,325,0,325,,,
282 Total,,,,,,,1264,0,1264,,,
283,"Boys  Primary  School46/5 -L   (Female)",46/5 -L,208021006,-,-,-,0,203,203,0,2,2
283,,46/5 -L,208021007,-,-,-,0,251,251,,,
283,,46/5 -L,208021008,-,-,-,0,312,312,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
283 Total,,,,,,,0,1008,1008,,,
284,"Boys  Middle  School47/5 -L (Male)",47/5 -L,208021001,-,-,-,122,0,122,3,0,3
284,,47/5 -L,208021002,-,-,-,175,0,175,,,
284,,47/5 -L,208021003,-,-,-,448,0,448,,,
284,,47/5 -L,208021004,-,-,-,215,0,215,,,
284,,47/5 -L,208021005,-,-,-,286,0,286,,,
284 Total,,,,,,,1246,0,1246,,,
285,"Boys  Middle  School47/5 -L (Female)",47/5 -L,208021001,-,-,-,0,79,79,0,2,2
285,,47/5 -L,208021002,-,-,-,0,93,93,,,
285,,47/5 -L,208021003,-,-,-,0,328,328,,,
285,,47/5 -L,208021004,-,-,-,0,123,123,,,
285,,47/5 -L,208021005,-,-,-,0,200,200,,,
285 Total,,,,,,,0,823,823,,,
286,"Govt.Girls Primary School44/5 -L AbdiSanian Wali (Combined)",44/5 -L,208020301,-,-,-,565,369,934,2,1,3
286,,44/5 -L,208020302,-,-,-,271,153,424,,,
286 Total,,,,,,,836,522,1358,,,
287,"Govt.Girls Primary School44/5 -L AbdiSanian Wali (Combined)",44/5 -L,208020303,-,-,-,255,174,429,1,1,2
287,,44/5 -L,208020304,-,-,-,412,227,639,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
288,"Boys  Primary School45/5 -L   (Combined)",45/5 -L,208020305,-,-,-,468,358,826,2,1,3
288,,45/5 -L,208020306,-,-,-,432,306,738,,,
288 Total,,,,,,,900,664,1564,,,
289,"Govt.Girls  Primary School74/5 -L  Bhojuana (Combined)",74/5 -L,208021207,-,-,-,352,276,628,2,1,3
289,,74/5 -L,208021208,-,-,-,368,312,680,,,
289 Total,,,,,,,720,588,1308,,,
290,"Girls  Primary School57/4 -R   (Combined)",57/4 -R,208030201,-,-,-,366,274,640,2,1,3
290,,57/4 -R,208030202,-,-,-,534,372,906,,,
290 Total,,,,,,,900,646,1546,,,
291,"Boys  Primary SchoolAbdi Khalil  Naeem57/4 -R (Combined)",57/4 -R,208030203,-,-,-,650,485,1135,1,1,2
291 Total,,,,,,,650,485,1135,,,
292,"Boys Primary School62/4--R   (Combined)",62/4--R,208030105,-,-,-,358,269,627,2,1,3
292,,62/4--R,208030106,-,-,-,374,273,647,,,
292 Total,,,,,,,732,542,1274,,,
293,"Girls Primary School62/4--RI    (Male)",62/4-R,208030107,-,-,-,463,0,463,2,0,2
293,,62/4-R,208030108,-,-,-,482,0,482,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
294,Union Council HQ 62/4-R(Female),62/4-R,208030107,-,-,-,0,419,419,0,2,2
294,,62/4-R,208030108,-,-,-,0,352,352,,,
294 Total,,,,,,,0,771,771,,,
295,Govt.High School  75/5-R (Combined),75/4--R,208030101,-,-,-,245,186,431,2,1,3
295,,75/4--R,208030102,-,-,-,181,134,315,,,
295,,75/4--R,208030103,-,-,-,113,71,184,,,
295,,75/4--R,208030104,-,-,-,215,159,374,,,
295 Total,,,,,,,754,550,1304,,,
296,"Girls Middle School 63/4-R(Combined)",63/4-R,208030204,-,-,-,500,367,867,2,1,3
296,,63/4-R,208030206,-,-,-,326,238,564,,,
296 Total,,,,,,,826,605,1431,,,
297,"Girls Middle School 63/4-R(Combined)",63/4-R,208030205,-,-,-,487,368,855,1,1,2
297 Total,,,,,,,487,368,855,,,
298,"Boys High School 64/4-R(Combined)",64/4-R,208030301,-,-,-,913,658,1571,2,1,3
298 Total,,,,,,,913,658,1571,,,
299,"Boys High School 64/4-RCombined     (Combined)",64/4-R,208030302,-,-,-,459,287,746,2,1,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
299 Total,,,,,,,942,650,1592,,,
300,"Boys Primary School65/4-R(Male)",65/4-R,208030304,-,-,-,400,0,400,3,0,3
300,,65/4-R,208030305,-,-,-,386,0,386,,,
300,,65/4-R,208030306,-,-,-,665,0,665,,,
300 Total,,,,,,,1451,0,1451,,,
301,"Boys Primary School65/4-R(Female)",65/4-R,208030304,-,-,-,0,283,283,0,2,2
301,,65/4-R,208030305,-,-,-,0,267,267,,,
301,,65/4-R,208030306,-,-,-,0,444,444,,,
301 Total,,,,,,,0,994,994,,,
302,"Govt Girls Primary School54/4-R(Male)",54/4-R,208030501,-,-,-,598,0,598,2,0,2
302,,54/4-R,208030502,-,-,-,338,0,338,,,
302 Total,,,,,,,936,0,936,,,
303,Govt Primary School   54/4-R(Female),54/4-R,208030501,-,-,-,0,469,469,0,2,2
303,,54/4-R,208030502,-,-,-,0,244,244,,,
303 Total,,,,,,,0,713,713,,,
304,"Girls High School 55/4-R(Male)",55/4-R,208030503,-,-,-,686,0,686,3,0,3
304,,55/4-R,208030504,-,-,-,795,0,795,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
305,"Govt. Boys  Middle School 55/4--R(Female)",55/4-R,208030503,-,-,-,0,539,539,0,2,2
305,,55/4-R,208030504,-,-,-,0,577,577,,,
305 Total,,,,,,,0,1116,1116,,,
306,"Govt. Boys  Primary School  56/4-R(Male)",56/4-R,208030505,-,-,-,519,0,519,3,0,3
306,,56/4-R,208030506,-,-,-,254,0,254,,,
306,,56/4-R,208030507,-,-,-,497,0,497,,,
306 Total,,,,,,,1270,0,1270,,,
307,"Govt.Girls  Primary School  56/4-R(Female)",56/4-R,208030505,-,-,-,0,377,377,0,2,2
307,,56/4-R,208030506,-,-,-,0,221,221,,,
307,,56/4-R,208030507,-,-,-,0,347,347,,,
307 Total,,,,,,,0,945,945,,,
308,"Boys  High School 58/4 -RCombined     (Combined)",58/4 -R,208030508,-,-,-,843,652,1495,2,1,3
308 Total,,,,,,,843,652,1495,,,
309,"Govt.Girls Primary School   59/4-R(Combined)",59/4-R,208030601,-,-,-,679,526,1205,1,1,2
309 Total,,,,,,,679,526,1205,,,
310,"Govt.Girls Primary School   60/4-R(Combined)",60/4 -R,208030602,-,-,-,817,500,1317,2,1,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
311,"Girls Elementary School 61/4-R(Male)",61/4-R,208030603,-,-,-,186,0,186,2,0,2
311,,61/4-R,208030604,-,-,-,959,0,959,,,
311 Total,,,,,,,1145,0,1145,,,
312,"Girls Elementary School 61/4-R(Female)",61/4-R,208030603,-,-,-,0,115,115,0,2,2
312,,61/4-R,208030604,-,-,-,0,652,652,,,
312 Total,,,,,,,0,767,767,,,
313,"Govt. Girls High School  76/5 -R(Male)",76/5 -R,208020106,-,-,-,638,0,638,3,0,3
313,,76/5 -R,208020108,-,-,-,635,0,635,,,
313 Total,,,,,,,1273,0,1273,,,
314,"Govt. Girls High School  76/5 -R(Male)",76/5 -R,208020107,-,-,-,844,0,844,2,0,2
314 Total,,,,,,,844,0,844,,,
315,"Govt. Girls High School  76/5 -R(Female)",76/5 -R,208020106,-,-,-,0,437,437,0,3,3
315,,76/5 -R,208020107,-,-,-,0,583,583,,,
315,,76/5 -R,208020108,-,-,-,0,425,425,,,
315 Total,,,,,,,0,1445,1445,,,
316,"Govt  High School  77/5 -R(Male)",77/5 -R,208020101,-,-,-,277,0,277,3,0,3
316,,77/5 -R,208020102,-,-,-,598,0,598,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
316 Total,,,,,,,1330,0,1330,,,
317,Govt  High School  77/5 -R       (Male),77/5 -R,208020103,-,-,-,376,0,376,2,0,2
317,,77/5 -R,208020104,-,-,-,530,0,530,,,
317,,77/5 -R,208020105,-,-,-,35,0,35,,,
317 Total,,,,,,,941,0,941,,,
318,Govt Girls High School  77/5 -R(Female),77/5 -R,208020103,-,-,-,0,195,195,0,2,2
318,,77/5 -R,208020104,-,-,-,0,436,436,,,
318,,77/5 -R,208020105,-,-,-,0,15,15,,,
318 Total,,,,,,,0,646,646,,,
319,Govt Girls High School  77/5 -R(Female),77/5 -R,208020101,-,-,-,0,171,171,0,2,2
319,,77/5 -R,208020102,-,-,-,0,464,464,,,
319,,77/5 -R,208020109,-,-,-,0,373,373,,,
319 Total,,,,,,,0,1008,1008,,,
320,"Govt.High School  74/4 -R(Male)",74/4 -R,208020206,-,-,-,641,0,641,2,0,2
320,,74/4 -R,208020207,-,-,-,311,0,311,,,
320 Total,,,,,,,952,0,952,,,
321,"Govt.High School  74/4 -R(Female)",74/4 -R,208020206,-,-,-,0,499,499,0,2,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
321 Total,,,,,,,0,756,756,,,
322,"Boys  Middle  School73/4 -R(Male)",73/4 -R,208020201,-,-,-,345,0,345,3,0,3
322,,73/4 -R,208020202,-,-,-,475,0,475,,,
322,,73/4 -R,208020203,-,-,-,475,0,475,,,
322 Total,,,,,,,1295,0,1295,,,
323,"Boys  Middle  School73/4 -RII   (Male)",73/4 -R,208020204,-,-,-,577,0,577,2,0,2
323,,73/4 -R,208020205,-,-,-,468,0,468,,,
323 Total,,,,,,,1045,0,1045,,,
324,Govt Girls High School   73/4 -R  (Female),73/4 -R,208020204,-,-,-,0,362,362,0,2,2
324,,73/4 -R,208020205,-,-,-,0,299,299,,,
324 Total,,,,,,,0,661,661,,,
325,"Govt Girls High School73/4 -R(Female)",73/4 -R,208020201,-,-,-,0,220,220,0,2,2
325,,73/4 -R,208020202,-,-,-,0,386,386,,,
325,,73/4 -R,208020203,-,-,-,0,355,355,,,
325 Total,,,,,,,0,961,961,,,
326,"Govt.Primary School, 52/5-L  (Female)",-,-,"52/5-L (adda gamber)cantt.",194010401,-,0,259,259,0,2,2
326,,-,-,"52/5-L (adda gamber)cantt.",194010402,-,0,634,634,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
327,"Govt.Primary School, 52/5-L  (Female)",-,-,"52/5-L (adda gamber)cantt.",194010403,-,0,530,530,0,2,2
327,,-,-,"52/5-L (adda gamber)cantt.",194010404,-,0,452,452,,,
327 Total,,,,,,,0,982,982,,,
328,"Scholar Public School Gamber Near Double MobileTower (Regd)(Female)",-,-,"52/5-L (adda gamber)cantt.",194010501,-,0,382,382,0,2,2
328,,-,-,"52/5-L (adda gamber)cantt.",194010502,-,0,154,154,,,
328,,-,-,"52/5-L (adda gamber)cantt.",194010503,-,0,405,405,,,
328 Total,,,,,,,0,941,941,,,
329,"Scholar Public School Gamber Near Double MobileTower (Regd)(Female)",-,-,"52/5-L (adda gamber)cantt.",194010504,-,0,191,191,0,2,2
329,,-,-,"52/5-L (adda gamber)cantt.",194010505,-,0,239,239,,,
329,,-,-,"52/5-L (adda gamber)cantt.",194010506,-,0,228,228,,,
329,,-,-,"52/5-L (adda gamber)cantt.",194010507,-,0,289,289,,,
329 Total,,,,,,,0,947,947,,,
330,"Govt Girls High  School,  52/5-L  (Male)",-,-,"52/5-L (adda gamber)cantt.",194010403,-,649,0,649,3,0,3
330,,-,-,"52/5-L (adda gamber)cantt.",194010404,-,548,0,548,,,
330 Total,,,,,,,1197,0,1197,,,
331,"Govt Girls High  School,  52/5-L  (Male)",-,-,"52/5-L (adda gamber)cantt.",194010501,-,444,0,444,2,0,2
331,,-,-,"52/5-L (adda gamber)cantt.",194010502,-,179,0,179,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
331 Total,,,,,,,1123,0,1123,,,
332,"Govt Girls High  School,  52/5-L  (Male)",-,-,"52/5-L (adda gamber)cantt.",194010504,-,221,0,221,2,0,2
332,,-,-,"52/5-L (adda gamber)cantt.",194010505,-,131,0,131,,,
332,,-,-,"52/5-L (adda gamber)cantt.",194010506,-,279,0,279,,,
332,,-,-,"52/5-L (adda gamber)cantt.",194010507,-,516,0,516,,,
332 Total,,,,,,,1147,0,1147,,,
333,"Govt Girls High  School,  52/5-L  (Male)",-,-,"52/5-L (adda gamber)cantt.",194010401,-,336,0,336,2,0,2
333,,-,-,"52/5-L (adda gamber)cantt.",194010402,-,782,0,782,,,
333 Total,,,,,,,1118,0,1118,,,
334,"Girls  Primary School 52/ GD  Combinned(Combined)",52/GD,208040404,-,-,-,309,242,551,2,1,3
334,,52/GD,208040405,-,-,-,468,342,810,,,
334 Total,,,,,,,777,584,1361,,,
335,Boys  Primary School 52A/ GD   (Combined),52A/ GD,208040406,-,-,-,769,647,1416,2,1,3
335 Total,,,,,,,769,647,1416,,,
336,Boys  Primary School  53/GD   (Combined),53/GD,208040401,-,-,-,361,329,690,2,2,4
336,,53/GD,208040402,-,-,-,480,359,839,,,
336 Total,,,,,,,841,688,1529,,,
337,Girls  Middel School 53/GD    (Combined),53/GD,208040403,-,-,-,538,484,1022,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
338,Boys  Elementary  School  55/GD   (Combined),55/GD,208040501,-,-,-,583,501,1084,1,1,2
338 Total,,,,,,,583,501,1084,,,
339,Govt.Girls   Primary School  55/GD (Combined),55/GD,208040502,-,-,-,603,408,1011,1,1,2
339 Total,,,,,,,603,408,1011,,,
340,Boys primary School  79/5 -L   (Combined),79/5 -L,208020601,-,-,-,274,216,490,1,1,2
340,,79/5 -L,208020602,-,-,-,463,353,816,,,
340 Total,,,,,,,737,569,1306,,,
341,Boys primary School        80/5 -L (Combined),80/5 -L,208020603,-,-,-,555,479,1034,2,1,3
341,,80/5 -L,208020604,-,-,-,229,228,457,,,
341 Total,,,,,,,784,707,1491,,,
342,Boys primary School        75/5 -L (Combined),75/5 -L,208020403,-,-,-,253,229,482,2,1,3
342,,75/5 -L,208020404,-,-,-,405,252,657,,,
342,,75/5 -L,208020405,-,-,-,212,146,358,,,
342 Total,,,,,,,870,627,1497,,,
343,Boys primary School       76/5 -L  (Combined),76/5 -L,208020401,-,-,-,375,305,680,2,1,3
343,,76/5 -L,208020402,-,-,-,523,377,900,,,
343 Total,,,,,,,898,682,1580,,,
344,Boys primary School       77/5 -L (Combined),77/5 -L,208020406,-,-,-,340,245,585,1,1,2
344,,77/5 -L,208020407,-,-,-,239,202,441,,,
344 Total,,,,,,,579,447,1026,,,
345,Boys High School              78/5 -L (Combined),78/5 -L,208020701,-,-,-,466,336,802,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
346,Boys High School              78/5 -L (Combined),78/5 -L,208020703,-,-,-,429,334,763,1,1,2
346 Total,,,,,,,429,334,763,,,
347,Boys High School              78/5 -L II       (Combined),78/5 -L,208020702,-,-,-,700,544,1244,2,1,3
347 Total,,,,,,,700,544,1244,,,
348,"Boys primary School111/9 -L (Male)",111/9 -L,208021101,-,-,-,247,0,247,2,0,2
348,,111/9 -L,208021102,-,-,-,403,0,403,,,
348,,111/9 -L,208021106,-,-,-,197,0,197,,,
348 Total,,,,,,,847,0,847,,,
349,Boys primary School  111/9 -L (Female),111/9 -L,208021101,-,-,-,0,244,244,0,2,2
349,,111/9 -L,208021102,-,-,-,0,304,304,,,
349,,111/9 -L,208021106,-,-,-,0,166,166,,,
349 Total,,,,,,,0,714,714,,,
350,Boys High School  111/9 -L (Male),111/9 -L,208021103,-,-,-,399,0,399,3,0,3
350,,111/9 -L,208021104,-,-,-,493,0,493,,,
350,,111/9 -L,208021105,-,-,-,446,0,446,,,
350 Total,,,,,,,1338,0,1338,,,
351,Boys High School  111/9 -L (Female),111/9 -L,208021103,-,-,-,0,228,228,0,2,2
351,,111/9 -L,208021104,-,-,-,0,501,501,,,
351,,111/9 -L,208021105,-,-,-,0,368,368,,,
351 Total,,,,,,,0,1097,1097,,,
352,"Boys primary School71/4 -R (Male)",71/4 -R,208040307,-,-,-,564,0,564,3,0,3
352,,71/4 -R,208040308,-,-,-,376,0,376,,,
352,,71/4 -R,208040309,-,-,-,340,0,340,,,
352 Total,,,,,,,1280,0,1280,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
353,,71/4 -R,208040308,-,-,-,0,219,219,,,
353,,71/4 -R,208040309,-,-,-,0,232,232,,,
353 Total,,,,,,,0,975,975,,,
354,"Girls Primary School70/4 -RAdda Shabee(Combined)",70/4 -R,208040301,-,-,-,711,514,1225,2,1,3
354 Total,,,,,,,711,514,1225,,,
