ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
LIST OF POLLING STATION FOR A CONSTITUENCY,,,,,,,,,,,,
"",,,,,,,,,,,,
Election to the    *National Assembly,,,,,,,,,,,,
Provincial Assembly of the Punjab,,,,,,,,,,,,
No. and name of constituency      PP-46-NWL-I,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
"",,,Total:-,,,,729,509,1238,2,1,3
66,"66-Govt. Girls P/S.Pindi Saniana.(Combined)(P)",Pindi Saniana,184010509,,,,602,453,1055,,,
"",,Pindi Saniana,184010510,,,,345,264,609,,,
"",,,Total:-,,,,947,717,1664,2,2,4
67,"67-Govt. Boys Elementry SchoolBhatiyan Gujran. (Combined)(P)",Bhatiyan Gujran.,184010601,,,,514,379,893,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,514,379,893,1,1,2
68,"68-Govt. Girls Primary SchoolManka(Combined)",Manka.,184010607,,,,580,454,1034,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,580,454,1034,1,1,2
69,69-Boys P/S Motay Kalan. (Combined)(P),Motay Kalan.,184010602,,,,533,402,935,,,
"",,Pandori Fazal.,184010606,,,,409,349,758,,,
"",,,Total:-,,,,942,751,1693,2,2,4
70,70-Girls E/S Majra. (Combined)(P),Majra.,184010603,,,,780,609,1389,,,
"",,,Total:-,,,,780,609,1389,2,1,3
71,71-Girls P/S Seekaryali. (Combined)(P),Jatla.,184010604,,,,382,301,683,,,
"",,Seekaryali,184010608,,,,478,397,875,,,
"",,,Total:-,,,,860,698,1558,2,2,4
72,72-Girls P/S Sultan Pur. (Combined)(P),Berowali,184010407,,,,96,87,183,,,
"",,,Total:-,,,,598,451,1049,2,1,3
73,"73-Govt.Boys P/S Antowali.(Combined)(P)",Antowali.,184010701,,,,559,426,985,,,
"",,Antowali.,184010702,,,,395,286,681,,,
"",,,Total:-,,,,954,712,1666,2,2,4
74,74-Girls P/S Antowali. (Male)(P),Antowali.,184010703,,,,886,,886,,,
"",,Antowali.,184010705,,,,170,,170,,,
"",,Antowali.,184010704,,,,260,,260,,,
"",,,Total:-,,,,1316,,1316,3,,3
75,75-Girls P/S Antowali. (Female)(P),Antowali.,184010703,,,,,600,600,,,
"",,Antowali.,184010705,,,,,154,,,,
"",,Antowali.,184010704,,,,,181,181,,,
"",,,Total:-,,,,0,935,935,,2,2
76,"76-GIRLS P/S NAWAN BHANGALA(Combined)(P)",Kasraj,184010706,,,,504,396,900,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,504,396,900,1,1,2
77,"77-Govt. Boys Primary SchoolKasraj(Combined)",Kasraj,184010707,,,,481,417,898,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,481,417,898,1,1,2
78,78-GGP/S. MuthI. (Combined)(P),MuthI,184010801,,,,505,378,883,,,
"",,Chandowal.,184010803,,,,493,336,829,,,
"",,Shir pur,184010805,,,,249,179,428,,,
"",,,Total:-,,,,1247,893,2140,2,2,4
79,"79-Boys P/S Chakwal Salahriyan.(Combined)(P)",Chakwal Sulaherian,184010802,,,,493,336,829,,,
"",,Bahlool pur Bala.,184010804,,,,263,184,447,,,
"",,,Total:-,,,,756,520,1276,2,1,3
80,"80-Govt. Girls P/S . Dhabwala.(Combined)(P)",Dhabwala.,184010806,,,,630,396,1026,,,
"",,,Total:-,,,,630,396,1026,1,1,2
81,81-Girls P/S Agwal. (Combined)(P),Bhagwal.,184010807,,,,158,116,274,,,
"",,Bhalool Pur Kotli,184010808,,,,381,249,630,,,
"",,Agwal,184010809,,,,526,394,920,,,
"",,,Total:-,,,,1065,759,1824,2,2,4
82,"82-GGP/S. Nagrota In-Sarina.(Combined)(P)",Nagrota.,184010901,,,,778,596,1374,,,
"",,,Total:-,,,,778,596,1374,2,1,3
83,"83-Boys M/S .ChaKwal Lalotra.(Combined)(P)",Kareel Dilo.,184010904,,,,212,123,335,,,
"",,Jhoumian Khurd.,184010905,,,,107,69,176,,,
"",,Daria Pur,184010908,,,,308,196,504,,,
"",,ChaKwal Lalotra.,184010911,,,,292,191,483,,,
"",,,Total:-,,,,919,579,1498,2,1,3
84,84-Boys P/S. Jalal Pur. (Combined)(P),Jhoumian Kalan.,184010906,,,,242,158,400,,,
"",,Jalal Pur,184010907,,,,599,470,1069,,,
"",,Darso Pur,184010909,,,,142,85,227,,,
"",,,Total:-,,,,983,713,1696,2,1,3
85,85-Girls P/S MorlI. (Combined)(P),Chak Sefaira,184010910,,,,357,275,632,,,
"",,MorlI,184020903,,,,428,281,709,,,
"",,,Total:-,,,,785,556,1341,2,1,3
"",,,,,,,,,,,,
"",,,Total:-,,,,423,342,765,1,1,2
87,"87-Govt. Girls P/S Amaryal.(Combined)(P)",Amaryal.,184011002,,,,809,645,1454,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,809,645,1454,2,1,3
88,"88-Govt. Boys High School  Jamwal.(Male) (P)",Jamwal.,184011004,,,,843,,843,,,
"",,Panj Graian.,184011007,,,,304,,304,,,
"",,,Total:-,,,,1147,,1147,2,0,2
89,"89-Govt. Boys High School  Jamwal.(Female) (P)",Jamwal.,184011004,,,,,675,675,,,
"",,Panj Graian.,184011007,,,,,254,254,,,
"",,,Total:-,,,,,929,929,,2,2
90,90-Girls P/S Khindarian. (Combined)(P),Khindarian,184011005,,,,524,390,914,,,
"",,Dalyal.,184010507,,,,399,323,722,,,
"",,,Total:-,,,,923,713,1636,2,2,4
91,91-Boys M/S Mardowal. (Combined)(P),Mardowal,184011006,,,,795,590,1385,,,
"",,,Total:-,,,,795,590,1385,2,1,3
92,"92-Govt Pramari School,Sakmal(Combined)",Jhojar(B.C),184020301,,,,1,0,1,,,
"",,Sakmal,184020304,,,,427,264,691,,,
"",,Sakmal,184020305,,,,162,86,248,,,
"",,,Total:-,,,,590,350,940,1,1,2
93,93-GGP/S Chak Nahra. (Combined)(P),Chak Nahra,184020302,,,,521,349,870,,,
"",,Chak Nahra,184020303,,,,219,121,340,,,
"",,,Total:-,,,,740,470,1210,2,1,3
94,94-Govt.Boys P/S Saidpur. (Male)(P),Said Pur,184021401,,,,778,,778,,,
"",,Ferooz Pur,184021402,,,,363,,363,,,
"",,,Total:-,,,,1141,0,1141,2,,2
95,95-Govt.Boys P/S Saidpur. (Female)(P),Said Pur,184021401,,,,,607,607,,,
"",,Ferooz Pur,184021402,,,,,221,221,,,
"",,,Total:-,,,,,828,828,,2,2
96,96-Girls P/S Badwal. (Combined)(P),Banial,184020501,,,,252,215,467,,,
"",,Ghyal,184020602,,,,130,74,204,,,
"",,Badwal.,184020605,,,,441,306,747,,,
"",,,Total:-,,,,823,595,1418,2,1,3
97,97-Girls P/S Fatto Chak (Combined)(P),Fatto Chak,184020601,,,,487,321,808,,,
"",,,Total:-,,,,487,321,808,1,1,2
98,98-Girls P/S Gor-sail. (Combined)(P),Gorsial,184020603,,,,209,148,357,,,
"",,Gorsial,184020604,,,,659,503,1162,,,
"",,,Total:-,,,,868,651,1519,2,1,3
99,"99-Girls H/S Bhati-Afghanan.(Combined)(P)",Bhathi Afghanan.,184020606,,,,350,280,630,,,
"",,Bhathi Afghanan.,184020607,,,,384,291,675,,,
"",,,Total:-,,,,734,571,1305,2,1,3
100,"100-Boys P/S Shah Pur Jhanjhara(Combined)(P)","Shah PurJhanghura.",184021301,,,,511,325,836,,,
"",,"Shah PurJhanghura.",184021302,,,,348,217,565,,,
"",,,Total:-,,,,859,542,1401,2,1,3
"",,Khanna.,184021304,,,,127,67,194,,,
"",,,Total:-,,,,983,666,1649,2,1,3
102,"102-Govt.Girls P/S Kharal-Jawala.(Combined) (P)",Kharal-Jawala.,184020701,,,,601,400,1001,,,
"",,Shahbaz-pur,184020703,,,,261,154,415,,,
"",,Badwal,184020606,,,,350,280,630,,,
"",,Total:-,,,,,1212,834,2046,2,1,3
103,"103-Govt.Boys P/S Ghedhar-pur(Combined) (P)",Khaira.,184020702,,,,412,314,726,,,
"",,Gidar-pur,184020704,,,,540,425,965,,,
"",,Total:-,,,,,952,739,1691,2,2,4
104,"104-Boys M/S. Natlla Kalan.(Combined)(P)",Natlla Kalan.,184020901,,,,721,507,1228,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,721,507,1228,2,1,3
105,105-GGM/S .Baran (Combined)(P),Natlla Khurd.,184020902,,,,472,327,799,,,
"",,Baran.,184020908,,,,502,382,884,,,
"",,,Total:-,,,,974,709,1683,2,2,4
106,106-GBP/S. Chajwal. (Combined)(P),Chajwal,184020904,,,,589,430,1019,,,
"",,Dadyal,184020906,,,,418,266,684,,,
"",,,Total:-,,,,1007,696,1703,2,2,4
107,"107-GGP/S. Tarkhana Mereeda.(Combined)(P)",Tarkhana Mereeda,184020905,,,,424,325,749,,,
"",,,Total:-,,,,424,325,749,1,1,2
108,"108-Govt. Girls P/S Tarkhana Budhu(Combined) P",Tarkhana Budhu.,184020907,,,,410,235,645,,,
"",,,Total:-,,,,410,235,645,1,1,2
109,"109-Govt. Girls Primary School ChakJamil (Combined)",Chak Jamil,184021001,,,,533,342,875,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,533,342,875,1,1,2
110,"110-Govt. Girls Primary School ChakAmru (Combined)",Chak Darju,184021002,,,,67,46,113,,,
"",,Chak Amru,184021004,,,,353,266,619,,,
"",,,Total:-,,,,420,312,732,1,1,2
111,"111-Girls  H/S . Sukhu Chak.(Combined)(P)",Timbar Chak.,184021003,,,,159,97,256,,,
"",,Sukhu Chak,184030102,,,,315,240,555,,,
"",,Sukhu Chak,184030103,,,,234,211,445,,,
"",,,Total:-,,,,708,548,1256,2,1,3
112,112-GGP/S. Chak Amru (Combined)(P),Nagrota.,184010902,,,,358,245,603,,,
"",,Nagrota.,184010903,,,,428,281,709,,,
"",,,Total:-,,,,786,526,1312,2,1,3
113,"113-Govt. Boys High School Sukhu Chak(Combined)",Sukhu Chak,184030101,,,,847,619,1466,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,847,619,1466,2,1,3
114,114-Boys P/S Bagolara. (Combined)(P),Bagolara,184030104,,,,500,293,793,,,
"",,Karol Ranga.,184030506,,,,413,253,666,,,
"",,,Total:-,,,,913,546,1459,2,1,3
115,115-Boys P/S Sangran. (Combined)(P),Majwal.,184030105,,,,244,143,387,,,
"",,Karail Dilo. BC.,184030106,,,,0,2,2,,,
"",,Sangran.,184030107,,,,718,534,1252,,,
116,116-Girls E/S Chhamal. (Combined)(P),Hadnal.,184030201,,,,483,271,754,,,
"",,,Total:-,,,,483,271,754,1,1,2
117,"117-Boys High School Chhamal.(Combined)(P)",Chhamal,184030202,,,,281,180,461,,,
"",,Chhamal,184030203,,,,700,459,1159,,,
"",,,Total:-,,,,981,639,1620,2,1,3
118,118-Boys P/S Ratto Chak. (Combined)(P),Ratto Chak.,184030204,,,,290,176,466,,,
"",,Ratto Chak.,184030205,,,,487,353,840,,,
"",,,Total:-,,,,777,529,1306,2,1,3
119,"119-Girls P/S Jhangarwan.(Combined)(P)",Jhangarwan.,184030301,,,,628,382,1010,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,628,382,1010,1,1,2
120,120-Boys H/S Shah Pur Bhangu (Male)(P),Shah Pur Bhangu.,184030302,,,,676,,676,,,
"",,Shah Pur Bhangu.,184030303,,,,572,,572,,,
"",,,Total:-,,,,1248,,1248,2,,2
121,"121-Girls M/S Shah purBhangu(Female)(P)",Shah Pur Bhangu.,184030302,,,,,453,453,,,
"",,Shah Pur Bhangu.,184030303,,,,,429,429,,,
"",,,Total:-,,,,,882,882,0,2,2
112,"112-Govt. Girls Elementary School ShahPur Bhangu (Combined)",Shah Pur Bhangu.,184030304,,,,875,665,1540,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,875,665,1540,2,1,3
123,"123-Boys P/S Thakar Pur Moqam.(Combined)(P)",Thakarpur Moqam,184030401,,,,466,244,710,,,
"",,Pindi Bhomian.,184030408,,,,272,161,433,,,
"",,,Total:-,,,,738,405,1143,1,1,2
124,"124-Girls P/S Makhan Pur.(Combined)(P)",Bagarian.,184030402,,,,425,223,648,,,
"",,Makhan Pur.,184030406,,,,364,203,567,,,
"",,,Total:-,,,,789,426,1215,2,1,3
125,"125-Boys H/S Norangabad.(Combined)(P)",Jaggat Pur.,184030403,,,,232,130,362,,,
"",,Norangabad,184030407,,,,267,183,450,,,
"",,,Total:-,,,,499,313,812,1,1,2
126,"126-Boys P/S Pindi Bukhsha.(Combined)(P)",Pindi Bukhsha.,184030404,,,,186,134,320,,,
"",,Chak Bharayan,184030405,,,,106,63,169,,,
"",,Chak Beeka.,184030501,,,,282,203,485,,,
"",,,Total:-,,,,574,400,974,1,1,2
127,127-Girls P/S Bhoj Pur. (Combined)(P),Bhoj Pur,184030409,,,,445,311,756,,,
"",,Jajwal,184030505,,,,234,164,398,,,
"",,,Total:-,,,,679,475,1154,2,1,3
128,"128- Boys P/S Kharal Kahna.(Combined)(P)",Chak Shaman. B.C.,184030502,,,,0,0,0,,,
"",,Kharal Kahna.,184030503,,,,363,257,620,,,
"",,Chak Popu.,184030504,,,,134,91,225,,,
"",,,Total:-,,,,497,348,845,1,1,2
129,129-Boys H/S Pindi Umra. (Combined)(P),Pindi Umra.,184030601,,,,344,302,646,,,
"",,,Total:-,,,,344,302,646,1,1,2
130,130-Girls P/S Gujrat. (Combined)(P),Tara Chak.,184030602,,,,391,170,561,,,
"",,Gujrat.,184030603,,,,287,188,475,,,
"",,,Total:-,,,,678,358,1036,1,1,2
131,131-BOYS P/S BASHLI Combined)(P),Bachhali,184030801,,,,530,412,942,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,530,412,942,1,1,2
132,"132-Govt. Girls Primary School Hau.(Male)(P)",Nadalah Gujran.,184030604,,,,289,,289,,,
"",,Hau,184030605,,,,575,,575,,,
"",,Rambra,184030704,,,,269,,269,,,
"",,,Total:-,,,,1133,0,1133,2,,2
133,"133-Govt. Girls Primary School Hau.(Female)(P)",Nadalah Gujran.,184030604,,,,,212,212,,,
"",,Hau,184030605,,,,,405,405,,,
"",,Rambra,184030704,,,,,245,245,,,
"",,,Total:-,,,,,862,862,,2,2
134,134-Govt. Girls P/S Baga. (Combined)(P),Bagga,184030606,,,,721,554,1275,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,721,554,1275,2,1,3
135,135-Govt. Boys P/S Baga. (Combined)(P),Bagga,184030607,,,,400,276,676,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,400,276,676,1,1,2
136,"136-Govt. Boys Elementary SchoolChhahla. (Male)(P)",Chhahla,184030701,,,,382,,382,,,
"",,Chhahla,184030702,,,,336,,336,,,
"",,Chhahla,184030703,,,,604,,604,,,
"",,,Total:-,,,,1322,,1322,3,,3
137,137-Girls M/S Chhahla. (Female)(P),Chhahla,184030701,,,,,233,233,,,
"",,Chhahla,184030702,,,,,200,200,,,
"",,Chhahla,184030703,,,,,382,382,,,
"",,,Total:-,,,,,815,815,,2,2
138,138-Boys P/S Mihlu. (Combined)(P),Golu.,184030705,,,,253,223,476,,,
"",,Hakla,184030706,,,,86,62,148,,,
"",,Chhangu.,184030707,,,,127,81,208,,,
"",,Katarian.B.C,184030708,,,,2,0,2,,,
"",,Mihlu,184030711,,,,273,186,459,,,
"",,6-Ali pur,184030712,,,,255,107,362,,,
"",,,Total:-,,,,996,659,1655,2,1,3
139,139-Boys P/S Paswal. (Combined)(P),Paswal,184030709,,,,507,368,875,,,
"",,Dogar,184030805,,,,309,191,500,,,
"",,Kohliyan,184030710,,,,226,129,257,,,
"",,,Total:-,,,,1042,688,1730,2,2,4
140,140-Girls P/S Kasana. (Combined)(P),Kalyan Pur.,184030802,,,,245,138,383,,,
"",,Baharwal.,184030803,,,,129,103,232,,,
"",,Kasana.,184030804,,,,565,386,951,,,
"",,,Total:-,,,,939,627,1566,2,1,3
141,141-Boys H/S Masroor. (Combined)(P),Masroor,184030901,,,,242,214,456,,,
"",,Masroor,184030903,,,,415,228,643,,,
"",,,Total:-,,,,657,442,1099,2,1,3
142,142-Boys H/S Masroor. (Combined)(P),Masroor,184030902,,,,582,355,937,,,
"",,,Total:-,,,,582,355,937,1,1,2
143,143-Girls P/S Bhai Pur. (Combined)(P),Chak Bharian.,184030904,,,,525,289,814,,,
"",,Bhai Pur.,184031103,,,,305,220,525,,,
"",,Din Panah.B.C,184031104,,,,0,0,0,,,
"",,,Total:-,,,,830,509,1339,2,1,3
144,"144-Girls P/S Abyal Dogra.(Combined)(P)",Abyal Dogra.,184031001,,,,395,215,610,,,
"",,Abyal Gujran.B.C.,184031005,,,,0,0,0,,,
"",,,Total:-,,,,395,215,610,1,1,2
145,"145-Govt. Girls P/S Chak Qaziyan(Combined)",Badhan,184031002,,,,296,152,448,,,
"",,Sahonti.,184031003,,,,133,66,199,,,
"",,Chak Qaziyan,184031004,,,,229,129,358,,,
"",,"Chhani Narotam.B.C.",183031006,,,,0,0,0,,,
"",,Zakria,184031105,,,,57,35,92,,,
"",,,Total:-,,,,715,382,1097,1,1,2
146,146-Boys P/S Anayat Pur. (Combined)(P),Anayat Pur.,184031101,,,,408,342,750,,,
"",,Laliyan,184031102,,,,296,177,473,,,
"",,,Total:-,,,,704,519,1223,2,1,3
147,147-Girls H/S Ikhlaspur (Male)(P),Ikhlaspur,184031201,,,,886,,886,,,
"",,Ikhlaspur,184031202,,,,430,,430,,,
"",,,Total:-,,,,1316,,1316,2,,2
148,148-Girls H/S Ikhlaspur (Femaale)(P),Ikhlaspur,184031201,,,,,648,648,,,
"",,Ikhlaspur,184031202,,,,,350,350,,,
"",,,Total:-,,,,,998,998,,2,2
149,149-Boys P/S Khanwind (Combined)(P),Khanwind,184031203,,,,499,380,879,,,
"",,Damodarpur,184031304,,,,0,0,0,,,
"",,,Total:-,,,,499,380,879,1,1,2
150,150-Girls P/S Bhalolpur (Combined)(P),Sammu,184031204,,,,233,202,435,,,
"",,Bhalolpur,184031205,,,,307,210,517,,,
"",,Aduana,184031403,,,,167,116,283,,,
"",,,Total:-,,,,707,528,1235,2,1,3
151,151-Boys P/S Gratooa (Combined)(P),Ghrota,184031301,,,,666,530,1196,,,
"",,,Total:-,,,,666,530,1196,1,1,2
152,152-Boys P/S Sahan pur (Combined)(P),Jhangla,184031302,,,,47,25,72,,,
"",,Musa pur Sanian,184031401,,,,0,0,0,,,
"",,Sahan pur,184031402,,,,238,145,383,,,
"",,Bodla,184031404,,,,307,146,453,,,
"",,Gopal Pur,184031604,,,,0,0,0,,,
"",,Ramwal,184031605,,,,0,0,0,,,
"",,Warraich,184031607,,,,0,0,0,,,
"",,Kahn Lawari,184031608,,,,0,0,0,,,
"",,Chanial,184031704,,,,95,67,162,,,
"",,Dholah BC,184031706,,,,0,0,0,,,
"",,"BerochakGujran.BC",184031707,,,,0,0,0,,,
"",,Khamari(B.C),184031708,,,,0,0,0,,,
"",,Dheeng BC,184031709,,,,0,0,0,,,
"",,Aziz pur BC,184040105,,,,0,0,0,,,
153,153-Boys H/S ikhlaspur (Combined)(P),Mangri,184031502,,,,442,279,721,,,
"",,Keerat pur,184031303,,,,545,376,921,,,
"",,,Total:-,,,,987,655,1642,2,2,4
154,"154-Boys P/S Lodhi Lawari.(Combined)(P)",Lodhi Lawari,184031501,,,,255,153,408,,,
"",,Bhaat,184031602,,,,114,54,168,,,
"",,Naseera,184031504,,,,228,151,379,,,
"",,,Total:-,,,,597,358,955,1,1,2
155,155-Girls P/S Baharwal (Combined)(P),Baharwal,184031503,,,,486,304,790,,,
"",,,Total:-,,,,486,304,790,1,1,2
156,156-Girls P/S Ghaseetpur (Combined)(P),Ghaseetpur,184031505,,,,467,273,740,,,
"",,Atochak Jeender,184031601,,,,305,158,463,,,
"",,,Total:-,,,,772,431,1203,2,1,3
157,157-Girls P/S Meer pur (Combined)(P),Bhath,184031602,,,,85,37,122,,,
"",,Salo Bhains,184031603,,,,36,31,67,,,
"",,Meer Pur,184031606,,,,163,91,254,,,
"",,Fatta,184031702,,,,252,160,412,,,
"",,Bala Gujran.BC,184031705,,,,3,1,4,,,
"",,Bhero Chak Jattan,184031703,,,,104,55,159,,,
"",,,Total:-,,,,643,375,1018,1,1,2
158,158-Govt. Boys H/S Jalala (Combined)(P),Jalala,184031701,,,,644,467,1111,,,
"",,,Total:-,,,,644,467,1111,1,1,2
"",,,,,,,,,,249,188,437
"",,,,,,,,,,,,
No. and name of constituency      PP-48-NWL-III,,,,,,,,,,,,
"Sr.No",No. and name of,In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
"",polling station.,"Name of ElectoralArea","Censusblock code",Name of Electoral Area,"Censusblock code",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
List of Polling Station PP-48-NWL-III,,,,,,,,,,,,
"",,,,,,,,,,,,
"",,"Name ofElectoral Area","CensusBlock Code",,,,"Number of voters assignedto polling station.",Number of polling booths.,,,,
"",,,,,,,,,,,,
"",,,,,Male.,Female.,Total.,Male.,Female.,Total.,,
"",,,,,,,,,,,,
"",,,,,,,,,,,,
"",,3,4,,,,5,6,7,8,9,10
1,1-Girls M/S Karwal. (Combined)(P),Karwal,184040101,,,,241,150,391,,,
"",,Nargal,184040102,,,,218,120,338,,,
"",,Bakarwal,184040103,,,,436,227,663,,,
"",,Kotli Sanian.,184040104,,,,133,90,223,,,
"",,,Total:-,,,,1028,587,1615,2,1,3
2,"2-Govt. Girls Primary School Alawalchak(Combined)",Alawalchak,184040201,,,,571,387,958,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,571,387,958,1,1,2
3,3-Govt.Girls E/S Malikpur (Combined)(P),Malikpur,184040202,,,,520,410,930,,,
"",,Jagat Pur,184040209,,,,184,135,319,,,
"",,,Total:-,,,,704,545,1249,2,1,3
4,4-Boy P/S Odra (Combined)(P),Kasana,184040203,,,,292,218,510,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,673,446,1119,2,1,3
5,5-G M/S Langian (Combined)(P),Langian,184040204,,,,278,187,465,,,
"",,Masatpur,184040205,,,,136,69,205,,,
"",,Salotra,184040210,,,,263,170,433,,,
"",,,Total:-,,,,677,426,1103,1,1,2
6,6-G P/S Shahpur Jatan(Combined)(P),Shahpur Jatan,184040206,,,,428,259,687,,,
"",,Bahoo Barahmana,184040207,,,,111,61,172,,,
"",,Mada Kotli,184040208,,,,99,61,160,,,
"",,,Total:-,,,,638,381,1019,1,1,2
7,"7-Girls P/S  Saroch Berhiman(Combined)(P)",Phagwari Hindwan,184040301,,,,381,275,656,,,
"",,Saroch Berhaman.,184040303,,,,481,314,795,,,
"",,Tahir(B.C),184040308,,,,0,0,0,,,
"",,,Total:-,,,,862,589,1451,2,1,3
8,"8-Girls P/S Chak KalaKhan.(Combined)(P)",Darian,184040302,,,,405,292,697,,,
"",,Chak Kalay Khan,184040305,,,,378,213,591,,,
"",,Sandoq Pur,184040306,,,,108,73,181,,,
"",,,Total:-,,,,891,578,1469,2,1,3
9,9-Girls P/S  ratan pur (Combined)(P),Kotli-Gogiani,184040304,,,,96,66,162,,,
"",,Jowain,184040808,,,,222,124,346,,,
"",,Ratan Pur,184040809,,,,254,171,425,,,
"",,Kanwal(A),184040810,,,,226,186,412,,,
"",,,Total:-,,,,798,547,1345,2,1,3
10,"10-Boy H/S Phagwari Musliman(Combined)(P)",Phagwari Musliman,184040307,,,,882,684,1566,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,882,684,1566,2,1,3
11,11-Boys H/S/S Kot Nainan (Combined)(P),Sogian,184040401,,,,113,71,184,,,
"",,Khan Manaka,184041403,,,,358,236,594,,,
"",,Saran Chak Khidya,184040402,,,,255,146,401,,,
"",,Aima Syedan,184041410,,,,19,16,35,,,
"",,,Total:-,,,,745,469,1214,2,1,3
12,12-Boys P/S Bagwanpur (Combined)(P),Kotli Gujran,184040404,,,,395,273,513,,,
"",,Bagwanpur,184040405,,,,347,221,568,,,
"",,Chak Odhiyan,184040406,,,,180,136,316,,,
"",,,Total:-,,,,922,630,1552,2,1,3
13,13-Girls P/S Tarpi (Combined)(P),Tarpi,184040501,,,,459,306,765,,,
"",,Tarpi,184040502,,,,451,295,746,,,
"",,,Total:-,,,,910,601,1511,2,1,3
14,14-Boys H/S Beri Khrud (Combined)(P),Beri Khrud,184040503,,,,549,373,922,,,
"",,Beri Khrud,184040504,,,,662,511,1173,,,
"",,,Total:-,,,,1211,884,2095,2,2,4
15,15-Girls P/S Raipur (Combined)(P),Raipur,184040601,,,,313,269,582,,,
"",,Daidar,184040604,,,,418,303,721,,,
"",,,Total:-,,,,731,572,1303,2,1,3
"",,,,,,,,,,,,
16,16-Boys P/S Baroti (Combined)(P),Chatri,184040602,,,,411,272,683,,,
"",,,Total:-,,,,993,623,1616,2,1,3
"",,,,,,,,,,,,
17,"17-Govt.P/S Sultanpur Majoa(Combined)(P)",Sultan pur Majoa,184040403,,,,605,415,1020,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,605,415,1020,1,1,2
18,"18-Govt. Girls Primary School Jhun ManSingh(Combined)",Naroor,184040701,,,,222,150,372,,,
"",,Jhun man Singh,184041902,,,,307,192,499,,,
"",,,Total:-,,,,529,342,871,1,1,2
19,19-Boys P/S Dadwal (Combined)(P),Hajipur B.C,184040702,,,,0,0,0,,,
"",,Peer Kandyala B.C,184040703,,,,0,0,0,,,
"",,Hoshyarpur B.C,184040704,,,,0,0,0,,,
"",,Sado Chak,184040705,,,,0,0,0,,,
"",,Dharam Pur,184040707,,,,0,0,0,,,
"",,"Kainth BaramnanB.C",184041405,,,,0,0,0,,,
"",,Dhariwal,184041411,,,,250,159,409,,,
"",,Darmodar Pur,184040706,,,,0,0,0,,,
"",,Dadwal,184041601,,,,0,0,0,,,
"",,Sadhial B.C.,184041603,,,,0,0,0,,,
"",,Dhagwal,184041604,,,,0,0,0,,,
"",,Hajipur Gujran,184041605,,,,16,13,29,,,
"",,"Khanpur MammianB.C",184041901,,,,10,8,18,,,
"",,Doulat Chak B.C,184041903,,,,0,0,0,,,
"",,,Total:-,,,,276,180,456,1,1,2
20,20-Boys P/S Jamalpur (Combined)(P),Lalochak,184040801,,,,283,169,452,,,
"",,Chak Qazian,184040806,,,,202,127,329,,,
"",,Jamalpur,184040804,,,,132,93,225,,,
"",,Madhupur,184040805,,,,94,66,160,,,
"",,Zanboori,184040807,,,,31,21,52,,,
"",,,Total:-,,,,742,476,1218,2,1,3
"",,,,,,,,,,,,
21,21-Boys P/S Bhotarawal (Combined)(P),Bhotarwal,184040802,,,,344,269,613,,,
"",,Qureshian,184040803,,,,196,144,340,,,
"",,,Total:-,,,,540,413,953,1,1,2
22,22-Girls P/S Bheri Kalan. (Combined)(P),Bheri Kalan,184040901,,,,625,367,992,,,
"",,Jeo Chak,184040903,,,,398,232,630,,,
"",,,Total:-,,,,1023,599,1622,2,1,3
23,23-Girls P/S Danor (Combined)(P),Saroch Rajputtan.,184040902,,,,17,89,115,,,
"",,Danori,184040904,,,,412,313,725,,,
"",,Danor,184040905,,,,334,252,586,,,
"",,,Total:-,,,,763,654,1417,2,1,3
24,24-Boys P/S Musapur (Combined)(P),Latkochak,184041001,,,,199,152,351,,,
"",,Musapur,184041005,,,,130,100,230,,,
"",,Dogar,184041007,,,,161,89,250,,,
"",,,Total:-,,,,490,341,831,1,1,2
25,25-Boys P/S Hera Jhun (Combined)(P),Hera Jhun,184041009,,,,282,221,503,,,
"",,Neki Jatan,184041002,,,,175,97,272,,,
"",,4-Gagg,184041003,,,,250,152,402,,,
"",,,Total:-,,,,805,536,1341,2,1,3
