"PollingStationSerial No",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths"
108,"Govt:Boys Primary School, Arifabad    (Male)",Chak 3/KB,210020303,622,0,622,2,0,2
"",,Arifabad,210020407,257,0,257,,,
"",,Arifabad,210020408,375,0,375,,,
109,"(90)Govt:Boys Primary School, Arifabad        (Female)",Chak 3/KB,210020303,0,484,484,0,2,2
"",,Arifabad,210020407,0,165,165,,,
"",,Arifabad,210020408,0,254,254,,,
110,"Govt: Girls Middle School,  Kot Bhubhar     (Combined)",Bhubhar,210020305,712,493,1205,1,1,2
111,"Govt:Girls Primary School,Opana       (Male)",Opana,210020301,672,0,672,2,0,2
"",,Opana,210020302,477,0,477,,,
112,"(92)Govt:Girls Primary School,Opana          (Female)",Opana,210020301,0,489,489,0,2,2
"",,Opana,210020302,0,355,355,,,
113,"Govt:Boys Primary School, Jora            (Combined)",Jora,210020601,443,305,748,2,1,3
"",,Jora,210020602,324,218,542,,,
114,"Govt:Girls Primary School, Aalam Dhudhi    (Combined)",Aalam Dhudhi,210020606,460,281,741,2,1,3
"",,Aalam Dhudhi,210020607,305,188,493,,,
115,"Govt:Girls Primary School, Salamat             (Combined)","Chak Muhammad PurJagir",210020603,309,195,504,2,1,3
"",,Salamat,210020604,446,387,833,,,
"",,Chak Hakiman,210020605,90,78,168,,,
116,"Govt.Boys Middle School, Amar Singh Hotta Road East(Combined)",Soochan,210020501,381,261,642,1,1,2
"",,Soochan,210020502,176,139,315,,,
117,"Govt.Boys Middle School, Amar Singh Sochan,Hotta Road(West)  (Combined)",Soochan,210020503,547,476,1023,1,1,2
118,"Govt:Girls Primary School, 6/KB           (Combined)",Chak 6/KB,210020506,572,404,976,1,1,2
Naib Wal,210020504,257,169,426,,,,,
120,"Govt:Boys Middle School, Kot Bakhsha (West) (Combined)",Kaly Chishti,210040905,228,175,403,1,1,2
"",,Rakh Feroz Pur,210040906,130,114,244,,,
121,"Govt:Boys High School, Kalyana (East)                (Male)",Kalyana,210040101,447,0,447,3,0,3
"",,Kalyana,210040119,399,0,399,,,
"",,Kalyana,210040102,174,0,174,,,
"",,Kalyana,210040103,387,0,387,,,
"",,Kalyana,210040104,152,0,152,,,
122,"Govt:Boys High School, Kalyana (East)               (Female)",Kalyana,210040101,0,338,338,0,2,2
"",,Kalyana,210040119,0,237,237,,,
"",,Kalyana,210040102,0,150,150,,,
"",,Kalyana,210040103,0,304,304,,,
"",,Kalyana,210040104,0,116,116,,,
123,"Govt:Boys High School, Kalyana (West)   (Combined)",Kalyana,210040105,235,201,436,2,1,3
"",,Kalyana,210040106,192,150,342,,,
"",,Kalyana,210040107,203,175,378,,,
"",,Kalyana,210040108,196,157,353,,,
124,"Govt: Girls High School, Kalyana (East)    (Combined)",Kalyana,210040109,160,143,303,2,1,3
"",,Kalyana,210040110,214,131,345,,,
"",,Kalyana,210040111,193,144,337,,,
"",,Kalyana,210040112,149,107,256,,,
125,Office of the Union Council No.21. Kalyana  (Combined),Kalyana,210040113,123,90,213,1,1,2
"",,Kalyana,210040114,198,152,350,,,
"",,Kalyana,210040115,211,149,360,,,
126,"Govt: Girls High School, Kalyana (West)  (Combined)",Kalyana,210040116,385,288,673,2,1,3
"",,Kalyana,210040117,283,202,485,,,
"",,Kalyana,210040118,258,200,458,,,
127,"Govt:Boys Primary School, Malyana    (Combined)",Malyana,210040120,474,306,780,1,1,2
128,"Govt:Boys Primary School, Mahint Darshan  (Combined)",Mahint Darshan,210040121,289,214,503,2,1,3
"",,Mahint Darshan,210040122,283,218,501,,,
"",,Mahint Darshan,210040123,398,356,754,,,
129,"Govt:Boys High School, Feroz Pur Chishtian (Combined)",Feroz Pur Chishtian,210040901,196,165,361,2,2,4
"",,Feroz Pur Chishtian,210040902,669,595,1264,,,
130,"Govt:Girls Primary School, Feroz Pur Chishtian   (Combined)",Feroz Pur Chishtian,210040903,308,277,585,1,1,2
"",,Feroz Pur Chishtian,210040904,407,308,715,,,
131,"Govt:Boys Primary School, Singh Pura  (Combined)",Singh Pura,210041102,364,252,616,1,1,2
133,"Govt:Boys Primary School, Tehi Javind Singh (Combined)",Tehi Jawing Singh,210041103,629,486,1115,2,1,3
"",,Tehi Jawing Singh,210041104,310,235,545,,,
134,"Govt:Boys High School, Azmat (East)                (Male)",Azmat,210041105,422,0,422,2,0,2
"",,Azmat,210041106,456,0,456,,,
"",,Azmat,210041107,233,0,233,,,
135,"Govt:Boys High School, Azmat (South)           (Female)",Azmat,210041105,0,331,331,0,2,2
"",,Azmat,210041106,0,288,288,,,
"",,Azmat,210041107,0,193,193,,,
136,"Govt:Boys High School, Azmat (West)      (Combined)",Azmat,210041108,234,181,415,1,1,2
137,"Govt:Boys Primary School, 3/EB    (Male)",Chak 3/EB,210041109,373,0,373,2,0,2
"",,Chak 3/EB,210041110,658,0,658,,,
138,"Govt:Boys Primary School, 3/EB                   (Female)",Chak 3/EB,210041109,0,327,327,0,2,2
"",,Chak 3/EB,210041110,0,561,561,,,
139,"Govt:Boys Middle School, Warseen                    (Male)",Warseen,210041001,483,0,483,2,0,2
"",,Warseen,210041002,206,0,206,,,
"",,Warseen,210041003,368,0,368,,,
140,"Govt:Boys Middle School, Warseen               (Female)",Warseen,210041001,0,380,380,0,2,2
"",,Warseen,210041002,0,134,134,,,
"",,Warseen,210041003,0,258,258,,,
141,Govt:Boys Primary School Bara   (Combined),Bara,210041004,368,354,722,2,1,3
"",,Bara,210041005,392,332,724,,,
142,"Govt:Boys Primary School, 16/KB   (Combined)",Chak 16/KB,210040208,577,422,999,1,1,2
143,"Govt:Boys Primary School, 15/KB   (Combined)",Bonga Imam Din,210040201,125,102,227,1,1,2
"",,Chak 15/KB,210040207,490,348,838,,,
144,"Govt:Girls Middle School, 14/KB            (Male)",Chak 14/KB,210040209,638,0,638,2,0,2
"",,Chak 14/KB,210040210,302,0,302,,,
"",,Gharnaj,210040301,181,0,181,,,
145,"Govt:Girls Middle School, 14/KB    (Female)",Chak 14/KB,210040209,0,475,475,0,2,2
"",,Chak 14/KB,210040210,0,228,228,,,
"",,Gharnaj,210040301,0,147,147,,,
146,"Govt:Girls Middle School, 13/KB             (Male)",chak 13/KB,210040204,417,0,417,2,0,2
"",,chak 13/KB,210040205,221,0,221,,,
"",,chak 13/KB,210040206,403,0,403,,,
147,"Govt:Girls Middle School, 13/KB  (Female)",chak 13/KB,210040204,0,335,335,0,2,2
chak 13/KB,210040205,0,145,145,,,,,
chak 13/KB,210040206,0,307,307,,,,,
148,"Govt:Boys Primary School, 11/KB   (Combined)",Chak 12/KB,210040203,383,328,711,2,1,3
"",,Chak Elahi Wala,210040702,23,16,39,,,
149,"Govt: Boys Primary School, Kund Kanjwan   (Combined)",Kund Kanjwan,210040804,410,259,669,2,1,3
"",,Kund Kanjwan,210040805,234,165,399,,,
150,"Govt.Boys Middle School, Kot  Bakhsha East  (Combined)",Kot Bakhsha,210040504,529,441,970,2,1,3
"",,Kot Bakhsha,210040505,262,234,496,,,
151,"Govt:Boys Middle School, Kot Bakhsha (West)(Combined)",Kot Bakhsha,210040506,308,242,550,1,1,2
"",,Quddoos,210040803,5,2,7,,,
152,"Govt:Boys Primary School, Mari Aunmb   (Combined)",Bablana,210040705,218,212,430,1,1,2
"",,Mari Umb,210040801,250,175,425,,,
"",,Munawar,210040802,163,168,331,,,
153,"Govt:Boys Primary School, Purana Thana  (Combined)",Malooka Khurd,210040302,246,190,436,1,1,2
"",,Malooka Khurd,210040303,348,290,638,,,
154,"Govt:Boys Primary School, Malooka Khurd     (Male)",Malooka Khurd,210040304,282,0,282,2,0,2
"",,Malooka Khurd,210040305,215,0,215,,,
"",,Malooka Khurd,210040606,3,0,3,,,
"",,Mansoora,210040701,359,0,359,,,
155,"Govt:Boys Primary School, Malooka Khurd     (Female)",Malooka Khurd,210040304,0,234,234,0,2,2
"",,Malooka Khurd,210040305,0,170,170,,,
"",,Malooka Khurd,210040306,0,288,288,,,
"",,Mansoora,210040701,0,267,267,,,
156,"Govt:Boys Primary School, Malooka Kalan    (Male)",Malooka Kalan,210040307,337,0,337,2,0,2
"",,Malooka Kalan,210040308,310,0,310,,,
"",,Malooka Kalan,210040309,451,0,451,,,
157,"Govt:Boys Primary School, Malooka Kalan    (Female)",Malooka Kalan,210040307,0,261,261,0,2,2
"",,Malooka Kalan,210040308,0,223,223,,,
"",,Malooka Kalan,210040309,0,323,323,,,
158,"Govt:Boys High School, Hotta (East)  (Male)",Hotta,210040310,403,0,403,3,0,3
Hotta,210040311,290,0,290,,,,,
Hotta,210040321,302,0,302,,,,,
Hotta,210040312,119,0,119,,,,,
Hotta,210040313,191,0,191,,,,,
Hotta,210040310,0,276,276,,,,,
Hotta,210040311,0,187,187,,,,,
Hotta,210040321,0,256,256,,,,,
Hotta,210040312,0,91,91,,,,,
160,"Govt:Boys High School, Hotta (West) (Combined)",Hotta,210040314,184,139,323,1,1,2
"",,Hotta,210040315,75,59,134,,,
"",,Hotta,210040316,195,151,346,,,
161,Govt:Girls  Middle School Hotta  (Combined),Hotta,210040317,77,67,144,1,1,2
"",,Hotta,210040318,201,142,343,,,
162,Office of the Union Council No.22.Hotta   (Combined),Hotta,210040319,211,172,383,1,1,2
"",,Hotta,210040320,259,227,486,,,
163,"Govt:Boys Primary School, Kot  Bahawal (East)(Combined)",Kot Bahawal,210040601,296,225,521,2,2,4
"",,Kot Bahawal,210040602,289,244,533,,,
"",,Kot Bahawal,210040603,247,222,469,,,
164,"Govt:Boys Primary School, Kot Bahawal (West)  (Combined)",Wara Piran Kalan,210040501,138,77,215,2,1,3
"",,Wara Piran Khurd,210040502,137,104,241,,,
"",,Sahanwali,210040503,36,30,66,,,
"",,Mehmonkay,210040604,34,14,48,,,
"",,Tarsangi,210040605,1,0,1,,,
"",,Shekhey kay,210040606,3,1,4,,,
"",,Bahadar Ali,210040607,15,7,22,,,
"",,Billara Piran,210040608,321,233,554,,,
165,"Govt:Boys Primary School, 8/KB (East) (Combined)",Chak 8/KB,210040401,343,326,669,2,2,4
"",,Chak 8/KB,210040402,428,372,800,,,
166,"Govt:Boys Primary School, 8/KB (West)   (Combined)",Chak 8/KB,210040403,136,123,259,1,1,2
"",,Chak 8/KB,210040404,155,112,267,,,
167,"Govt:Boys Primary School, 9/KB               (Combined)",Chak 9/KB,210040405,393,368,761,1,1,2
"",,Chak 9/KB,210040406,266,266,532,,,
168,Govt: Boys Primary School  10/KB              (Combined),Chak 10/KB,210040407,191,149,340,1,1,2
"",,Chak 10/KB,210040408,331,271,602,,,
169,Govt:Boys Primary School 7/KB             (Combined),Chak 7/KB,210040703,420,341,761,2,2,4
"",,Kot Hakam,210040704,291,281,572,,,
"",,Chak Kot Bakasha,210040706,37,34,71,,,
170,"Govt:Boys Primary School, Bahdur Khera (Combined)",Bahdur Khera,210040707,84,77,161,1,1,2
"",,Burhan  Din,210040708,33,44,77,,,
171,"Govt:Boys Primary School, Behram Pur East (Combined)",Behram Pur,210010501,471,403,874,2,2,4
"",,Behram Pur,210010502,288,224,512,,,
172,"Govt:Boys Primary School, Behram Pur    west (Combined)",Behram Pur,210010503,260,207,467,1,1,2
173,"Govt:Girls Primary School, Behram Pur   (Combined)",Behram Pur,210010504,483,364,847,1,1,2
"",,Behram Pur,210010506,303,188,491,,,
175,"Govt:Boys Middle School, Shahu Bloach    (Combined)",Shahu Bloach,210010508,315,292,607,1,1,2
"",Shahu Bloach,210010509,232,204,436,,,,
176,Govt Modle Primary School Lal Khan Dhudhi (Combined),Jewaya Mal,210010507,255,182,437,1,1,2
Lal Khan Dhudhi,210010512,395,298,693,,,,,
Jatto Wal,210010510,123,86,209,,,,,
"PollingStationSerial No",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths"
1,Govt:Boys Primary School 24/EB   (Combined),Chak 24/EB,211061301,467,418,885,1,1,2
2,Govt:Boys Primary School 26/EB           (Male),Chak 26/EB,211061306,500,0,500,2,0,2
"",,Chak 26/EB,211061307,634,0,634,,,
3,Govt:Boys Primary School 26/EB   (Female),Chak 26/EB,211061306,0,353,353,0,2,2
"",,Chak 26/EB,211061307,0,443,443,,,
4,Govt:Boys High School 28/EB             (Male),Chak 28/EB,211061302,301,0,301,3,0,3
"",,Chak 28/EB,211061303,290,0,290,,,
"",,Chak 28/EB,211061304,256,0,256,,,
"",,Chak 28/EB,211061305,527,0,527,,,
5,Govt: Girls Middle School 28/EB   (Female),Chak 28/EB,211061302,0,209,209,0,2,2
"",,Chak 28/EB,211061303,0,238,238,,,
"",,Chak 28/EB,211061304,0,219,219,,,
"",,Chak 28/EB,211061305,0,410,410,,,
6,Govt:Boys Primary School 30/EB          (Male),Chak 30/EB,211061308,626,0,626,2,0,2
"",,Chak 30/EB,211061309,430,0,430,,,
"",,Chak 30/EB,211061310,435,0,435,,,
7,Govt: Girls Middle School 30/EB   (Female),Chak 30/EB,211061308,0,530,530,0,2,2
"",,Chak 30/EB,211061309,0,387,387,,,
"",,Chak 30/EB,211061310,0,363,363,,,
8,"Govt:Boys Middle School, 32/EB   (Combined)",Chak 32/EB,211061311,661,504,1165,1,1,2
9,Govt:Boys Primary School 63/SP   (Combined),Chak 61/SP,211060603,463,391,854,2,2,4
chak 63/SP,211060604,464,385,849,,,,,
Chak 60/SP,211060601,341,281,622,,,,,
11,Govt:Boys Primary School Bakha Hans (Combined),Bakha Hans,211060906,269,225,494,2,2,4
"",,Bakha Hans,211060907,354,207,561,,,
"",,Kalali,211060908,357,232,589,,,
12,"Govt:Boys High School, Kot Heera Singh   (Male)",Kot Heera Singh,211060904,672,0,672,2,0,2
"",,Kot Heera Singh,211060905,332,0,332,,,
13,"Govt:Boys High School, Kot Heera Singh   (Female)",Kot Heera Singh,211060904,0,543,543,0,2,2
"",,Kot Heera Singh,211060905,0,293,293,,,
14,"Govt:Boys High School, Kot Mohar Singh    (Male)",Kot Mohar Singh,211060901,371,0,371,2,0,2
"",,Kot Mohar Singh,211060903,403,0,403,,,
"",,Kot Mohar Singh,211060902,252,0,252,,,
15,"Govt:Boys High School, Kot Mohar Singh   (Female)",Kot Mohar Singh,211060901,0,275,275,0,2,2
"",,Kot Mohar Singh,211060902,0,234,234,,,
"",,Kot Mohar Singh,211060903,0,375,375,,,
16,Govt:Boys Primary School Jeevan Shah   (Male),Jeeven Shah,211060102,233,0,233,2,0,2
"",,Jeeven Shah,211060103,357,0,357,,,
"",,Jeeven Shah,211060104,601,0,601,,,
17,Office of Union  Council No. 43-Jeevan Shah   (Female),Jeeven Shah,211060102,0,191,191,0,2,2
"",,Jeeven Shah,211060103,0,326,326,,,
"",,Jeeven Shah,211060104,0,494,494,,,
18,Govt:Boys Primary School Jeevan Shah   (Male),Jeeven Shah,211060105,205,0,205,2,0,2
"",,Jeeven Shah,211060106,369,0,369,,,
"",,Jeeven Shah,211060107,263,0,263,,,
19,Office of Union  Council No. 43-Jeevan Shah   (Female),Jeeven Shah,211060105,0,206,206,0,2,2
"",,Jeeven Shah,211060106,0,343,343,,,
"",,Jeeven Shah,211060107,0,221,221,,,
20,Govt:Boys Primary School 52/SP          (Male),Chak 52/SP,211061002,522,0,522,2,0,2
"",,Chak 52/SP,211061003,612,0,612,,,
"",,Chak 52/SP,211061004,426,0,426,,,
21,Govt: Girls Primary School 52/SP   (Female),Chak 52/SP,211061002,0,418,418,0,2,2
"",,Chak 52/SP,211061003,0,504,504,,,
"",,Chak 52/SP,211061004,0,277,277,,,
22,Govt. Boys Primary School 36/EB (Combined),Ruken Din,211060101,184,149,333,1,1,2
"",,Chak No. 36/EB,211060807,332,292,624,,,
23,Govt Boys primary School Rang Shah (Combined),Rang Shah,211061001,709,532,1241,2,1,3
24,"Govt: Girls Primary School, 5/EB  (Combined)",Chak 5/EB,211061009,398,275,673,1,1,2
Chak 1/EB,211061005,303,260,563,,,,,
26,"Govt. Boys primary school Muhmood pur Bohar(Combined)",Muhmmad Pur Bohar,211061007,503,437,940,2,1,3
"",,Muhmmad Pur Bohar,211061008,223,175,398,,,
27,Govt:Boys Primary School 53/SP         (Male),Chak 36-A/EB,211060204,92,0,92,2,0,2
"",,Chak 53/SP,211060205,666,0,666,,,
"",,Chak 53/SP,211060206,407,0,407,,,
28,Govt: Girls Middle School 53/SP          (Female),Chak 36-A/EB,211060204,0,63,63,0,2,2
"",,Chak 53/SP,211060205,0,540,540,,,
"",,Chak 53/SP,211060206,0,371,371,,,
29,Govt:Boys Primary School 51/SP          (Male),Chak 51/SP,211060201,405,0,405,3,0,3
"",,Chak 51/SP,211060202,294,0,294,,,
"",,Chak 51/SP,211060203,689,0,689,,,
30,Govt: Girls Primary School 51/SP   (Female),Chak 51/SP,211060201,0,304,304,0,2,2
"",,Chak 51/SP,211060202,0,192,192,,,
"",,Chak 51/SP,211060203,0,441,441,,,
31,"Govt:Boys Primary School Thathi Dakhli Chak Shafi(Combined)",Chak Shafi,211060402,535,390,925,2,2,4
"",,Chak Shafi,211060410,312,267,579,,,
"",,Chak Shafi,211060409,159,126,285,,,
32,Govt:Boys Primary School Chak Shafi Khurd (Combined),Chak Shafi,211060408,145,149,294,1,1,2
"",,Chak 4/EB,211060505,390,339,729,,,
33,"Govt:Boys High School, North  Chak Shafi   (Male)",Chak Shafi,211060401,490,0,490,2,0,2
"",,Chak Shafi,211060403,104,0,104,,,
"",,Chak Shafi,211060404,472,0,472,,,
34,"Govt:Boys High School, Chak Shafi South   (Female)",Chak Shafi,211060401,0,363,363,0,2,2
"",,Chak Shafi,211060403,0,86,86,,,
"",,Chak Shafi,211060404,0,420,420,,,
35,"Govt: Girls High School, Chak Shafi East   (Male)",Chak Shafi,211060405,201,0,201,2,0,2
"",,Chak Shafi,211060406,371,0,371,,,
"",,Chak Shafi,211060407,893,0,893,,,
36,"Govt: Girls High School, Chak Shafi East  (Female)",Chak Shafi,211060405,0,160,160,0,2,2
"",,Chak Shafi,211060406,0,297,297,,,
"",,Chak Shafi,211060407,0,721,721,,,
37,"Govt: Girls Middle School, 2/EB    (Combined)",Chak 2/EB,211060501,236,175,411,2,1,3
Chak 2/EB,211060502,306,226,532,,,,,
Chak 2/EB,211060503,243,178,421,,,,,
Chak 2/EB,211060504,184,132,316,,,,,
Chak 50/SP,211060301,590,0,590,,,,,
"",,Chak 50/SP,211060303,265,0,265,,,
"",,Chak 50/SP,211060304,286,0,286,,,
39,Govt: Girls Primary School  50/SP  (Female),Chak 50/SP,211060301,0,417,417,0,2,2
"",,Chak 50/SP,211060302,0,288,288,,,
"",,Chak 50/SP,211060303,0,221,221,,,
"",,Chak 50/SP,211060304,0,174,174,,,
40,"Govt:Boys High School, 20EB   (Combined)",Chak 20/EB,211060701,746,562,1308,1,1,2
41,Govt:Boys Primary School 22/EB              (Male),Chak 18/EB,211060702,415,0,415,2,0,2
"",,Chak 22/EB,211061103,341,0,341,,,
"",,Chak 22/EB,211061104,574,0,574,,,
42,Govt: Girls Primary School 22/EB    (Female),Chak 18/EB,211060702,0,352,352,0,2,2
"",,Chak 22/EB,211061103,0,280,280,,,
"",,Chak 22/EB,211061104,0,493,493,,,
43,Govt:Boys Primary School Kot Qanungo   (Combined),Kot Qanungo,211061102,364,305,669,1,1,2
44,"Govt:Boys Primary School, Dalil Ke  (Combined)",Dalil Ke,211061101,600,511,1111,1,1,2
45,"Govt:Boys Primary School, 6/EB  (Combined)",Arazi Lal Singh,211060305,183,100,283,1,1,2
"",,Talli,211061201,357,296,653,,,
"",,Chak 6/EB,211061202,355,295,650,,,
46,Govt:Boys Primary School 8/EB  (Combined),Chak 8/EB,211061203,393,289,682,1,1,2
"",,Chak 14/EB,211061204,189,130,319,,,
47,Govt:Boys Primary School 12/EB             (Male),Chak 12/EB,211060703,123,0,123,2,0,2
"",,Chak 12/EB,211060704,600,0,600,,,
"",,Chak 12/EB,211060705,419,0,419,,,
48,Govt:Boys Primary School 12/EB  (Female),Chak 12/EB,211060703,0,104,104,0,2,2
"",,Chak 12/EB,211060704,0,472,472,,,
"",,Chak 12/EB,211060705,0,301,301,,,
49,Govt:Boys Primary School 10/EB             (Male),Chak 10/EB,211060801,311,0,311,2,0,2
"",,Chak 10/EB,211060802,309,0,309,,,
"",,Chak 10/EB,211060803,452,0,452,,,
50,Govt:Boys Primary School 10/EB  (Female),Chak 10/EB,211060801,0,242,242,0,2,2
"",,Chak 10/EB,211060802,0,232,232,,,
"",,Chak 10/EB,211060803,0,384,384,,,
51,Govt:Boys Primary School 16/EB  (Combined),Chak 16/EB,211060804,118,87,205,2,2,4
Chak 16/EB,211060805,364,301,665,,,,,
Chak 16/EB,211060806,415,303,718,,,,,
Mall,210070201,402,0,402,,,,,
"",,Mall,210070203,236,0,236,,,
53,"Govt:Boys Primary School,  Mall                                     (Female)",Mall,210070201,0,338,338,0,2,2
"",,Mall,210070202,0,233,233,,,
"",,Mall,210070203,0,187,187,,,
54,"Govt:Boys Primary School, Saleem Kot    (Combined)",Saleem Kot,210070204,544,441,985,2,1,3
"",,Saleem Kot,210070205,206,140,346,,,
55,Govt:Boys Middle School Chak Shah Khagga (Combined),Kot Hassan,210070206,47,47,94,2,1,3
"",,Chak 97/D,210070207,73,59,132,,,
"",,Chak Shah Khagga,210070208,437,354,791,,,
"",,Bunga Shamas,210070308,169,156,325,,,
56,Govt: Girls Primay School Wandal Singh                   ( Male),Wandal Singh,210070301,519,0,519,3,0,3
"",,Wandal Singh,210070302,205,0,205,,,
"",,Chak 49/SP,210070307,483,0,483,,,
57,Govt: Girls Primay School Wandal Singh              ( Female),Wandal Singh,210070301,0,422,422,0,2,2
"",,Wandal Singh,210070302,0,191,191,,,
"",,Chak 49/SP,210070307,0,370,370,,,
58,Govt:Boys Primary School 34/SP  ( Male),Chak 34/SP,210070303,343,0,343,2,0,2
"",,Chak 34/SP,210070304,569,0,569,,,
59,Govt Girls Middle School 34/SP                                  ( Female),Chak 34/SP,210070303,0,305,305,0,2,2
"",,Chak 34/SP,210070304,0,507,507,,,
60,Govt:Girls Middle School 34/SP                   (Combined),Chak 34/SP,210070305,443,411,854,2,2,4
"",,Chak 34/SP,210070306,381,325,706,,,
61,Govt:Boys Middle School 32/SP               (Combined),Chak 32/SP,210070401,385,295,680,2,2,4
"",,Chak 32/SP,210070414,170,89,259,,,
"",,Chak 32/SP,210070402,446,331,777,,,
62,Govt:Boys Middle School 32/SP  (Male),Chak 32/SP,210070403,320,0,320,2,0,2
"",,Chak 32/SP,210070404,176,0,176,,,
"",,Chak 32/SP,210070405,445,0,445,,,
63,Govt: Girls Primary School 32/SP   (Female),Chak 32/SP,210070403,0,228,228,0,2,2
"",,Chak 32/SP,210070404,0,140,140,,,
"",,Chak 32/SP,210070405,0,326,326,,,
64,Govt: Girls Primary School 36/SP                 (Combined),Chak 36/SP,210070406,345,271,616,2,1,3
"",,Chak 36/SP (Khurad),210070407,527,382,909,,,
65,Govt: Boys Primary School  36/SP    ( Male),Chak 36/SP,210070408,341,0,341,2,0,2
Chak 36/SP,210070409,345,0,345,,,,,
Chak 36/SP,210070410,408,0,408,,,,,
66,Female),Chak 36/SP,210070409,0,254,254,0,2,2
"",,Chak 36/SP,210070410,0,314,314,,,
67,Govt: Girls Primary School 30/SP  (Male),Chak 30/SP,210070411,429,0,429,3,0,3
"",,Chak 30/SP,210070412,454,0,454,,,
"",,Chak 30/SP,210070413,502,0,502,,,
68,Govt: Girls Middle School New Buliding 30/SP  (Female),Chak 30/SP,210070411,0,287,287,0,2,2
"",,Chak 30/SP,210070412,0,384,384,,,
"",,Chak 30/SP,210070413,0,376,376,,,
69,Govt :Boys Primary School 33/SP  (Male),Chak 33/SP,210070503,823,0,823,3,0,3
"",,Chak 33/SP,210070504,542,0,542,,,
70,Govt: Girls Primary School 33/SP  (Female),Chak 33/SP,210070503,0,611,611,0,2,2
"",,Chak 33/SP,210070504,0,385,385,,,
71,"Govt: Girls,Middle School, 35/SP   (Male)",Chak 35/SP,210070501,744,0,744,3,0,3
"",,Chak 35/SP,210070502,313,0,313,,,
72,"Govt: Girls,Middle School, 35/SP  (Female)",Chak 35/SP,210070501,0,539,539,0,2,2
"",,Chak 35/SP,210070502,0,202,202,,,
73,Govt: Boys Primary School Dhawana (Male),Dhawana,210070505,474,0,474,2,0,2
"",,Bahoo key Dogar,210070506,504,0,504,,,
74,Govt:Girls Primary School Dhawana            (Female),Dhawana,210070505,0,390,390,0,2,2
"",,Bahoo key Dogar,210070506,0,400,400,,,
75,Govt:Boys Primary School 20/SP  (Male),Chak 20/SP,210070601,378,0,378,3,0,3
"",,Chak 20/SP,210070602,380,0,380,,,
"",,Chak 20/SP,210070603,157,0,157,,,
"",,Chak 20/SP,210070604,269,0,269,,,
76,"Govt: Girls,Middle School, 20/SP                      (Female)",Chak 20/SP,210070601,0,301,301,0,2,2
"",,Chak 20/SP,210070602,0,362,362,,,
"",,Chak 20/SP,210070603,0,136,136,,,
"",,Chak 20/SP,210070604,0,204,204,,,
77,Govt:Boys Primary School 20/SP  (Male),Chak 20/SP,210070605,251,0,251,2,0,2
"",,Chak 20/SP,210070606,789,0,789,,,
78,"Govt: Girls,Middle School, 20/SP                      (Female)",Chak 20/SP,210070605,0,236,236,0,2,2
"",,Chak 20/SP,210070606,0,644,644,,,
79,Govt: Girls Primary School Chak Nizam Din       (Combined),Chak Nizam Din,210070609,208,162,370,2,1,3
Khamba Harsae,210070610,238,133,371,,,,,
Muhammad Pur Jagir,210070611,243,215,458,,,,,
Farid Pur Dogran,210070607,385,272,657,,,,,
81,Govt: Girls Primary School 31/SP   (Male),Chak 31/SP,210070701,547,0,547,2,0,2
"",,Chak 31/SP,210070702,218,0,218,,,
"",,Bahiwal,210070807,364,0,364,,,
82,Govt: Girls Primary School 31/SP                     (Female),Chak 31/SP,210070701,0,450,450,0,2,2
"",,Chak 31/SP,210070702,0,185,185,,,
"",,Bahiwal,210070807,0,258,258,,,
83,"Govt:Boys High School, 29/SP East,  (Male)",Chak 29/SP,210070703,574,0,574,3,0,3
"",,Chak 29/SP,210070704,247,0,247,,,
"",,Chak 29/SP,210070705,355,0,355,,,
"",,Chak 29/SP,210070706,281,0,281,,,
84,"Govt:Boys,High School, 29/SP West               (Female)",Chak 29/SP,210070703,0,435,435,0,2,2
"",,Chak 29/SP,210070704,0,207,207,,,
"",,Chak 29/SP,210070705,0,278,278,,,
"",,Chak 29/SP,210070706,0,185,185,,,
85,"Govt: Girls,Primary School Chawant East     (Male)",Chanwant,210070707,390,0,390,2,0,2
"",,Chanwant,210070708,324,0,324,,,
"",,Chanwant,210070709,541,0,541,,,
86,Govt: Girls Primary School 33 SP Chanwat          (Female),Chanwant,210070707,0,367,367,0,2,2
"",,Chanwant,210070708,0,286,286,,,
"",,Chanwant,210070709,0,395,395,,,
87,Govt:Boys Primary School 57/SP                     (Combined),Chak 57/SP,210070803,240,178,418,1,1,2
"",,Chak 57/SP,210070804,436,358,794,,,
88,Govt:Boys Primary School 68/D            (Male),chak 68/D,210070801,412,0,412,2,0,2
"",,chak 68/D,210070802,554,0,554,,,
89,Govt Girls Middle  School 68/D                    (Female),chak 68/D,210070801,0,309,309,0,2,2
"",,chak 68/D,210070802,0,447,447,,,
90,Govt: Girls Middle School 68/D                       (Combined),Chak Wasso Kamboh,210070710,194,144,338,2,1,3
"",,Bunga Kanwar Singh,210070805,346,228,574,,,
"",,Bunga Kanwar Singh,210070806,228,150,378,,,
91,Govt:Boys Primary Adda Malka Hans             (Combined),"Malka Hans (GhulsanNagar, Mohallah IdreesNagar)",210070101,263,196,459,2,1,3
"Malka Hans(MohallahNoor Jang)",210070102,490,425,915,,,,,
